key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
10,移动路径,移動路徑,Route,移動ルート,이동 경로
1d1,系统自动分配消耗AP最少的路径作为本次移动路径。\n在迷雾天气中且未暴露时，如果AP充足，将优先选择不会暴露的路径。,系統自動分配消耗AP最少的路徑作為本次移動路徑。\n在迷霧天氣中且未暴露時，如果AP充足，將優先選擇不會暴露的路徑。,"The system automatically selects the route with the least consumption of Action Points (AP). \nIn foggy weather and when not exposed, if there are enough AP, it will prioritize choosing a route that does not expose the unit.",目的地まで消費APが一番少ないルートを自動的に選択します。\n霧が発生中かつ未発見状態の場合、敵に発見されないルートを優先します。,"시스템이 자동으로 AP 소모가 가장 낮은 경로를 이번 이동 루트로 지정합니다.\n 안개가 낀 날씨이고 노출이 되지 않은 경우, AP가 충분하면 노출되지 않는 경로가 먼저 선택됩니다."
1d2,优先以光标移动的路径作为本次移动路径；如果AP不足，系统自动分配消耗AP最少的路径。,優先以游標移動的路徑作為本次移動路徑；若AP不足，系統自動分配消耗AP最少的路徑。,"Movement follows the route plotted with the cursor by default. If there are insufficient Action Points (AP), the system automatically selects the route that consumes the least amount of AP.",カーソルの移動経路通りのルートを優先しますが、APが不足している場合は消費APが一番少ないルートを自動的に選択します。,"최우선으로 마우스 커서가 지나간 경로를 이번 이동의 경로로 지정합니다, AP가 부족할 시, 시스템이 자동으로 AP 소모가 가장 적은 경로를 지정합니다. "
1d3,以光标移动的路径作为本次移动路径。,以游標移動的路徑作為本次移動路徑。,Movement follows the route plotted with the cursor.,カーソルの移動経路通りのルートになります。,마우스 커서가 지나간 경로를 이번 이동 경로로 지정합니다.
1v1,自动计算,自動計算,Auto Plot,オート,자동 계산
1v2,智能计算,智慧計算,Smart Plot,スマート,스마트 계산
1v3,光标移动,游標移動,Cursor Movement,カーソル,커서 이동
320,移动确认模式,移動確認模式,Movement Confirmation Mode,移動確認モード,이동 확인 모드
32d1,在目标位置单击鼠标左键进行移动。,在目標位置點選滑鼠左鍵進行移動。,Single-click to move to the target location.,目標の位置でマウスの左ボタンをクリックして移動させます,목표 위치에 좌클릭을 해 이동.
32d2,在目标位置双击鼠标左键进行移动。,在目標位置雙擊滑鼠左鍵進行移動。,Double-click to move to the target location.,目標の位置でマウスの左ボタンをダブルクリックして移動させます,목표 위치에 좌 버튼 더블클릭을 해 이동.
32v1,单击左键,點選左鍵,Single-Click,左ボタンをクリック,좌클릭
32v2,双击左键,雙擊左鍵,Double-Click,左ボタンをダブルクリック,좌 버튼 더블클릭
300,威胁数量的显示,威脅數量的顯示,Threat Count Display,攻撃可能対象表示方法,위협 수량 표시
30d1,选中我方单位后，在右上方显示能够攻击到该单位的敌人数量。,選中我方單位後，在右上方顯示能夠攻擊到該單位的敵人數量。,"After selecting an allied unit, the number of enemies that can be attacked by this unit is displayed in the upper right.",味方ユニット選択後、攻撃可能な敵ユニット数が画面右上部に表示されます。,아군 유닛을 선택하면 해당 유닛을 공격할 수 있는 적의 수가 오른쪽 상단에 표시됩니다.
