key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
1031101110,<color=#d09dff>禁足</color>：无法移动。,<color=#d09dff>禁足</color>：無法移動。,<color=#d09dff>Grounded</color>: unable to move.,<color=#d09dff>禁足</color>：移動不可,<color=#d09dff>금족</color>: 이동불가.
1031101210,禁足：无法移动。,<color=#d09dff>禁足</color>：無法移動。,Grounded: unable to move.,禁足：移動不可,금족: 이동불가.
1031201120,<color=#d09dff>乏力</color>：<color=#ff7373>AP-2</color>。,<color=#d09dff>乏力</color>：<color=#ff7373>AP-2</color>。,<color=#d09dff>Fatigued</color>: <color=#ff7373>reduce AP by 2</color>.,<color=#d09dff>倦怠</color>：<color=#ff7373>AP-2</color>。,<color=#d09dff>탈진</color>：<color=#ff7373>AP-2</color>．
1031201220,乏力：AP-2。,乏力：AP-2。,Fatigued: reduce AP by 2.,倦怠：AP-2。,탈진：AP-2．
1031201320,<color=#ff8d48>乏力：AP-2。</color>,<color=#ff8d48>乏力：AP-2。</color>,<color=#ff8d48>Fatigued: reduce AP by 2.</color>,<color=#ff8d48>倦怠：AP-2。</color>,<color=#ff8d48>탈진：AP-2．</color>
1031301120,<color=#d09dff>乏力</color>：<color=#ff7373>AP-5</color>。,<color=#d09dff>乏力</color>：<color=#ff7373>AP-5</color>。,<color=#d09dff>Fatigued</color>: <color=#ff7373>reduce AP by 5</color>.,<color=#d09dff>倦怠</color>：<color=#ff7373>AP-5</color>。,<color=#d09dff>탈진</color>：<color=#ff7373>AP-5</color>．
1031301220,乏力：AP-5。,乏力：AP-5。,Fatigued: reduce AP by 5.,倦怠：AP-5。,탈진：AP-5．
1031301320,乏力：<color=#ff8d48>AP-5</color>。,乏力：<color=#ff8d48>AP-5</color>。,<color=#ff8d48>Fatigued: reduce AP by 5.</color>,倦怠：<color=#ff8d48>AP-5</color>。,탈진：<color=#ff8d48>AP-5</color>．
1031401110,<color=#d09dff>眩晕</color>：无法行动。,<color=#d09dff>眩暈</color>：無法行動。,<color=#d09dff>Stunned</color>: unable to perform any actions.,<color=#d09dff>スタン</color>：行動不可,<color=#d09dff>기절</color>: 행동불능.
1031401120,<color=#d09dff>乏力</color>：<color=#ff7373>AP-10</color>。,<color=#d09dff>乏力</color>：<color=#ff7373>AP-10</color>。,<color=#d09dff>Fatigued</color>: <color=#ff7373>reduce AP by 10</color>.,<color=#d09dff>倦怠</color>：<color=#ff7373>AP-10</color>。,<color=#d09dff>탈진</color>：<color=#ff7373>AP-10</color>．
1031401210,眩晕：无法行动。,<color=#d09dff>眩暈</color>：無法行動。,Stunned: unable to perform any actions.,スタン：行動不可,기절: 행동불능.
1031401220,乏力：AP-10。,乏力：AP-10。,Fatigued: reduce AP by 10.,倦怠：AP-10。,탈진：AP-10．
1031401310,<color=#ff8d48>眩晕：无法行动。</color>,<color=#ff8d48>眩暈：無法行動。</color>,<color=#ff8d48>Stunned: unable to perform any actions.</color>,<color=#ff8d48>スタン：行動不可</color>,<color=#ff8d48>기절: 행동불능.</color>
1031401320,乏力：<color=#ff8d48>AP-10</color>。,乏力：<color=#ff8d48>AP-10</color>。,Fatigued: <color=#ff8d48>reduce AP by 10</color>.,倦怠：<color=#ff8d48>AP-10</color>。,탈진：<color=#ff8d48>AP-10</color>．
1231101110,<color=#d09dff>灼烧</color>：行动结束时，受到<color=#ff7373>32伤害</color>，该伤害无视护甲。,<color=#d09dff>灼燒</color>：行動結束時，受到<color=#ff7373>32傷害</color>，該傷害無視護甲。,<color=#d09dff>Scorched</color>: take <color=#ff7373>32 damage</color> at the end of the action. This damage ignores armor.,<color=#d09dff>燃焼</color>：行動終了時、<color=#ff7373>32ダメージ</color>を受ける。このダメージはアーマー効果を無視する。,<color=#d09dff>화상</color>：작전이 끝날때 <color=#ff7373>32데미지</color>를 입는다．해당 데미지는 장갑과　무관하다．
1231102110,<color=#d09dff>灼烧</color>：行动结束时，受到<color=#ff7373>40伤害</color>，该伤害无视护甲。,<color=#d09dff>灼燒</color>：行動結束時，受到<color=#ff7373>40傷害</color>，該傷害無視護甲。,<color=#d09dff>Scorched</color>: take <color=#ff7373>40 damage</color> at the end of the action. This damage ignores armor.,<color=#d09dff>燃焼</color>：行動終了時、<color=#ff7373>40ダメージ</color>を受ける。このダメージはアーマー効果を無視する。,<color=#d09dff>화상</color>：작전이 끝날때 <color=#ff7373>40데미지</color>를 입는다．해당 데미지는 장갑과　무관하다．
1231103110,<color=#d09dff>灼烧</color>：行动结束时，受到<color=#ff7373>48伤害</color>，该伤害无视护甲。,<color=#d09dff>灼燒</color>：行動結束時，受到<color=#ff7373>48傷害</color>，該傷害無視護甲。,<color=#d09dff>Scorched</color>: take <color=#ff7373>48 damage</color> at the end of the action. This damage ignores armor.,<color=#d09dff>燃焼</color>：行動終了時、<color=#ff7373>48ダメージ</color>を受ける。このダメージはアーマー効果を無視する。,<color=#d09dff>화상</color>：작전이 끝날때 <color=#ff7373>48데미지</color>를 입는다．해당 데미지는 장갑과　무관하다．
1231104110,<color=#d09dff>灼烧</color>：行动结束时，受到<color=#ff7373>56伤害</color>，该伤害无视护甲。,<color=#d09dff>灼燒</color>：行動結束時，受到<color=#ff7373>56傷害</color>，該傷害無視護甲。,<color=#d09dff>Scorched</color>: take <color=#ff7373>56 damage</color> at the end of the action. This damage ignores armor.,<color=#d09dff>燃焼</color>：行動終了時、<color=#ff7373>56ダメージ</color>を受ける。このダメージはアーマー効果を無視する。,<color=#d09dff>화상</color>：작전이 끝날때 <color=#ff7373>56데미지</color>를 입는다．해당 데미지는 장갑과　무관하다．
1231105110,<color=#d09dff>灼烧</color>：行动结束时，受到<color=#ff7373>64伤害</color>，该伤害无视护甲。,<color=#d09dff>灼燒</color>：行動結束時，受到<color=#ff7373>64傷害</color>，該傷害無視護甲。,<color=#d09dff>Scorched</color>: take <color=#ff7373>64 damage</color> at the end of the action. This damage ignores armor.,<color=#d09dff>燃焼</color>：行動終了時、<color=#ff7373>64ダメージ</color>を受ける。このダメージはアーマー効果を無視する。,<color=#d09dff>화상</color>：작전이 끝날때 <color=#ff7373>64데미지</color>를 입는다．해당 데미지는 장갑과　무관하다．
1231106110,<color=#d09dff>灼烧</color>：行动结束时，受到<color=#ff7373>72伤害</color>，该伤害无视护甲。,<color=#d09dff>灼燒</color>：行動結束時，受到<color=#ff7373>72傷害</color>，該傷害無視護甲。,<color=#d09dff>Scorched</color>: take <color=#ff7373>72 damage</color> at the end of the action. This damage ignores armor.,<color=#d09dff>燃焼</color>：行動終了時、<color=#ff7373>72ダメージ</color>を受ける。このダメージはアーマー効果を無視する。,<color=#d09dff>화상</color>：작전이 끝날때 <color=#ff7373>72데미지</color>를 입는다．해당 데미지는 장갑과　무관하다．
