key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
10,胜利目标是战役中必须完成的主要目标，达成后即宣告战役胜利。,勝利目標是戰役中必須完成的主要目標，達成後即宣告戰役勝利。,"Victory Objectives are the primary goal that must be achieved during the battle. Once accomplished, the battle is declared a victory.",メイン任務は、戦役においてクリアしなければならない主な目標です。クリアすると戦役の勝利が宣言されます。,승리목표는 전투에서 반드시 완성해야 하는 주요 목표이며 달성 후 즉시 전투승리를 선언합니다.
20,若一场战役中存在多个阶段，则非最终目标都会以阶段目标显示。,若一場戰役中存在多個階段，則非最終目標都會以階段目標顯示。,"If there are multiple phases in a battle, secondary objectives are shown as Phase Objectives.",一度の戦役に複数の段階がある場合、非最終任務は段階的任務として表示されます。,"전투에 여러 단계가 있는 경우, 최종 목표가 아닌 경우 모두 단계 목표로 나타냅니다."
30,完成额外目标可以提高战役的评价。,完成額外目標可以提高戰役的評價。,Bonus Objectives will affect the final rank of the battle.,サブ目標を達成すると、戦役の評価が上がります。,추가 목표를 완성하면 더 높은 전투 평가를 받을 수 있습니다.
40,战役评价越高，胜利后获得的奖励越多。,戰役評價越高，勝利後獲得的獎勵越多。,More rewards will be attained by completing Bonus Objectives.,戦役評価が高いほど、勝利後に獲得する報酬が多くなります。,"전투 평가가 높을수록, 승리 후 얻은 보상이 많습니다."
50,额外目标的完成情况可以在屏幕的左上角实时查看。,額外目標的完成情況可以在螢幕的左上角即時查看。,The completion status of Bonus Objectives can be viewed in real-time in the upper left corner of the screen.,サブ任務のクリア状況は、画面左上で随時確認できます。,추가 목표 달성 상황은 화면 왼쪽 상단 모서리에서 실시간으로 확인할 수 있습니다.
60,失败条件触发后即宣告战役失败，此时可读取存档或者重新挑战本战役。,失敗條件觸發後即宣告戰役失敗，此時可讀取存檔或者重新挑戰本戰役。,"Upon triggering the Failure Condition(s), the battle is declared a failure. At this point, load a save file or restart the battle.",失敗条件を満たすと、戦役の敗北が宣言されます。この時、セーブのロードまたはその戦役への再挑戦を行えます。,실패 조건이 트리거되면 전투 실패를 선언합니다. 이때 파일을 읽거나 해당 전투에 다시 도전할 수 있습니다.
70,选中或将光标停留在单位上时，界面左下角会显示单位的基础信息。,選中或將游標停留在單位上時，介面左下角會顯示單位的基礎資訊。,Selecting or hovering over a unit will display the unit's basic information in the bottom left corner.,選択中またはカーソルがユニット上に置かれているとき、画面左下にそのユニットの基本情報が表示されます。,커서를 선택하거나 유닛에 고정하면 인터페이스의 좌측 하단에 유닛의 기본 정보가 표시됩니다.
80,在选中单位的情况下，将光标悬停在另一个单位上，该单位的基础信息会显示在右侧。,在選中單位的情況下，將游標懸停在另一個單位上，該單位的基礎資訊會顯示在右側。,"With a unit selected, hover the cursor over another unit, and the basic information of that unit will be displayed on the right side.",ユニットを選択中のときに、カーソルが他のユニット上に置くと、そのユニットの基本情報は右側に表示されます。,유닛을 선택한 경우 커서를 다른 유닛 위에 놓으면 해당 유닛의 기본 정보가 우측에 표시됩니다.
90,可在角色详情中查看角色的详细属性、特质、状态等信息。,可在角色詳情中查看角色的詳細屬性、特質、狀態等資訊。,"Detailed information about a unit, including their attributes, traits and status, can be viewed in Unit Details.",ユニット詳細でユニットの詳細ステータス・特質・状態などの情報を確認できます。,"캐릭터 상세정보에서 캐릭터의 상세 속성, 특성, 상태 등의 정보를 확인할 수 있습니다."
100,可在角色的头顶位置查看角色当前的状态。,可在角色詳情中查看角色的詳細屬性、特質、狀態等資訊。,The current status of a unit can be viewed by looking above their heads.,ユニット詳細でユニットの詳細ステータス・特質・状態などの情報を確認できます。,"캐릭터 상세정보에서 캐릭터의 상세 속성, 특성, 상태 등의 정보를 확인할 수 있습니다."
110,敌方单位具有不同的行动模式。在不同的行动模式下，敌方单位的行动逻辑不同。,敵方單位具有不同的行動模式。在不同的行動模式下，敵方單位的行動邏輯不同。,"Enemy units have different Action Modes. In various Action Modes, the logic of the enemy unit may change.",敵ユニットには複数の行動モードがあります。行動モードが異なる状況では、敵ユニットの行動ロジックも異なります。,적군 유닛은 서로 다른 행동 패턴을 가지고 있습니다. 행동 패턴에 따라 적군 유닛의 행동 로직이 다릅니다. 
120,在某些条件下，敌方单位的行动模式会发生变化。,在某些條件下，敵方單位的行動模式會發生變化。,"Under certain conditions, the Action Mode of enemy units may change.",特定の条件では、敵ユニットの行動モードが変化します。,일부 조건에서 적군 유닛의 행동 패턴은 바뀔 수 있습니다.
130,待机：原地待命，当敌方单位进入自身移动射程内时，会转变为进攻模式。,待機：原地待命，當敵方單位進入自身移動射程內時，會轉變為進攻模式。,"Standby: Remains stationary; when an enemy unit enter its Movement Range, it will switch to attack mode.",待機：その場で指示を待つ。敵ユニットが自身の移動射程内に入ると、進撃モードに切り替わる。,대기: 제자리에서 대기하다가 적군 유닛이 자신의 이동사거리 안으로 들어오면 공격모드로 전환합니다.
140,进攻：主动向敌方单位移动并发动攻击。,進攻：主動向敵方單位移動併發動攻擊。,Attack: Actively moves towards enemy units and initiates an attack.,進撃：自ら敵ユニットに向かって移動し、攻撃を行う。,공격: 능동적으로 적군 유닛 쪽으로 이동하여 공격합니다.
150,巡逻：按照固定路线进行移动巡视，发现敌方单位时，会转变为进攻模式。,巡邏：按照固定路線進行移動巡視，發現敵方單位時，會轉變為進攻模式。,Patrol: Patrols along a fixed route and will enter Attack Mode when an enemy unit is found.,巡察：決まったルート通りに巡察を行います。敵ユニットを発見すると、進撃モードに切り替わります。,순찰 : 고정 노선에 따라 이동 순찰을 합니다. 적군 유닛을 발견하면 공격 모드로 전환됩니다.
160,选中敌方单位或查看敌方单位视野时，可以查看其巡逻点和巡逻路线。,選中敵方單位或查看敵方單位視野時，可以查看其巡邏點和巡邏路線。,"When selecting an enemy unit or inspecting its Visual Range, the patrol points and patrol routes can be seen.",敵ユニットを選択するか敵ユニットの視野を確認すると、その巡察地点と巡察ルートを確認できます。,적군 유닛을 선택하거나 적군 유닛의 시야를 확인할 때 순찰 지점과 순찰 노선을 확인할 수 있습니다.
170,巡逻的敌方单位会沿着巡逻路径前往下一个巡逻点。,巡邏的敵方單位會沿著巡邏路徑前往下一個巡邏點。,The enemy unit will follow the patrol route towards the next patrol point.,巡回する敵ユニットは巡回ルートに沿って次の巡回ポイントへ向かいます。,순찰하는 적군 유닛은 순찰 루트를 따라 다음 순찰 지점으로 이동합니다.
180,搜寻：前往最后发现敌方单位或异常情况的区域搜索目标，持续5个回合。,搜尋：前往最後發現敵方單位或異常情況的區域搜索目標，持續5個回合。,"Search: Moves toward and searches for targets in the last detected area where an enemy unit or anomaly was located, lasting for 5 turns.",捜索：5ターンの間、敵ユニットまたは異常を最後に発見した区域へと移動して捜索を行います。,"수색: 마지막으로 적군 유닛 또는 이상 상황이 발견된 지역으로 이동해 표적을 수색합니다, 5턴 동안 유지됩니다."
190,搜寻：如果在5个回合内到达搜寻点但未发现目标，会转变为警戒模式。,搜尋：如果在5個回合內到達搜尋點但未發現目標，會轉變為警戒模式。,"Search: If the search point is reached within 5 turns but no targets are found, it will switch to Alert mode.",捜索：5ターン以内に捜索地点に到着したもののターゲットを発見できなかった場合、警戒モードに移行します。,수색: 5턴 이내에 수색 지점에 도달했지만 표적을 발견하지 못하면 경계 모드로 전환됩니다.
200,警戒：已完成搜寻，原地警戒。,警戒：已完成搜尋，原地警戒。,Alert: Stands guard in position after completing their search.,警戒：捜索を終了し、その場で警戒を行います。,"경계: 수색 완료, 제자리에서 경계합니다."
210,选中搜寻的敌方单位或查看其视野时，战场中将会显示该单位的搜寻区域。,選中搜尋的敵方單位或查看其視野時，戰場中將會顯示該單位的搜尋區域。,"When selecting an enemy unit or inspecting its Visual Range, the battlefield will display the unit's search area.",捜索する敵ユニットを選択したり、その視野を確認したりすると、戦場にそのユニットの捜索エリアが表示されます。,"수색 중인 적군 유닛을 선택하거나 시야를 살펴볼 때, 전장에서 해당 유닛의 수색 구역을 나타냅니다."
220,坚守：不会移动，当敌方单位进入自身射程内时，会转变为坚守攻击模式。,堅守：不會移動，當敵方單位進入自身射程內時，會轉變為堅守攻擊模式。,"Defense: The unit will not move. When an enemy unit enters its Range, it will switch to Active Defense mode.",堅守：移動はせず、敵ユニットが自身の移動射程内に入ると、堅守攻撃モードに切り替わります。,수비:움직이지 않고 적군 유닛이 자신의 사거리 안에 들어오면 수비 공격 모드로 전환됩니다.
230,坚守攻击：原地对目标发动攻击。,堅守攻擊：原地對目標發動攻擊。,Active Defense: The unit remains in place and launches an attack against the target.,堅守攻撃：その場からターゲットに攻撃を行います。,수비 공격: 제자리에서 목표물을 공격합니다.
