key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
4019010,白糖站立高地（演出用）,白糖站立高地（演出用）,Sugar Standing High Ground (For Acting),シュガーが立つ高台（演出用）,설탕이 서있는 고지(연출용)
4019011,高耸的小山头是极好的视野观测点，不过难以移动和过高的暴露率使你难以久留。,高聳的小山頭是極好的視野觀測點，不過難以移動和過高的暴露率使你難以久留。,"Provides excellent Visual Range, but be careful of the movement penalty and high exposed rate.",そびえ立つ丘の頂上は視野観測ポイントとして最適だが、移動しにくく、発見されやすいため、長時間留まるのは容易ではない。,우뚝 솟은 언덕은 훌륭한 시야 관측 지점이지만 이동이 어렵고 노출률이 높아 오랫동안 머물기가 어렵습니다.
310,爆炸残骸,爆炸殘骸,Explosion Debris,爆発の残骸,폭발 잔해
311,罗联的军事基地，小心敌人。,羅聯的軍事基地，小心敵人。,"URNC Military Base, beware of enemies.",ロ連軍の基地。敵に気をつけよう。,"루련의 군사 기지입니다, 적군을 조심하세요."
320,爆炸残骸,爆炸殘骸,Explosion Debris,爆発した残骸,폭발 잔해
321,罗联的军事基地，小心敌人。,羅聯的軍事基地，小心敵人。,"URNC Military Base, beware of enemies.",ロ連軍の基地。敵に気をつけよう。,"루련의 군사 기지입니다, 적군을 조심하세요."
1160,变异菌菇,變異菌菇,Mutated Mushrooms,変異したキノコ,돌연변이 버섯
1161,奇异游乐园中的变异菌菇,奇異遊樂園中的變異菌菇,Mutated mushrooms inside the Amusement Park,異様な遊園地内の変異したキノコ,기이한 놀이공원의 돌연변이 버섯
201240,冰洞,冰洞,Ice Hole,氷の洞穴,얼음동굴
201241,从陷阱上跳出使你免于掉落，但造成的大坑也不能再踩了。,從陷阱上跳出使你免於掉落，但造成的大坑也不能再踩了。,"Jumping out of the trap saves you from falling, but the resulting large hole becomes impassable.",トラップから飛び出すと落下を免れることができるが、それによってできた大きな穴を再び踏むことはできない。,"함정에서 뛰어나오면 추락을 방지할 수 있지만, 만들어진 구덩이는 다시 밟으면 안 됩니다."
290,兵营,兵營,Barrack,兵営,병영
291,罗联的军事基地，小心敌人。,羅聯的軍事基地，小心敵人。,"URNC Military Base, beware of enemies.",ロ連軍の基地。敵に気をつけよう。,"루련의 군사 기지입니다, 적군을 조심하세요."
5003050,玻璃,玻璃,Glass,ガラス,유리
5003051,平坦的雪地不会对你的行动造成影响，然而在洁白的雪地上你很明显是个很棒的靶子，你需要快速通过。,平坦的雪地不會對你的行動造成影響，然而在潔白的雪地上你很明顯是個很棒的靶子，你需要快速通過。,"Does not induce a movement penalty, but makes one a conspicuous target. Move through it quickly.",平坦な雪原は行動の妨げにはならないが、真っ白な雪原にいると格好の標的になってしまうため、急いで通り過ぎよう。,평평한 눈은 이동에 영향을 미치지 않지만 새하얀 눈 위에서는 눈에 잘 띄는 표적이 되므로 빠르게 통과해야 합니다.
5003070,玻璃(标记),玻璃(標記),Glass (Marked),ガラス（マーク）,유리(표시)
