key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
10,坚守,堅守,Defense,防衛,수비
11,仅会对自身射程内的目标发动攻击，不会移动。,僅會對自身射程內的目標發動攻擊，不會移動。,Remains stationary and only attacks targets within range.,移動せずに、自身の射程内にいるターゲットだけを攻撃する。,이동하지 않고 사정 거리 속의 목표에게만 공격을 진행합니다.
20,指定进攻,指定進攻,Designated Attack,指定進撃,지정 공격
21,会优先向指定目标单位移动并发动进攻。,會優先向指定目標單位移動併發動進攻。,Prioritizes movement towards the designated target unit and initiates an attack.,指定した目標ユニットに優先的に向かい、進撃を行います。,지정한 표적 유닛으로 우선적으로 이동하고 공격을 개시합니다.
30,指定移动,指定移動,Designated Movement,指定移動,지정 이동
31,会优先向指定目标地点移动。,會優先向指定目標地點移動。,Prioritizes movement to the designated target location.,指定した目標地点に優先的に向かいます。,지정 목표 지점으로 우선 이동합니다.
40,进攻,進攻,Attack,進撃,공격
41,会主动向敌方单位移动并发动攻击。,會主動向敵方單位移動並發動攻擊。,Actively moves towards enemy units and initiates an attack.,味方ユニットに向かって移動し、攻撃を行う。,적극적으로 아군 유닛을 향해 이동하며 공격합니다.
50,搜寻,搜尋,Search,捜索,수색
51,会前往最后发现敌方单位或异常情况的区域搜索目标。,會前往最後發現敵方單位或異常情況的區域搜索目標。,Moves toward and searches for targets in the last detected area where an enemy unit or anomaly was located.,最後に敵ユニットを見かけた、もしくは異常情況の見られるエリアでターゲットを捜索する。,마지막으로 적 유닛을 발견했거나 이상 상황 구역으로 이동하여 목표를 수색합니다.
60,警戒,警戒,Alert,警戒,경계
61,已完成搜寻，原地警戒。,已完成搜尋，原地警戒。,Stands guard in position after completing their search.,捜索を終えて、その場で警戒している。,"수색을 완료했습니다, 원위치에서 경계합니다."
70,巡逻,巡邏,Patrol,巡察,순찰
71,按照固定路线进行移动巡视。,按照固定路線進行移動巡視。,Patrols along a fixed route.,固定のルートにもとづき、巡回を行う。,고정된 노선을 따라 이동하며 주위를 살핍니다.
