key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
5010000,普通攻击暴击后，下次<color=#89f0ff>普通攻击造成的伤害提升30%</color>。,普通攻擊暴擊後，下次<color=#89f0ff>普通攻擊造成的傷害提升30%</color>。,"When a normal attack crits, the next <color=#89f0ff>normal attack deals 30% more damage</color>.",通常攻撃の会心後、次の<color=#89f0ff>通常攻撃によるダメージが30%増加する</color>。,"일반 공격이 치명적 피해를 입힐 시, 다음 <color=#89f0ff>일반 공격의 주는 데미지 30% 상승</color>."
5010001,普通攻击暴击后，下次<color=#ff8d48>普通攻击造成的伤害提升60%</color>。,普通攻擊暴擊後，下次<color=#ff8d48>普通攻擊造成的傷害提升60%</color>。,"When a normal attack crits, the next <color=#ff8d48>normal attack deals 60% more damage</color>.",通常攻撃の会心後、次の<color=#ff8d48>通常攻撃によるダメージが60%増加する</color>。,"일반 공격이 치명적 피해를 입힐 시, 다음 <color=#ff8d48>일반 공격의 주는 데미지 60% 상승</color>."
5010002,普通攻击暴击后，下次<color=#89f0ff>普通攻击造成的伤害提升30%</color>。,普通攻擊暴擊後，下次<color=#89f0ff>普通攻擊造成的傷害提升30%</color>。,"When a normal attack crits, the next <color=#89f0ff>normal attack deals 30% more damage</color>.",通常攻撃の会心後、次の<color=#89f0ff>通常攻撃によるダメージが30%増加する</color>。,"일반 공격이 치명적 피해를 입힐 시, 다음 <color=#89f0ff>일반 공격의 주는 데미지 30% 상승</color>."
5010003,普通攻击暴击后，下次<color=#ff8d48>普通攻击造成的伤害提升75%</color>。,普通攻擊暴擊後，下次<color=#ff8d48>普通攻擊造成的傷害提升75%</color>。,"When a normal attack crits, the next <color=#ff8d48>normal attack deals 75% more damage</color>.",通常攻撃の会心後、次の<color=#ff8d48>通常攻撃によるダメージが75%増加する</color>。,"일반 공격이 치명적 피해를 입힐 시, 다음 <color=#ff8d48>일반 공격의 주는 데미지 75% 상승</color>."
5010004,普通攻击暴击后，下次<color=#89f0ff>普通攻击造成的伤害提升45%</color>。,普通攻擊暴擊後，下次<color=#89f0ff>普通攻擊造成的傷害提升45%</color>。,"When a normal attack crits, the next <color=#89f0ff>normal attack deals 45% more damage</color>.",通常攻撃の会心後、次の<color=#89f0ff>通常攻撃によるダメージが45%増加する</color>。,"일반 공격이 치명적 피해를 입힐 시, 다음 <color=#89f0ff>일반 공격의 주는 데미지 45% 상승</color>."
5010005,普通攻击暴击后，下次<color=#ff8d48>普通攻击造成的伤害提升75%</color>。,普通攻擊暴擊後，下次<color=#ff8d48>普通攻擊造成的傷害提升75%</color>。,"When a normal attack crits, the next <color=#ff8d48>normal attack deals 75% more damage</color>.",通常攻撃の会心後、次の<color=#ff8d48>通常攻撃によるダメージが75%増加する</color>。,"일반 공격이 치명적 피해를 입힐 시, 다음 <color=#ff8d48>일반 공격의 주는 데미지 75% 상승</color>."
5010040,对敌方机械单位进行普通攻击时，若目标周围2格内没有敌方单位，则<color=#89f0ff>造成的伤害提升10%、命中+20</color>。,對敵方機械單位進行普通攻擊時，若目標周圍2格內沒有敵方單位，則<color=#89f0ff>造成的傷害提升10%、命中+20</color>。,"When performing a normal attack against an enemy mechanical unit, if there are no enemy units within 2 tiles around the target, <color=#89f0ff>increase damage by 10% and accuracy by 20</color>.",敵機械ユニットに通常攻撃をしかける際、ターゲット周囲2マスの範囲に敵ユニットがいない場合、<color=#89f0ff>与えるダメージが10%増加し、命中+20</color>。,"적군 기계 유닛에 일반 공격을 할 시, 목표 주위 2 타일 내에 적군 유닛이 없으면 <color=#89f0ff>입히는 데미지 10% 상승, 명중+20</color>."
5010041,对敌方机械单位进行普通攻击时，若目标周围2格内没有敌方单位，则<color=#ff8d48>造成的伤害提升20%、命中+40</color>。,對敵方機械單位進行普通攻擊時，若目標周圍2格內沒有敵方單位，則<color=#ff8d48>造成的傷害提升20%、命中+40</color>。,"When performing a normal attack against an enemy mechanical unit, if there are no enemy units within 2 tiles around the target, <color=#ff8d48>increase damage by 20% and accuracy by 40</color>.",敵機械ユニットに通常攻撃をしかける際、ターゲット周囲2マスの範囲に敵ユニットがいない場合、<color=#ff8d48>与えるダメージが20%増加し、命中+40</color>。,"적군 기계 유닛에 일반 공격을 할 시, 목표 주위 2 타일 내에 적군 유닛이 없으면 <color=#ff8d48>입히는 데미지 20% 상승, 명중+40</color>."
5010042,对敌方机械单位进行普通攻击时，若目标周围2格内没有敌方单位，则<color=#89f0ff>造成的伤害提升10%、命中+20</color>。,對敵方機械單位進行普通攻擊時，若目標周圍2格內沒有敵方單位，則<color=#89f0ff>造成的傷害提升10%、命中+20</color>。,"When performing a normal attack against an enemy mechanical unit, if there are no enemy units within 2 tiles around the target, <color=#89f0ff>increase damage by 10% and accuracy by 20</color>.",敵機械ユニットに通常攻撃をしかける際、ターゲット周囲2マスの範囲に敵ユニットがいない場合、<color=#89f0ff>与えるダメージが10%増加し、命中+20</color>。,"적군 기계 유닛에 일반 공격을 할 시, 목표 주위 2 타일 내에 적군 유닛이 없으면 <color=#89f0ff>입히는 데미지 10% 상승, 명중+20</color>."
5010043,对敌方机械单位进行普通攻击时，若目标周围2格内没有敌方单位，则<color=#ff8d48>造成的伤害提升25%、命中+50</color>。,對敵方機械單位進行普通攻擊時，若目標周圍2格內沒有敵方單位，則<color=#ff8d48>造成的傷害提升25%、命中+50</color>。,"When performing a normal attack against an enemy mechanical unit, if there are no enemy units within 2 tiles around the target, <color=#ff8d48>increase damage by 25% and accuracy by 50</color>.",敵機械ユニットに通常攻撃をしかける際、ターゲット周囲2マスの範囲に敵ユニットがいない場合、<color=#ff8d48>与えるダメージが25%増加し、命中+50</color>。,"적군 기계 유닛에 일반 공격을 할 시, 목표 주위 2 타일 내에 적군 유닛이 없으면 <color=#ff8d48>입히는 데미지 25% 상승, 명중+50</color>."
