key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
10030011,大桥终端密码,大橋終端密碼,Bridge Terminal Passcode,橋上端末のパスワード,다리 단말기 비밀번호
10030012,用于解锁大桥电磁路障的密码，需要在桥头终端设备处输入。,用於解鎖大橋電磁路障的密碼，需要在橋頭終端設備處輸入。,"A passcode for unlocking the electromagnetic barrier of the bridge, to be entered at the bridge terminal.",大きな橋の電磁バリケードを解除できるパスワード。橋のたもとの端末設備にインプットする必要がある。,"대교의 전자기 바리케이드를 해제할 수 있는 암호, 다릿목의 단말기에서 입력해야 한다."
20080011,入侵芯片,入侵晶片,Hacking Chip,ハッキングチップ,칩 해킹
20080012,阿特娜提供的用来骇入信号塔的特制芯片，插入终端后可以以极快的速度接管系统。,阿特娜提供的用來駭入信號塔的特製晶片，插入終端後可以以極快的速度接管系統。,"A specially designed chip provided by Atena for hacking signal towers. When inserted into the terminal, it can quickly take over the system.",アテナがくれる信号塔ハッキング用の特製チップ。端末に挿入すると、すぐにシステムを管理できるようになる。,신호탑 해킹을 위해 아테나가 제공한 특수 칩은 단말기에 삽입된 후 매우 빠르게 시스템을 장악할 수 있다.
20140011,办公室门卡,辦公室門卡,Office Keycard,事務所のカードキー,사무실 키 카드
20140012,拥有基地指挥官权限的门卡，可以开启基地内某些办公室的大门。,擁有基地指揮官許可權的門卡，可以開啟基地內某些辦公室的大門。,"A keycard with base commander access privileges, capable of opening doors to certain offices within the base.",基地司令官の権限付きカードキー。基地内の一部事務所の正面ゲートを開けられる。,"기지 사령관 권한을 가지 출입 카드, 기지 내의 일부 사무실 대문을 열 수 있다."
30090021,管理员权限卡,管理員許可權卡,Administrator Access Card,管理人権限カード,관리자 권한 카드
30090022,管理员使用的权限卡，可以启动游乐场北区内的所有设备。,管理員使用的許可權卡，可以啟動遊樂場北區內的所有設備。,"Administrator's access card, capable of activating all devices in the northern section of the amusement park.",管理人が使用する権限カード。遊園地北エリアにある全ての設備を起動できる。,"관리자가 사용하는 권한 카드, 게임장 북쪽 구역의 모든 설비를 가동할 수 있다."
30090031,鬼屋奖券,鬼屋獎券,Haunted House Ticket,ホラーハウス引換券,귀신의 집 상품권
30090032,“恭喜你解开了死神的谜题，这是兑换奖券。兑换码：GERNAWY”,“恭喜你解開了死神的謎題，這是兌換獎券。兌換碼：GERNAWY”,“Congratulations on solving the Grim Reaper's Puzzle. This is your redemption ticket. Redemption code: GERNAWY”,「死神の謎が解けました。おめでとうございます。こちらは引換券です。引換コード：GERNAWY」,"‘사신의 수수께끼를 푸신 걸 축하합니다, 이건 선물 교환권입니다. 교환 코드: GERNAWY’"
30090041,摩天轮奖券,摩天輪獎券,Ferris Wheel Ticket,観覧車引換券,관람차 상품권
30090042,“恭喜你解开了朱瑟伯格的难题，这是兑换奖券。兑换码：OCINEVA”,“恭喜你解開了朱瑟伯格的難題，這是兌換獎券。兌換碼：OCINEVA”,"""Congratulations on solving the Zusenberg's Challenge. This is your redemption ticket. Redemption code: OCINEVA""",「ジュゼポークの問題が解けました。おめでとうございます。こちらは引換券です。引換コード：OCINEVA」,"‘쥬서버그의 난제를 푸신 걸 축하합니다, 이건 선물 교환권입니다. 교환 코드: OCINEVA’"
30090051,跳楼机奖券,跳樓機獎券,Drop Tower Ticket,ドロップ・タワー引換券,점핑 머신 상품권
30090052,“恭喜你满足了贝洛伯格的好奇，这是兑换奖券。兑换码：INTHOSMB”,“恭喜你滿足了貝洛伯格的好奇，這是兌換獎券。兌換碼：INTHOSMB”,"""Congratulations on solving the Berloberg's Curiosity. This is your redemption ticket. Redemption code: INTHOSMB""",「ベロポークの好奇心を満たしました。おめでとうございます。こちらは引換券です。引換コード：INTHOSMB」,"‘베로보그의 호기심을 푸신 걸 축하합니다, 이건 선물 교환권입니다. 교환 코드: INTHOSMB’"
30090061,活动策划书,活動策劃書,Event Planning Manual,イベント企画書,이벤트 기획서
30090062,详细记录了游乐园特别活动的完整方案，最引人瞩目的无疑是用粗体标记的三个单词：GERNAWY、OCINEVA、INTHOSMB。,詳細記錄了遊樂園特別活動的完整方案，最引人矚目的無疑是用粗體標記的三個單詞：GERMANY、OCILIPY、INTGEHEN。,"Contains a detailed record of the plans for the amusement park's special events. Of particular note are the following three words underlined in thick marker: GERNAWY, OCINEVA, INTHOSMB.",遊園地の特別イベントを詳しく記録した企画書、最も印象的なのは間違いなく、太字で表記された3つの単語「GERMANY、OCILIPY、INTGEHEN」である。,"놀이공원 특별 이벤트의 전체 기획을 상세히 기록하였는데, 눈에 띄는 것은 볼드체로 표기한 세 단어: GERMANY、OCILIPY、INTGEHEN 입니다."
30091011,死神的谜题,死神的謎題,Grim Reaper's Puzzle,死神の謎,사신의 수수께끼
30091012,"死神菲林斯注视着你，想要获得死神的嘉奖，就要达成死神的愿望。
小偷藏进了黑暗通道之中，通道却有两个出口，被石头所掩盖。
一处在日已落之西，一处在月初悬之北。
仅凭一人之力，无法将他堵截。
如果是你，你该如何帮助死神？","死神菲林斯注視著你，想要獲得死神的嘉獎，就要達成死神的願望。
小偷藏進了黑暗通道之中，通道卻有兩個出口，被石頭所掩蓋。
一處在日已落之西，一處在月初懸之北。
僅憑一人之力，無法將他堵截。
如果是你，你該如何幫助死神？","Filins the Grim Reaper is watching you. To earn the Grim Reaper's reward, you must fulfill his wish. 
A thief has hidden in a dark passage, with the two exits concealed by stones. 
One is in the west where the sun has set, and the other to the north where the moon begins. 
He can't be stopped by one person alone. 
If it were you, how will you help the Grim Reaper?","死神フィリスが君を見つめている。死神からの褒美を手に入れたいのなら、死神の願いをかなえなければならない。
泥棒が暗い通路に入って身を潜めた。しかし通路には出口が2つあり、石がかぶさっている。
一つは日が沈んだ西に、もう一つは月が出たばかりの北にある。
一人では泥棒を追いつめることができない。
どうすべきかを死神に教えてあげよう。","죽음의 신 필립스가 널 지켜보고 있다, 죽음의 신이 내리는 상을 받고자 한다면 죽음의 신의 소원을 이뤄주어야 한다. 
도둑이 어둠의 통로로 숨어들었는데, 통로는 두 개가 있고 돌로 막혀있다. 
한 곳은 해가 떨어진 서쪽이요, 한 곳은 초승달이 뜨는 북쪽이니. 
한 사람의 힘으로는 그를 막을 수 없다. 
너라면 어떻게 죽음의 신을 도울 것인가?"
30091021,朱瑟伯格的难题,朱瑟伯格的難題,Zusenberg's Challenge,ジュゼポークの問題,쥬서버그의 난제
30091022,"月神有了困惑，调皮的异乡孩子与他开了个玩笑。
孩子说：我出身于古希腊，是风与神秘的代表。
我将你的宝物放进了自己的铁盒子中。
别担心，我并不是想占有。
只要你能找得到，我就还给你。","月神有了困惑，調皮的異鄉孩子與他開了個玩笑。
孩子說：我出身於古希臘，是風與神秘的代表。
我將你的寶物放進了自己的鐵盒子中。
別擔心，我並不是想佔有。
只要你能找得到，我就還給你。","The Lunar God was puzzled, and a a mischievous child from a foreign land played a trick on him. 
The child said: I come from ancient Greece, representing the wind and mystery. 
I've placed your treasure in my own iron box. 
Don't worry, I don't intend to keep it. 
As long as you can find it, I'll return it to you.","異郷からやってきたいたずらっ子にからかわれ、月の神は困っている。
子供：僕は古代ギリシャから来た、風と神秘を表す者なんだ。
君の宝物をこの鉄の箱の中に入れたよ。
大丈夫、取ったりしないから。
見つけることができたら、君に返してあげる。","달의 신은 곤혼스러워했고, 장난꾸러기인 다른 고향 아이들은 그에게 농담을 건넸다. 
아이가 말하길: 난 고대 그리스에서 태어나, 바람과 신비로움을 대표하는 몸이다. 
내가 네 보물을 나의 강철 상자에 넣었도다. 
걱정하지 말거라, 난 네 것을 가지려 하는 게 아니다. 
네가 찾을 수만 있다면, 돌려줄 것이다."
30091031,贝洛伯格的好奇,貝洛伯格的好奇,Berloberg's Curiosity,ベロポークの好奇心,베로보그의 호기심
30091032,"凡人想要登上天际，花费精力制造了天梯。
太阳神出于好奇，将一份神谕藏于天梯之内。
找到那份太阳神的神谕，你将获得意外惊喜。","凡人想要登上天際，花費精力製造了天梯。
太陽神出於好奇，將一份神諭藏於天梯之內。
找到那份太陽神的神諭，你將獲得意外驚喜。","Mortals, eager to ascend to the sky, expended their efforts to create a celestial ladder. 
The Sun God, driven by curiosity, concealed an oracle within the ladder. 
Find the oracle of the Sun God and you shall receive an unexpected surprise.","この世の者が天に登ろうとし、お金と手間をかけて雲梯を作った。
おもしろいと思った太陽神は、お告げを雲梯の中に隠した。
太陽神のお告げを見つけて、サプライズをゲットしよう。","평범한 인간이 천계에 오르기 위해, 노력을 다해 하늘의 계단을 만들었다. 
태양신은 호기심 때문에 신탁을 하늘의 계단 안에 숨겼다. 
태양신의 신탁을 찾으면 뜻밖의 기쁨을 얻을지어다."
30120011,值班表,值班表,Duty Schedule,宿直表,당직표
30120012,当日罗联基地西部区域的值班人员名单，上面还有值班组长做的笔记。,當日羅聯基地西部區域的值班人員名單，上面還有值班組長做的筆記。,"The list of on-duty personnel for the western area of the URNC base on that day, along with notes written by the on-duty team leader.",当日のロ連軍基地西部区域の宿直者名簿には、宿直長が書いたメモがある。,"당일 루련 기지 서쪽 구역의 당직 인원 명단, 위에는 당직 팀장이 써놓은 메모도 있다."
30120021,探照灯路线图,探照燈路線圖,Searchlight Route Map,サーチライトルート図,서치라이트 로드맵
30120022,基地内最新的探照灯路线图，已经根据目前的紧急局势优化了当晚的探照方案。,基地內最新的探照燈路線圖，已經根據目前的緊急局勢優化了當晚的探照方案。,"Latest Searchlight Route Map of the base, the night plan has been optimized based on current emergency situation.",基地内の最新のサーチライトルート図。当日の緊急事態に応じて夜間の投射を計画したもの。,"기지 안 최신 서치라이트 로드맵, 이미 현재의 급박한 상황에 따라 저녁의 서치 방안을 최적화했다."
30120031,伏特加,伏特加,Vodka,ウォッカ,보드카
30120032,具有当地特色的烈酒，只需一口就能忘却疲劳与寒冷，是当地罗联士兵休息期间最喜爱的饮品。,具有當地特色的烈酒，只需一口就能忘卻疲勞與寒冷，是當地羅聯士兵休息期間最喜愛的飲品。,"A local specialty liquor that, with just a sip, can make one forget fatigue and cold. It is the favorite drink among the local URNC soldiers during breaks.",現地特産の強いお酒。一口で疲れや寒さを解消する。現地のロ連兵が休憩時間によく飲む。,"현지 특색이 담긴 독주, 한 입만 마시면 모든 피로와 추움을 떨쳐낼 수 있다. 현지 루련 병사가 쉬는 시간에 가장 좋아하는 음료이다."
30120041,实验大楼门卡,實驗大樓門卡,Laboratory Building Keycard,実験棟のカードキー,실험동 키 카드
30120042,基地实验大楼的专用门卡，可以在大楼封闭期间自由出入。,基地實驗大樓的專用門卡，可以在大樓封閉期間自由出入。,"Special keycard for the base's laboratory building, allowing free entry and exit during the building's closure.",基地実験棟専用のカードキー。建物が閉まっている期間に自由に出入りできる。,"기지 실험동 전용 키 카드, 대문이 닫히기 전에 자유롭게 드나들 수 있다."
301200411,实验大楼门卡,實驗大樓門卡,Laboratory Building Keycard,実験棟のカードキー,실험동 키 카드
