key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
1152131000,对范围内的敌方单位造成自身攻击60%的伤害，该伤害无视护甲，同时使目标进入“灼烧”状态，持续1回合。\n灼烧：行动结束时，受到生命值上限20%的伤害，该伤害无视护甲。,對範圍內的敵方單位造成自身攻擊60%的傷害，該傷害無視護甲，同時使目標進入“灼燒”狀態，持續1回合。\n灼燒：行動結束時，受到生命值上限20%的傷害，該傷害無視護甲。,"Deal damage equal to 60% of own attack that ignores armor to enemy units within the area and inflict ""Scorched"" to the target for 1 turn. \nScorched: Take damage equal to 20% of max HP at the end of the action.",範囲内の敵ユニットに自分の攻撃の60%のダメージを与える。このダメージはアーマーを無視する。さらに1ターンの間、ターゲットを「燃焼」状態にする。\n燃焼：行動終了時、自分の最大HPの20%のダメージを受ける。このダメージはアーマーを無視する。,"범위 내의 적군 유닛에 자체 공격 60%의 데미지를 줍니다. 해당 데미지는 장갑과 무관하며, 모든 목표는 '화상' 상태에 진입합니다. 1턴 유지. \n화상: 작전 종료 시 자체 최대 HP의 20% 데미지를 입으며, 해당 데미지는 장갑과 무관합니다．"
1152131001,对范围内的敌方单位造成自身攻击60%的伤害，该伤害无视护甲，同时使目标进入“灼烧”状态，持续1回合。<color=#ff8d48>若目标为伯劳单位，则造成的伤害提升100%，该伤害无视减伤。</color>\n灼烧：行动结束时，受到生命值上限20%的伤害，该伤害无视护甲。,對範圍內的敵方單位造成自身攻擊60%的傷害，該傷害無視護甲，同時使目標進入“灼燒”狀態，持續1回合。<color=#ff8d48>若目標為伯勞單位，則造成的傷害提升100%，該傷害無視減傷。</color>\n灼燒：行動結束時，受到生命值上限20%的傷害，該傷害無視護甲。,"Deal damage equal to 60% of own attack to enemy units within the area of effect and inflict ""Scorched"" to all targets for 1 turn. This damage ignores armor. <color=#ff8d48>Deal double damage  if the target is a Shrike unit. This damage ignores damage reduction.</color> \nScorched: Take damage that ignores armor equal to 20% of the unit's Max HP at the end of the action.",範囲内の敵ユニットが自分の攻撃の60%のダメージを受ける。このダメージはアーマーを無視する。<color=#ff8d48>また、シュライクユニットに2倍のダメージを与える</color>と同時に、1ターンの間、全てのターゲットが「燃焼」状態になる。このダメージはダメージ軽減を無視する。\n燃焼：行動終了時、自分の最大HPの20%のダメージを受ける。このダメージはアーマーを無視する。,"범위 내의 적군 유닛에 자체 공격 60%의 데미지를 입힙니다, 해당 데미지는 장갑과 무관하며, 동시에 목표가 '화상' 상태에 진입합니다. 1턴 유지. <color=#ff8d48>만약 목표가 슈라이크 유닛이면 입히는 데미지가 100% 상승하고, 해당 데미지는 데미지 감소와 무관합니다. </color>\n화상: 작전 종료 시 자체 최대HP의 20% 데미지를 입으며, 해당 데미지는 장갑과 무관합니다．"
1152132000,对范围内的敌方单位造成自身攻击60%的伤害，该伤害无视护甲，同时使目标进入“灼烧”状态，持续1回合。若目标为机械单位，则使对方进入“热脆”状态，持续1回合。\n灼烧：行动结束时，受到生命值上限20%的伤害，该伤害无视护甲。\n热脆：护甲降低50%。,對範圍內的敵方單位造成自身攻擊60%的傷害，該傷害無視護甲，同時使目標進入“灼燒”狀態，持續1回合。若目標為機械單位，則使對方進入“熱脆”狀態，持續1回合。\n灼燒：行動結束時，受到生命值上限20%的傷害，該傷害無視護甲。\n熱脆：護甲降低50%。,"Deal damage equal to 60% of own attack that ignores armor to enemy units within the area and inflict ""Scorched"" to the target for 1 turn. If the target is a mechanical unit, inflict ""Fragile"" for 1 turn. \nScorched: Take damage equal to 20% of max HP at the end of the action. \nFragile: Reduce armor by 50%.",範囲内の敵ユニットに自分の攻撃の60%のダメージを与える。このダメージはアーマーを無視する。さらに1ターンの間、ターゲットを「燃焼」状態にする。ターゲットが機械ユニットである場合、1ターンの間、対象を「熱脆弱」状態にする。\n燃焼：行動終了時、自分の最大HPの20%のダメージを受ける。このダメージはアーマーを無視する。\n熱脆弱：アーマーが50%減少する。,"범위 내의 적군 유닛에 자체 공격 60%의 데미지를 줍니다. 해당 데미지는 장갑과 무관하며, 모든 목표는 '화상' 상태에 진입합니다. 1턴 유지. 만약 목표가 기계 유닛이면 상대는 '바삭바삭' 상태에 진입합니다. 1턴 유지. \n화상: 작전 종료 시 최대 HP의 20% 데미지를 입으며, 해당 데미지는 장갑과 무관합니다. \n'바삭바삭': 장갑 50% 감소."
1152132001,对范围内的敌方单位造成自身攻击60%的伤害，该伤害无视护甲，同时使目标进入“灼烧”状态，持续1回合。<color=#ff8d48>若目标为伯劳单位，则造成的伤害提升100%，该伤害无视减伤。</color>若目标为机械单位，则使对方进入“热脆”状态，持续1回合。\n灼烧：行动结束时，受到生命值上限20%的伤害，该伤害无视护甲。\n热脆：护甲降低50%。,對範圍內的敵方單位造成自身攻擊60%的傷害，該傷害無視護甲，同時使目標進入“灼燒”狀態，持續1回合。<color=#ff8d48>若目標為伯勞單位，則造成的傷害提升100%，該傷害無視減傷。</color>若目標為機械單位，則使對方進入“熱脆”狀態，持續1回合。\n灼燒：行動結束時，受到生命值上限20%的傷害，該傷害無視護甲。\n熱脆：護甲降低50%。,"Deal damage equal to 60% of own attack to enemy units within the area of effect and inflict ""Scorched"" to all targets for 1 turn. This damage ignores armor. <color=#ff8d48>Deal double damage  if the target is a Shrike unit. This damage ignores damage reduction.</color> Additionally, inflict ""Fragile"" to mechanical units for 1 turn. \nScorched: Take damage that ignores armor equal to 20% of the unit's Max HP at the end of the action. \nFragile: Reduce armor by 50%.",範囲内の敵ユニットが自分の攻撃の60%のダメージを受ける。このダメージはアーマーを無視する。<color=#ff8d48>また、シュライクユニットに2倍のダメージを与える。このダメージはダメージ軽減を無視する。</color>同時に、1ターンの間、全てのターゲットが「燃焼」状態になり、機械ユニットが「熱脆弱」状態になる。\n燃焼：行動終了時、自分の最大HPの20%のダメージを受ける。このダメージはアーマーを無視する。\n熱脆弱：アーマーが50%減少する。,"범위 내의 적군 유닛에 자체 공격 60%의 데미지를 입힙니다, 해당 데미지는 장갑과 무관하며, 동시에 목표가 '화상' 상태에 진입합니다. 1턴 유지. <color=#ff8d48>만약 목표가 슈라이크 유닛이면 입히는 데미지가 100% 상승하고, 해당 데미지는 데미지 감소와 무관합니다.  </color>만약 목표가 기계 유닛이면 상대가 '뜨겁게 바삭바삭' 상태에 진입합니다. 1턴 유지. \n 화상: 작전 종료 시 자체 최대HP의 20% 데미지를 입으며, 해당 데미지는 장갑과 무관합니다. \n뜨겁게 바삭바삭: 장갑 50% 감소."
1152133000,对范围内的敌方单位造成自身攻击100%的伤害，该伤害无视护甲，同时使目标进入“灼烧”状态，持续1回合。若目标为机械单位，则使对方进入“热脆”状态，持续1回合。\n灼烧：行动结束时，受到生命值上限25%的伤害，该伤害无视护甲。\n热脆：护甲降低50%。,對範圍內的敵方單位造成自身攻擊100%的傷害，該傷害無視護甲，同時使目標進入“灼燒”狀態，持續1回合。若目標為機械單位，則使對方進入“熱脆”狀態，持續1回合。\n灼燒：行動結束時，受到生命值上限25%的傷害，該傷害無視護甲。\n熱脆：護甲降低50%。,"Deal damage equal to 100% of own attack that ignores armor to enemy units within the area and inflict ""Scorched"" to the target for 1 turn. If the target is a mechanical unit, inflict ""Fragile"" for 1 turn. \nScorched: Take damage equal to 25% of max HP at the end of the action. \nFragile: Reduce armor by 50%.",範囲内の敵ユニットに自分の攻撃の100%のダメージを与える。このダメージはアーマーを無視する。さらに1ターンの間、ターゲットを「燃焼」状態にする。ターゲットが機械ユニットである場合、1ターンの間、対象を「熱脆弱」状態にする。\n燃焼：行動終了時、自分の最大HPの25%のダメージを受ける。このダメージはアーマーを無視する。\n熱脆弱：アーマーが50%減少する。,"범위 내의 적군 유닛에 자체 공격 100%의 데미지를 줍니다. 해당 데미지는 장갑과 무관하며, 모든 목표는 '화상' 상태에 진입합니다. 1턴 유지. 만약 목표가 기계 유닛이면 상대는 '바삭바삭' 상태에 진입합니다. 1턴 유지. \n화상: 작전 종료 시 최대 HP의 25% 데미지를 입으며, 해당 데미지는 장갑과 무관합니다. \n'바삭바삭': 장갑 50% 감소."
1152133001,对范围内的敌方单位造成自身攻击100%的伤害，该伤害无视护甲，同时使目标进入“灼烧”状态，持续1回合。<color=#ff8d48>若目标为伯劳单位，则造成的伤害提升100%，该伤害无视减伤。</color>若目标为机械单位，则使对方进入“热脆”状态，持续1回合。\n灼烧：行动结束时，受到生命值上限25%的伤害，该伤害无视护甲。\n热脆：护甲降低50%。,對範圍內的敵方單位造成自身攻擊100%的傷害，該傷害無視護甲，同時使目標進入“灼燒”狀態，持續1回合。<color=#ff8d48>若目標為伯勞單位，則造成的傷害提升100%，該傷害無視減傷。</color>若目標為機械單位，則使對方進入“熱脆”狀態，持續1回合。\n灼燒：行動結束時，受到生命值上限25%的傷害，該傷害無視護甲。\n熱脆：護甲降低50%。,"Deal damage equal to 100% of own attack to enemy units within the area of effect and inflict ""Scorched"" to all targets for 1 turn. This damage ignores armor. <color=#ff8d48>Deal double damage  if the target is a Shrike unit. This damage ignores damage reduction.</color> Additionally, inflict ""Fragile"" to mechanical units for 1 turn. \nScorched: Take damage that ignores armor equal to 25% of the unit's Max HP at the end of the action. \nFragile: Reduce armor by 50%.",範囲内の敵ユニットが自分の攻撃の100%のダメージを受ける。このダメージはアーマーを無視する。<color=#ff8d48>また、シュライクユニットに2倍のダメージを与える。このダメージはダメージ軽減を無視する。</color>同時に、1ターンの間、全てのターゲットが「燃焼」状態になり、機械ユニットが「熱脆弱」状態になる。\n燃焼：行動終了時、自分の最大HPの25%のダメージを受ける。このダメージはアーマーを無視する。\n熱脆弱：アーマーが50%減少する。,"범위 내의 적군 유닛에 자체 공격 100%의 데미지를 입힙니다, 해당 데미지는 장갑과 무관하며, 동시에 목표가 '화상' 상태에 진입합니다. 1턴 유지. <color=#ff8d48>만약 목표가 슈라이크 유닛이면 입히는 데미지가 100% 상승하고, 해당 데미지는 데미지 감소와 무관합니다.  </color>만약 목표가 기계 유닛이면 상대가 '뜨겁게 바삭바삭' 상태에 진입합니다. 1턴 유지. \n 화상: 작전 종료 시 자체 최대HP의 25% 데미지를 입으며, 해당 데미지는 장갑과 무관합니다. \n뜨겁게 바삭바삭: 장갑 50% 감소."
1152134000,对范围内的敌方单位造成自身攻击100%的伤害，该伤害无视护甲，同时使目标进入“灼烧”状态，持续1回合。若目标为机械单位，则使对方进入“热脆”状态，持续1回合。\n灼烧：行动结束时，受到生命值上限25%的伤害，该伤害无视护甲。\n热脆：护甲降低50%。,對範圍內的敵方單位造成自身攻擊100%的傷害，該傷害無視護甲，同時使目標進入“灼燒”狀態，持續1回合。若目標為機械單位，則使對方進入“熱脆”狀態，持續1回合。\n灼燒：行動結束時，受到生命值上限25%的傷害，該傷害無視護甲。\n熱脆：護甲降低50%。,"Deal damage equal to 100% of own attack that ignores armor to enemy units within the area and inflict ""Scorched"" to the target for 1 turn. If the target is a mechanical unit, inflict ""Fragile"" for 1 turn. \nScorched: Take damage equal to 25% of max HP at the end of the action. \nFragile: Reduce armor by 50%.",範囲内の敵ユニットに自分の攻撃の100%のダメージを与える。このダメージはアーマーを無視する。さらに1ターンの間、ターゲットを「燃焼」状態にする。ターゲットが機械ユニットである場合、1ターンの間、対象を「熱脆弱」状態にする。\n燃焼：行動終了時、自分の最大HPの25%のダメージを受ける。このダメージはアーマーを無視する。\n熱脆弱：アーマーが50%減少する。,"범위 내의 적군 유닛에 자체 공격 100%의 데미지를 줍니다. 해당 데미지는 장갑과 무관하며, 모든 목표는 '화상' 상태에 진입합니다. 1턴 유지. 만약 목표가 기계 유닛이면 상대는 '바삭바삭' 상태에 진입합니다. 1턴 유지. \n화상: 작전 종료 시 최대 HP의 25% 데미지를 입으며, 해당 데미지는 장갑과 무관합니다. \n'바삭바삭': 장갑 50% 감소."
1152134001,对范围内的敌方单位造成自身攻击100%的伤害，该伤害无视护甲，同时使目标进入“灼烧”状态，持续1回合。<color=#ff8d48>若目标为伯劳单位，则造成的伤害提升100%，该伤害无视减伤。</color>若目标为机械单位，则使对方进入“热脆”状态，持续1回合。\n灼烧：行动结束时，受到生命值上限25%的伤害，该伤害无视护甲。\n热脆：护甲降低50%。,對範圍內的敵方單位造成自身攻擊100%的傷害，該傷害無視護甲，同時使目標進入“灼燒”狀態，持續1回合。<color=#ff8d48>若目標為伯勞單位，則造成的傷害提升100%，該傷害無視減傷。</color>若目標為機械單位，則使對方進入“熱脆”狀態，持續1回合。\n灼燒：行動結束時，受到生命值上限25%的傷害，該傷害無視護甲。\n熱脆：護甲降低50%。,"Deal damage equal to 100% of own attack to enemy units within the area of effect and inflict ""Scorched"" to all targets for 1 turn. This damage ignores armor. <color=#ff8d48>Deal double damage  if the target is a Shrike unit. This damage ignores damage reduction.</color> Additionally, inflict ""Fragile"" to mechanical units for 1 turn. \nScorched: Take damage that ignores armor equal to 25% of the unit's Max HP at the end of the action. \nFragile: Reduce armor by 50%.",範囲内の敵ユニットが自分の攻撃の100%のダメージを受ける。このダメージはアーマーを無視する。<color=#ff8d48>また、シュライクユニットに2倍のダメージを与える。このダメージはダメージ軽減を無視する。</color>同時に、1ターンの間、全てのターゲットが「燃焼」状態になり、機械ユニットが「熱脆弱」状態になる。\n燃焼：行動終了時、自分の最大HPの25%のダメージを受ける。このダメージはアーマーを無視する。\n熱脆弱：アーマーが50%減少する。,"범위 내의 적군 유닛에 자체 공격 100%의 데미지를 입힙니다, 해당 데미지는 장갑과 무관하며, 동시에 목표가 '화상' 상태에 진입합니다. 1턴 유지. <color=#ff8d48>만약 목표가 슈라이크 유닛이면 입히는 데미지가 100% 상승하고, 해당 데미지는 데미지 감소와 무관합니다.  </color>만약 목표가 기계 유닛이면 상대가 '뜨겁게 바삭바삭' 상태에 진입합니다. 1턴 유지. \n 화상: 작전 종료 시 자체 최대HP의 25% 데미지를 입으며, 해당 데미지는 장갑과 무관합니다. \n뜨겁게 바삭바삭: 장갑 50% 감소."
1152135000,对范围内的敌方单位造成自身攻击150%的伤害，该伤害无视护甲，同时使目标进入“灼烧”状态，持续1回合。若目标为机械单位，则使对方进入“热脆”状态，持续1回合。\n灼烧：行动结束时，受到生命值上限35%的伤害，该伤害无视护甲。\n热脆：护甲降低50%。,對範圍內的敵方單位造成自身攻擊150%的傷害，該傷害無視護甲，同時使目標進入“灼燒”狀態，持續1回合。若目標為機械單位，則使對方進入“熱脆”狀態，持續1回合。\n灼燒：行動結束時，受到生命值上限35%的傷害，該傷害無視護甲。\n熱脆：護甲降低50%。,"Deal damage equal to 150% of own attack that ignores armor to enemy units within the area and inflict ""Scorched"" to the target for 1 turn. If the target is a mechanical unit, inflict ""Fragile"" for 1 turn. \nScorched: Take damage equal to 35% of max HP at the end of the action. \nFragile: Reduce armor by 50%.",範囲内の敵ユニットに自分の攻撃の150%のダメージを与える。このダメージはアーマーを無視する。さらに1ターンの間、ターゲットを「燃焼」状態にする。ターゲットが機械ユニットである場合、1ターンの間、対象を「熱脆弱」状態にする。\n燃焼：行動終了時、自分の最大HPの35%のダメージを受ける。このダメージはアーマーを無視する。\n熱脆弱：アーマーが50%減少する。,"범위 내의 적군 유닛에 자체 공격 150%의 데미지를 줍니다. 해당 데미지는 장갑과 무관하며, 모든 목표는 '화상' 상태에 진입합니다. 1턴 유지. 만약 목표가 기계 유닛이면 상대는 '바삭바삭' 상태에 진입합니다. 1턴 유지. \n화상: 작전 종료 시 최대 HP의 35% 데미지를 입으며, 해당 데미지는 장갑과 무관합니다. \n'바삭바삭': 장갑 50% 감소."
1152135001,对范围内的敌方单位造成自身攻击150%的伤害，该伤害无视护甲，同时使目标进入“灼烧”状态，持续1回合。<color=#ff8d48>若目标为伯劳单位，则造成的伤害提升100%，该伤害无视减伤。</color>若目标为机械单位，则使对方进入“热脆”状态，持续1回合。\n灼烧：行动结束时，受到生命值上限35%的伤害，该伤害无视护甲。\n热脆：护甲降低50%。,對範圍內的敵方單位造成自身攻擊150%的傷害，該傷害無視護甲，同時使目標進入“灼燒”狀態，持續1回合。<color=#ff8d48>若目標為伯勞單位，則造成的傷害提升100%，該傷害無視減傷。</color>若目標為機械單位，則使對方進入“熱脆”狀態，持續1回合。\n灼燒：行動結束時，受到生命值上限35%的傷害，該傷害無視護甲。\n熱脆：護甲降低50%。,"Deal damage equal to 150% of own attack to enemy units within the area of effect and inflict ""Scorched"" to all targets for 1 turn. This damage ignores armor. <color=#ff8d48>Deal double damage  if the target is a Shrike unit. This damage ignores damage reduction.</color> Additionally, inflict ""Fragile"" to mechanical units for 1 turn. \nScorched: Take damage that ignores armor equal to 35% of the unit's Max HP at the end of the action. \nFragile: Reduce armor by 50%.",範囲内の敵ユニットが自分の攻撃の150%のダメージを受ける。このダメージはアーマーを無視する。<color=#ff8d48>また、シュライクユニットに2倍のダメージを与える。このダメージはダメージ軽減を無視する。</color>同時に、1ターンの間、全てのターゲットが「燃焼」状態になり、機械ユニットが「熱脆弱」状態になる。\n燃焼：行動終了時、自分の最大HPの35%のダメージを受ける。このダメージはアーマーを無視する。\n熱脆弱：アーマーが50%減少する。,"범위 내의 적군 유닛에 자체 공격 150%의 데미지를 입힙니다, 해당 데미지는 장갑과 무관하며, 동시에 목표가 '화상' 상태에 진입합니다. 1턴 유지. <color=#ff8d48>만약 목표가 슈라이크 유닛이면 입히는 데미지가 100% 상승하고, 해당 데미지는 데미지 감소와 무관합니다.  </color>만약 목표가 기계 유닛이면 상대가 '뜨겁게 바삭바삭' 상태에 진입합니다. 1턴 유지. \n 화상: 작전 종료 시 자체 최대HP의 35% 데미지를 입으며, 해당 데미지는 장갑과 무관합니다. \n뜨겁게 바삭바삭: 장갑 50% 감소."
