key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
4033011,“戴伯格”战争要塞已成为可控制单位。,“戴伯格”戰爭要塞已成為可控制單位。,"The ""Diberg"" Battle Fortress has become a controllable unit.",ウォーフォート「ダジボーグ」が操作可能なユニットになった。,디버그 전쟁 요새가 아군 유닛이 되었습니다.
4024021,卡尔已获得新武器：飞蜥。,卡爾已獲得新武器：飛蜥。,Carl obtains a new weapon: Draco.,カールは新しい武器：アガマを入手した。,칼의 새로운 무기: 비행 도마뱀을 획득했습니다.
3000021,安德森已成为我方可控制角色。,安德森已成為我方可控制角色。,Anderson becomes a controllable allied unit.,アンダーソンが操作可能な味方ユニットになった。,앤더슨이 아군 유닛이 되었습니다.
5003011,强烈的伯劳吞噬已致使接近的角色的普通武器失效，但已启用专攻伯劳虚谬之心的最终“凝血”武器！,強烈的伯勞吞噬已致使接近的角色的普通武器失效，但已啟用專攻伯勞虛謬之心的最終“凝血”武器！,"Extreme Shrike Corrosion has disabled nearby character's normal weapons, began using Shrike Full Assault Form False Heart Ultimate Weapon ""Coagulation Dagger""!",シュライクの激しい呑み込みで近くいるユニットの通常武器が使えなくなった。シュライクの偽りの心を完全に打ち砕く究極武器「血液凝固ナイフ」が使えるようになった！,강렬한 슈라이크의 집어삼키는 힘 때문에 접근한 캐릭터의 일반 무기가 효력을 잃었습니다. 하지만 이미 슈라이크의 허망의 심장을 공격하는 최종 ‘혈액 응고’ 무기를 발동했습니다!
5003021,强烈的伯劳吞噬已致使蒙德的普通武器失效，已启用专攻完全态伯劳虚谬之心的最终武器“凝血匕首”！,強烈的伯勞吞噬已致使蒙德的普通武器失效，已啟用專攻完全態伯勞虛謬之心的最終武器“凝血匕首”！,"Extreme Shrike Corrosion has disabled Mendo's weapons, but it has activated the ultimate weapon ""Coagulating Dagger"", which specializes against the Shrike's False Heart!",シュライクの激しい呑み込みでモンドの通常武器が使えなくなった。シュライクの偽りの心を完全に打ち砕く究極武器「血液凝固ナイフ」が使えるようになった！,강력한 슈라이크의 집어삼키는 힘으로 멘도의 일반 무기가 효력을 잃었습니다. 완전체 슈라이크의 허망의 심장 공격 전용 최종 무기 ‘응고된 피의 단검’을 사용합니다.
5003031,强烈的伯劳吞噬已致使黎格的普通武器失效，已启用专攻完全态伯劳虚谬之心的最终武器“凝血匕首”！,強烈的伯勞吞噬已致使黎格的普通武器失效，已啟用專攻完全態伯勞虛謬之心的最終武器“凝血匕首”！,"Extreme Shrike Corrosion has disabled Mendo's weapons, but it has activated the ultimate weapon ""Coagulating Dagger"", which specializes against the Shrike's False Heart!",シュライクの激しい呑み込みでリゲルの通常武器が使えなくなった。シュライクの偽りの心を完全に打ち砕く究極武器「血液凝固ナイフ」が使えるようになった！,강력한 슈라이크의 집어삼키는 힘으로 리겔의 일반 무기가 효력을 잃었습니다. 완전체 슈라이크의 허망의 심장 공격 전용 최종 무기 ‘응고된 피의 단검’을 사용합니다.
3012012,按<quad name=joystick/leftbumper_left_tutorial width=4.3 height=1/>可查看今日值班表。,按<quad name=joystick/leftbumper_left_tutorial width=4.3 height=1/>可查看今日值班表。,Press <quad name=joystick/leftbumper_left_tutorial width=4.3 height=1/> to view today's Duty Schedule.,<quad name=joystick/leftbumper_left_tutorial width=4.3 height=1/>を押すと、今日の宿直表を確認できる。,<quad name=joystick/leftbumper_left_tutorial width=4.3 height=1/>을 눌러 오늘 당직표를 볼 수 있습니다.
3009022,按<quad name=joystick/leftbumper_left_tutorial width=4.3 height=1/>可查看游园指南照片。,按<quad name=joystick/leftbumper_left_tutorial width=4.3 height=1/>可查看遊園指南照片。,Press <quad name=joystick/leftbumper_left_tutorial width=4.3 height=1/> to view the Park Guide Photo.,<quad name=joystick/leftbumper_left_tutorial width=4.3 height=1/>を押すと、遊園地案内の写真を確認できる。,<quad name=joystick/leftbumper_left_tutorial width=4.3 height=1/>을 눌러 놀이공원 가이드 사진을 볼 수 있습니다.
3012022,按<quad name=joystick/leftbumper_right_tutorial width=4.3 height=1/>可查看探照灯的照明范围及移动路径。,按<quad name=joystick/leftbumper_right_tutorial width=4.3 height=1/>可查看探照燈的照明範圍及移動路徑。,Press <quad name=joystick/leftbumper_right_tutorial width=4.3 height=1/> to view the range and route of Searchlights.,<quad name=joystick/leftbumper_right_tutorial width=4.3 height=1/>を押すと、サーチライトの照射範囲と移動ルートを確認できる。,<quad name=joystick/leftbumper_right_tutorial width=4.3 height=1/>을 눌러 서치라이트의 조명 범위 및 이동 경로를 볼 수 있습니다.
3012011,按<quad name=pc/pc_m width=1.8 height=1/>可查看今日值班表。,按<quad name=pc/pc_m width=1.8 height=1/>可查看今日值班表。,Press <quad name=pc/pc_m width=1.8 height=1/> to view today's Duty Schedule.,<quad name=pc/pc_m width=1.8 height=1/>を押すと、今日の宿直表を確認できる。,<quad name=pc/pc_m width=1.8 height=1/>을 눌러 오늘 당직표를 볼 수 있습니다.
