key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
86c0,键鼠操作,鍵鼠操作,Keyboard & Mouse,キーボード操作,키보드 마우스 조작
86type,基础操作,基礎操作,Basic Actions,基本操作,기본 조작
86c1,在战役中，键盘的操作如图所示。,在戰役中，鍵盤的操作如圖所示。,"In battle, the keyboard is operated as shown.",戦役モードでのキーボード操作は図の通りです。,전투에서 키보드 조작은 그림과 같습니다.
86c2,在战役中，键盘的操作如图所示。,在戰役中，鍵盤的操作如圖所示。,"In battle, the keyboard is operated as shown.",戦役モードでのキーボード操作は図の通りです。,전투에서 키보드 조작은 그림과 같습니다.
86c11,键盘的操作,鍵盤的操作,Keyboard,キーボードの操作,키보드 조작
87c0,手柄操作,手柄操作,Controller,コントローラー操作,게임 컨트롤러 조작
87type,基础操作,基礎操作,Basic Actions,基本操作,기본 조작
87c1,在战役中，手柄的操作如图所示。,在戰役中，手柄的操作如圖所示。,"In battle, the controllers are operated as shown.",戦役モードでのコントローラー操作は図の通りです。,전투에서 게임 컨트롤러 조작은 그림과 같습니다.
87c2,在战役中，手柄的操作如图所示。,在戰役中，手柄的操作如圖所示。,"In battle, the controllers are operated as shown.",戦役モードでのコントローラー操作は図の通りです。,전투에서 게임 컨트롤러 조작은 그림과 같습니다.
87c11,Xbox布局,Xbox佈局,Xbox Layout,Xboxボタン配置,Xbox배치
88c0,手柄操作,手柄操作,Controller,コントローラー操作,게임 컨트롤러 조작
88type,基础操作,基礎操作,Basic Actions,基本操作,기본 조작
88c1,在战役中，手柄的操作如图所示。,在戰役中，手柄的操作如圖所示。,"In battle, the controllers are operated as shown.",戦役モードでのコントローラー操作は図の通りです。,전투에서 게임 컨트롤러 조작은 그림과 같습니다.
88c2,在战役中，手柄的操作如图所示。,在戰役中，手柄的操作如圖所示。,"In battle, the controllers are operated as shown.",戦役モードでのコントローラー操作は図の通りです。,전투에서 게임 컨트롤러 조작은 그림과 같습니다.
88c11,PS布局,PS佈局,PlayStation Layout,PlayStationボタン配置,PS배치
1c0,战役任务,戰役任務,Battle Objectives,戦役任務,전투 임무
1type,战场知识,戰場知識,Battlefield Knowledge,戦場の知識,전장 지식
1c1,<color=#ff8d48>胜利目标</color>是战役中<color=#ff8d48>必须完成</color>的主要目标，达成后即宣告战役胜利。若一场战役中存在多个阶段，则非最终目标都会以<color=#ff8d48>阶段目标</color>显示。,<color=#ff8d48>勝利目標</color>是戰役中<color=#ff8d48>必須完成</color>的主要目標，達成後即宣告戰役勝利。若一場戰役中存在多個階段，則非最終目標都會以<color=#ff8d48>階段目標</color>顯示。,"A <color=#ff8d48>Victory Objective</color> is the primary goal that <color=#ff8d48>must be achieved</color> during the battle. Once accomplished, the battle is declared a victory. If there are multiple phases in a battle, secondary objectives are shown as <color=#ff8d48>Phase Objectives</color>.",<color=#ff8d48>メイン任務</color>は、戦役において<color=#ff8d48>クリアしなければならない</color>主な目標です。クリアすると戦役の勝利が宣言されます。一度の戦役に複数の段階がある場合、非最終任務は<color=#ff8d48>段階的任務</color>として表示されます。,"<color=#ff8d48>승리 목표</color>는 전투에서 <color=#ff8d48>반드시 완성해야 할</color> 주된 목표입니다. 목표 달성 후 즉시 전투에서 승리하였음을 알립니다. 한 전투에서 여러 단계가 있는 경우, 최종 단계가 아닌 스테이지는 모두 <color=#ff8d48>단계 목표</color>로 표시됩니다."
