key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
100101000,破片手雷,破片手榴彈,Fragmentation Grenade,破片手榴弾,세열수류탄
100101001,对范围内的敌方单位造成<color=#ff7373>40伤害</color>。,對範圍內的敵方單位造成<color=#ff7373>40傷害</color>。,Deal <color=#ff7373>40 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff7373>40ダメージ</color>を与える。,범위 내의 적 유닛에게 <color=#ff7373>40의 피해</color>를 입힌다.
100101003,对范围内的敌方单位造成<color=#ff7373>40伤害</color>。,對範圍內的敵方單位造成<color=#ff7373>40傷害</color>。,Deal <color=#ff7373>40 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff7373>40ダメージ</color>を与える。,범위 내의 적 유닛에게 <color=#ff7373>40의 피해</color>를 입힌다.
100101005,对范围内的敌方单位造成40伤害。,對範圍內的敵方單位造成40傷害。,Deal 40 damage to enemy units within the area of effect.,範囲内の敵ユニットに40ダメージを与える。,범위 내의 적 유닛에게 40의 피해를 입힌다.
100102000,破片手雷,破片手榴彈,Fragmentation Grenade,破片手榴弾,세열수류탄
100102001,对范围内的敌方单位造成<color=#ff7373>50伤害</color>。,對範圍內的敵方單位造成<color=#ff7373>50傷害</color>。,Deal <color=#ff7373>50 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff7373>50ダメージ</color>を与える。,범위 내의 적 유닛에게 <color=#ff7373>50의 피해</color>를 입힌다.
100102002,对范围内的敌方单位造成<color=#ff8d48>50伤害</color>。,對範圍內的敵方單位造成<color=#ff8d48>50傷害</color>。,Deal <color=#ff8d48>50 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff8d48>50ダメージ</color>を与える。,범위 내의 적 유닛에게 <color=#ff8d48>50의 피해</color>를 입힌다.
100102003,对范围内的敌方单位造成<color=#ff7373>50伤害</color>。,對範圍內的敵方單位造成<color=#ff7373>50傷害</color>。,Deal <color=#ff7373>50 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff7373>50ダメージ</color>を与える。,범위 내의 적 유닛에게 <color=#ff7373>50의 피해</color>를 입힌다.
100102005,对范围内的敌方单位造成50伤害。,對範圍內的敵方單位造成50傷害。,Deal 50 damage to enemy units within the area of effect.,範囲内の敵ユニットに50ダメージを与える。,범위 내의 적 유닛에게 50의 피해를 입힌다.
100103000,破片手雷,破片手榴彈,Fragmentation Grenade,破片手榴弾,세열수류탄
100103001,对范围内的敌方单位造成<color=#ff7373>60伤害</color>。,對範圍內的敵方單位造成<color=#ff7373>60傷害</color>。,Deal <color=#ff7373>60 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff7373>60ダメージ</color>を与える。,범위 내의 적 유닛에게 <color=#ff7373>60의 피해</color>를 입힌다.
100103002,对范围内的敌方单位造成<color=#ff8d48>60伤害</color>。,對範圍內的敵方單位造成<color=#ff8d48>60傷害</color>。,Deal <color=#ff8d48>60 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff8d48>60ダメージ</color>を与える。,범위 내의 적 유닛에게 <color=#ff8d48>60의 피해</color>를 입힌다.
100103003,对范围内的敌方单位造成<color=#ff7373>60伤害</color>。,對範圍內的敵方單位造成<color=#ff7373>60傷害</color>。,Deal <color=#ff7373>60 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff7373>60ダメージ</color>を与える。,범위 내의 적 유닛에게게 <color=#ff7373>60의 피해</color>를 입힌다.
100103005,对范围内的敌方单位造成60伤害。,對範圍內的敵方單位造成60傷害。,Deal 60 damage to enemy units within the area of effect.,範囲内の敵ユニットに60ダメージを与える。,범위 내의 적 유닛에게 60의 피해를 입힌다.
100104000,破片手雷,破片手榴彈,Fragmentation Grenade,破片手榴弾,세열수류탄
100104001,对范围内的敌方单位造成<color=#ff7373>70伤害</color>。,對範圍內的敵方單位造成<color=#ff7373>70傷害</color>。,Deal <color=#ff7373>70 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff7373>70ダメージ</color>を与える。,범위 내의 적 유닛에게 <color=#ff7373>70의 피해</color>를 입힌다.
100104002,对范围内的敌方单位造成<color=#ff8d48>70伤害</color>。,對範圍內的敵方單位造成<color=#ff8d48>70傷害</color>。,Deal <color=#ff8d48>70 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff8d48>70ダメージ</color>を与える。,범위 내의 적 유닛에게 <color=#ff8d48>70의 피해</color>를 입힌다.
100104003,对范围内的敌方单位造成<color=#ff7373>70伤害</color>。,對範圍內的敵方單位造成<color=#ff7373>70傷害</color>。,Deal <color=#ff7373>70 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff7373>70ダメージ</color>を与える。,범위 내의 적 유닛에게 <color=#ff7373>70의 피해</color>를 입힌다.
100104005,对范围内的敌方单位造成70伤害。,對範圍內的敵方單位造成70傷害。,Deal 70 damage to enemy units within the area of effect.,範囲内の敵ユニットに70ダメージを与える。,범위 내의 적 유닛에게 70의 피해를 입힌다.
100105000,破片手雷,破片手榴彈,Fragmentation Grenade,破片手榴弾,세열수류탄
100105001,对范围内的敌方单位造成<color=#ff7373>80伤害</color>。,對範圍內的敵方單位造成<color=#ff7373>80傷害</color>。,Deal <color=#ff7373>80 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff7373>80ダメージ</color>を与える。,범위 내의 적 유닛에게 <color=#ff7373>80의 피해</color>를 입힌다.
100105002,对范围内的敌方单位造成<color=#ff8d48>80伤害</color>。,對範圍內的敵方單位造成<color=#ff8d48>80傷害</color>。,Deal <color=#ff8d48>80 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff8d48>80ダメージ</color>を与える。,범위 내의 적 유닛에게 <color=#ff8d48>80의 피해</color>를 입힌다.
100105003,对范围内的敌方单位造成<color=#ff7373>80伤害</color>。,對範圍內的敵方單位造成<color=#ff7373>80傷害</color>。,Deal <color=#ff7373>80 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff7373>80ダメージ</color>を与える。,범위 내의 적 유닛에게 <color=#ff7373>80의 피해</color>를 입힌다.
100105005,对范围内的敌方单位造成80伤害。,對範圍內的敵方單位造成80傷害。,Deal 80 damage to enemy units within the area of effect.,範囲内の敵ユニットに80ダメージを与える。,범위 내의 적 유닛에게 80의 피해를 입힌다.
100106000,破片手雷,破片手榴彈,Fragmentation Grenade,破片手榴弾,세열수류탄
100106001,对范围内的敌方单位造成<color=#ff7373>90伤害</color>。,對範圍內的敵方單位造成<color=#ff7373>90傷害</color>。,Deal <color=#ff7373>90 damage</color> to enemy units within the area of effect.,範囲内の敵ユニットに<color=#ff7373>90ダメージ</color>を与える。,범위 내의 적 유닛에게 <color=#ff7373>90의 피해</color>를 입힌다.
