key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
5010000,烧毁的纸张,燒毀的紙張,Burned Paper,燃えた紙,불탄 종이
5010001,幸免于难的残存纸片，上面印着一些意义不明的代码，翻遍了整个别墅都没找到可以使用的地方。,倖免於難的殘存紙片，上面印著一些意義不明的代碼，翻遍了整個別墅都沒找到可以使用的地方。,The remaining pieces of paper that survived had some unknown codes printed on them. Couldn't find any place to use them even after searching the entire villa.,焼け残った紙には謎のコードが印刷されているが、別荘中を探しても、使用できる場所が見当たらない。,간신히 살아남은 잔존 종이 조각. 위에는 의미가 불확실한 코드가 새겨져 있다. 별장을 샅샅이 뒤져봤지만 사용할 수 있는 곳은 안 보인다.
5010002,来源：第一章序幕,來源：第一章序幕,"Source: Chapter 1, Prologue",出所：第一章プロローグ,출처: 제1장 서막
5010010,厚实的大衣,厚實的大衣,Heavy Coat,厚手のコート,두툼한 코트
5010011,原主人留在屋里的大衣，穿在身上感觉格外的温暖，也许“面包房”会需要它。,原主人留在屋裡的大衣，穿在身上感覺格外的溫暖，也許「麵包房」會需要它。,"An extremely warm coat left behind in the house. ""Bakery"" might find it useful.",部屋の主が残していったコート、羽織るととても温かい。「パン屋」にちょうどよさそうだ。,"원 주인이 방에 남겨둔 코트, 입으면 유난히 따뜻하다, ""베이커리""한테 필요할 수도 있다."
5010012,来源：第一章第一幕,來源：第一章第二幕,"Source: Chapter 1, Act 1",入手場所：第一章第一幕,출처：제１장 제１막
5010020,雪绒草,雪絨草,Edelweiss,エーデルワイス,왜솜다리
5010021,大雪中依然神奇绽放的美丽花朵，当地的人们相信它能带来和平与希望。,大雪中依然神奇綻放的美麗花朵，當地的人們相信它能帶來和平與希望。,A beautiful flower that blooms miraculously even in heavy snow. The locals believe that it brings peace and hope.,雪の中でも平然と咲き誇る美しい花。現地の人々には、平和と希望をもたらすと信じられている。,"폭설 속에서도 신비롭게 피어난 아름다운 꽃, 현지인들은 이 꽃이 평화와 희망을 가져다준다고 믿는다."
5010022,来源：第一章第二幕,來源：第一章第二幕,"Source: Chapter 1, Act 2",入手場所：第一章第二幕,출처：제１장 제 2막
5010030,整箱战利品,整箱戰利品,Boxful of Trophies,箱いっぱいの戦利品,전리품 상자
5010031,沉重的箱子内装满了旧式护木、积木玩具和玻璃瓶子，甚至在角落里还找到了几颗松果……但这些又有什么用呢？,沉重的箱子內裝滿了舊式護木、積木玩具和玻璃瓶子，甚至在角落裡還找到了幾顆松果……但這些又有什麼用呢？,"A heavy box that contains an old handguard, some wooden building blocks, and a glass bottle. There are also a few acorns in the corner... But what exactly are these for?",重たい箱には旧式のアームガード、積み木の玩具、ガラスの小瓶、そして箱の隅にはまつぼっくりいくつか入っている……何に使うのだろう？,"무거운 상자 속에는 구식 총열덮개, 장난감 블록과 유리 병들이 가득 채워져있다, 한쪽 구석에는 솔방울도 몇 개 들어있다…… 그런데 무슨 쓸모가 있는 걸까?"
5010032,来源：第一章第三幕,來源：第一章第三幕,"Source: Chapter 1, Act 3",入手場所：第一章第三幕,출처：제１장 제３막
5010040,战术手套,戰術手套,Tactical Gloves,コンバットグローブ,전술 장갑
