key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr,,
10030011,大桥终端密码,大橋終端密碼,Bridge Terminal Passcode,橋上端末のパスワード,다리 단말기 비밀번호,교량 터미널 비밀번호,하시 카미 단말기의 비밀번호
10030012,用于解锁大桥电磁路障的密码，需要在桥头终端设备处输入。,用於解鎖大橋電磁路障的密碼，需要在橋頭終端設備處輸入。,"A passcode for unlocking the electromagnetic barrier of the bridge, to be entered at the bridge terminal.",大きな橋の電磁バリケードを解除できるパスワード。橋のたもとの端末設備にインプットする必要がある。,대교의 전자기 바리케이드를 해제할 수 있는 비밀번호. 다릿목의 단말기에서 입력해야 한다.,교량 터미널에 입력되는 교량의 전자 장벽 잠금을 해제하기 위한 비밀번호입니다.,큰 다리의 전자기 바리케이드를 해제할 수 있는 패스워드.
20080011,入侵芯片,入侵晶片,Hacking Chip,ハッキングチップ,칩 해킹,해킹칩,해킹 팁
20080012,阿特娜提供的用来骇入信号塔的特制芯片，插入终端后可以以极快的速度接管系统。,阿特娜提供的用來駭入信號塔的特製晶片，插入終端後可以以極快的速度接管系統。,"A specially designed chip provided by Atena for hacking signal towers. When inserted into the terminal, it can quickly take over the system.",アテナがくれる信号塔ハッキング用の特製チップ。端末に挿入すると、すぐにシステムを管理できるようになる。,"신호탑 해킹을 위해 아테나가 제공한 특수 칩으로, 단말기에 삽입하면 신속하게 시스템을 장악할 수 있다.",신호탑 해킹을 위해 Atena에서 특별히 설계한 칩입니다. 단말기에 삽입하면 신속하게 시스템을 장악할 수 있습니다.,"아테나가 주는 신호탑 해킹용의 특제 칩.단말에 삽입하면, 곧바로 시스템을 관리할 수 있게 된다."
20140011,办公室门卡,辦公室門卡,Office Keycard,事務所のカードキー,사무실 키 카드,사무실 키카드,사무실의 카드 키
20140012,拥有基地指挥官权限的门卡，可以开启基地内某些办公室的大门。,擁有基地指揮官許可權的門卡，可以開啟基地內某些辦公室的大門。,"A keycard with base commander access privileges, capable of opening doors to certain offices within the base.",基地司令官の権限付きカードキー。基地内の一部事務所の正面ゲートを開けられる。,기지 사령관 권한을 가지 출입 카드. 기지 내의 일부 사무실 대문을 열 수 있다.,기지 내 특정 사무실의 문을 열 수 있는 기지 사령관 접근 권한이 있는 키카드입니다.,기지 사령관의 권한이 있는 카드 키. 기지 내의 일부 사무소의 정면 게이트를 열 수 있다.
30090021,管理员权限卡,管理員許可權卡,Administrator Access Card,管理人権限カード,관리자 권한 카드,관리자 액세스 카드,관리인 권한 카드
30090022,管理员使用的权限卡，可以启动游乐场北区内的所有设备。,管理員使用的許可權卡，可以啟動遊樂場北區內的所有設備。,"Administrator's access card, capable of activating all devices in the northern section of the amusement park.",管理人が使用する権限カード。遊園地北エリアにある全ての設備を起動できる。,"관리자가 사용하는 권한 카드, 게임장 북쪽 구역의 모든 설비를 가동할 수 있다.",놀이공원 북쪽 구역의 모든 장치를 활성화할 수 있는 관리자 액세스 카드입니다.,관리인이 사용하는 권한 카드.유원지 북 지역에 있는 모든 설비를 기동할 수 있다.
30090031,鬼屋奖券,鬼屋獎券,Haunted House Ticket,ホラーハウス引換券,귀신의 집 상품권,유령의 집 입장권,공포 하우스 교환권
30090032,“恭喜你解开了死神的谜题，这是兑换奖券。兑换码：GERNAWY”,“恭喜你解開了死神的謎題，這是兌換獎券。兌換碼：GERNAWY”,“Congratulations on solving the Grim Reaper's Puzzle. This is your redemption ticket. Redemption code: GERNAWY”,「死神の謎が解けました。おめでとうございます。こちらは引換券です。引換コード：GERNAWY」,‘사신의 수수께끼를 푸신 걸 축하합니다. 이건 선물 교환권입니다. 교환 코드: GERNAWY’,“그림리퍼의 퍼즐을 푸신 것을 축하합니다. 이것이 당신의 교환권입니다. 교환 코드: GERNAWY”,「사신의 수수께끼가 풀렸습니다. 축하합니다. 이쪽은 교환권입니다. 교환 코드: GERNAWY」
30090041,摩天轮奖券,摩天輪獎券,Ferris Wheel Ticket,観覧車引換券,관람차 상품권,관람차 티켓,관람차 교환권
30090042,“恭喜你解开了朱瑟伯格的难题，这是兑换奖券。兑换码：OCINEVA”,“恭喜你解開了朱瑟伯格的難題，這是兌換獎券。兌換碼：OCINEVA”,"""Congratulations on solving the Zusenberg's Challenge. This is your redemption ticket. Redemption code: OCINEVA""",「ジュゼポークの問題が解けました。おめでとうございます。こちらは引換券です。引換コード：OCINEVA」,‘유스보그의 난제를 푸신 걸 축하합니다. 이건 선물 교환권입니다. 교환 코드: OCINEVA’,"""Zusenberg의 챌린지를 해결하신 것을 축하합니다. 이것이 교환권입니다. 교환 코드: OCINEVA""",「주제 돼지의 문제가 풀렸습니다. 축하합니다. 이쪽은 교환권입니다. 교환 코드:OCINEVA」
30090051,跳楼机奖券,跳樓機獎券,Drop Tower Ticket,ドロップ・タワー引換券,점핑 머신 상품권,드롭 타워 티켓,드롭 타워 교환권
