key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
100000010,遇袭,遇襲,Ambush,襲撃,매복
100000011,8:22 A.M.,8:22 A.M.,8:22 a.m.,8:22 A.M.,8:22 A.M.
100000012,12月18日8:22 A.M.,12月18日8:22 A.M.,"December 18th, 08:22 a.m.",12月18日8:22 A.M.,12월 18일 8:22 A.M.
100000013,小雪,小雪,Light Snow,小雪,싸라기눈
100000014,北高加索山脉,北高加索山脈,Northern Caucasus Mountains,北コーカサス山脈,북카프카스 산맥
100000015,第一章序幕,第一章序幕,"Chapter 1, Prologue",第一章プロローグ,제1장 서막
100000016,南联特工小队在北高加索山脉执行任务期间遭遇伏击，特工卡尔与蒙德奋力反抗仍然不敌罗联大军的火力。蒙德在试图联络援军时，受到罗联火箭弹爆炸的波及失去了意识，醒来后发现自己被一名神秘少女所救。,南聯特工小隊在北高加索山脈執行任務期間遭遇伏擊，特工卡爾與蒙德奮力反抗仍然不敵羅聯大軍的火力。蒙德在試圖聯絡援軍時，受到羅聯火箭彈爆炸的波及失去了意識，醒來後發現自己被一名神秘少女所救。,"　The AU Special Agent team is ambushed during a mission in the North Caucasus Mountains, agents Carl and Mendo are overwhelmed by the firepower of the URNC army. While attempting to call for reinforcements, Mendo loses consciousness due to the blast of a URNC rocket. Upon waking up, he discovers that he has been rescued by a mysterious girl.",南連エージェント部隊は、北コーカサス山脈での任務中に待ち伏せ攻撃に遭った。エージェントのカールとモンドは力の限り抵抗したが、ロ連の大軍の前では無力でしかなかった。モンドは援軍を要請しようとしたが、ロ連のロケット弾の衝撃によって気を失ってしまった。目が覚めると、モンドは謎の少女に助けられていた。,"　북카프카스 산맥에서 임무를 수행하던 중 매복 공격을 받은 남련 요원 칼과 멘도는 최선을 다해 반격하였으나 여전히 루련 대군의 화력에 밀리고 만다. 지원군과 연락을 시도하던 중 멘도는 루련 로켓포 폭발 때문에 의식을 잃었고, 깨어나 보니 수수께끼의 소녀에게 구조된 상태였다."
100100010,初次作战,初次作戰,The First Battle,初めての作戦,첫 전투
100100011,8:51 A.M.,8:51 A.M.,8:51 a.m.,8:51 A.M.,8:51 A.M.
100100012,12月18日8:51 A.M.,12月18日8:51 A.M.,"December 18th, 08:51 a.m.",12月18日8:51 A.M.,12월 18일 8:51 A.M.
100100013,小雪,小雪,Light Snow,小雪,싸라기눈
100100014,北高加索山脉,北高加索山脈,Northern Caucasus Mountains,北コーカサス山脈,북카프카스 산맥
100100015,第一章第一幕,第一章第一幕,"Chapter 1, Act 1",第一章第一幕,제1장 제1막
100100016,遇袭点周围皆是罗联的搜查部队，幸免于难的南联特工蒙德跟随着神秘少女一起踏上了逃离的路。在神秘少女的带领下，两人合作躲过了附近士兵的追击。,遇襲點周圍皆是羅聯的搜查部隊，倖免於難的南聯特工蒙德跟隨著神秘少女一起踏上了逃離的路。在神秘少女的帶領下，兩人合作躲過了附近士兵的追擊。,"　The ambush site is surrounded by URNC search teams, and the surviving AU agent, Mendo, follows the mysterious girl on an escape route. Under the guidance of the mysterious girl, the two cooperate to evade pursuit from nearby soldiers.",奇襲地点周辺はロ連の捜索部隊だらけだった。幸運にも難を逃れた南連エージェントのモンドは、謎の少女と共に逃避行を始めた。謎の少女に導かれ、二人は協力して付近の兵士たちの追撃から逃れるのであった。,"　피습 당한 지점 주위는 모두 루련의 수색부대였다. 다행히 살아남은 남련 특공 멘도는 수수께끼의 소녀를 따라 도망쳤다. 수수께끼의 소녀가 이끄는 대로 가, 두 사람은 근처 병사의 추격에서 살아남는다."
100200010,雪中潜行,雪中潛行,Sneaking Through the Snow,吹雪に紛れて,눈보라를 틈타서
100200011,9:31 A.M.,9:31 A.M.,9:31 a.m.,9:31 A.M.,9:31 A.M.
100200012,12月18日9:31 A.M.,12月18日9:31 A.M.,"December 18th, 09:31 a.m.",12月18日9:31 A.M.,12월 18일 9:31 A.M.
100200013,中雪,中雪,Moderate Snow,中程度の降雪,눈
100200014,北高加索山脉,北高加索山脈,Northern Caucasus Mountains,北コーカサス山脈,북카프카스 산맥
100200015,第一章第二幕,第一章第二幕,"Chapter 1, Act 2",第一章第二幕,제1장 제2막
100200016,蒙德凭借南联线人“丹顶鹤”提供的情报明确了逃离搜索圈的路线，他带着神秘少女在大雪中潜行通过了有罗联士兵驻守的村庄。,蒙德憑藉南聯線人“丹頂鶴”提供的情報明確了逃離搜索圈的路線，他帶著神秘少女在大雪中潛行通過了有羅聯士兵駐守的村莊。,"　With the intelligence provided by his AU informant ""Crane"", Mendo identifies the escape route out of the search zone. Together with the mysterious girl, he sneaks through a village of URNC soldiers in heavy snow.",南連の情報提供者「ヤポネンシス」から得た情報を頼りに、モンドは捜索範囲から脱出するルートを決定した。吹雪に紛れ、モンドは謎の少女と共にロ連兵の駐屯する村を通り抜けた。,멘도는 남련 요원 '두루미'가 제공한 정보를 통해 탈출 노선을 확보했다. 눈보라를 틈타 그는 수수께끼의 소녀를 데리고 루련 병사들이 주둔하고 있는 마을을 통과했다.
100300010,涉险离开,涉險離開,Narrow Escape,危険な離脱,위험한 탈출
100300011,10:23 A.M.,10:23 A.M.,10:23 a.m.,10:23 A.M.,10:23 A.M.
100300012,12月18日10:23 A.M.,12月18日10:23 A.M.,"December 18th, 10:23 a.m.",12月18日10:23 A.M.,12월 18일 10:23 A.M.
100300013,中雪,中雪,Moderate Snow,中程度の降雪,눈
100300014,北高加索山脉,北高加索山脈,Northern Caucasus Mountains,北コーカサス山脈,북카프카스 산맥
100300015,第一章第三幕,第一章第三幕,"Chapter 1, Act 3",第一章第三幕,제1장 제3막
100300016,神秘少女与蒙德潜入了罗联的大桥据点，利用特工设备顺利从敌方终端中获得了解除大桥电子屏障的密码。随着雪势变小，两人在企图过桥时被驻守的罗联士兵发现，并与附近支援而来的敌人展开了激烈的交火。由于前往车站的路线被封堵，无奈之下他们只能调整计划，借用罗联的雪地摩托迅速逃离。,神秘少女與蒙德潛入了羅聯的大橋據點，利用特工設備順利從敵方終端中獲得瞭解除大橋電子屏障的密碼。隨著雪勢變小，兩人在企圖過橋時被駐守的羅聯士兵發現，並與附近支援而來的敵人展開了激烈的交火。由於前往車站的路線被封堵，無奈之下他們只能調整計畫，借用羅聯的雪地摩托迅速逃離。,"　The mysterious girl and Mendo infiltrate the URNC stronghold on the bridge. Using secret agent equipment, they successfully obtain the passcode from the enemy terminal to disable the bridge's electronic barrier. As the snow lightens, the two are spotted by the URNC soldiers stationed at the bridge as they attempt to cross. A fierce firefight ensues. As the route to the station is blocked, they have no choice but to adjust their plan and escape on a URNC snowmobile.",ロ連の橋上拠点に潜入した謎の少女とモンドは、エージェントの設備を使用して、敵の端末から橋の電子制御を解除するパスワードを無事入手した。雪が弱まり、二人が橋を渡ろうとしている姿を駐屯していたロ連兵に発見されてしまった。そして、付近にいた敵援軍との激しい戦闘が始まった。駅へのルートが封鎖されてしまったため、二人は仕方なく計画を変更し、ロ連のスノーモービルを拝借して急いでそこを離れた。,"　수수께끼의 소녀와 멘도는 루련의 대교 거점에 도착하여, 요원의 장비를 사용해 순조롭게 적군 단말기에서 다리의 바리케이드 장벽을 해제할 비밀번호를 얻었다. 눈이 잦아들면서 두 사람은 다리를 건널 때 지키고 있는 루련 병사에게 발견되었고, 근처에서 지원하는 적과 격렬한 교전을 벌였다. 정거장으로 가는 노선이 막혀 어쩔 수 없이 계획을 변경해 루련의 스노모빌로 신속하게 도망친다."
100400010,雪地搁浅,雪地擱淺,Stranded in Snow,雪原の遭難,눈밭 좌초
100400011,11:41 A.M.,11:41 A.M.,11:41 a.m.,11:41 A.M.,11:41 A.M.
100400012,12月18日11:41 A.M.,12月18日11:41 A.M.,"December 18th, 11:41 a.m.",12月18日11:41 A.M.,12월 18일 11:41 A.M.
100400013,小雪,小雪,Light Snow,小雪,싸라기눈
100400014,北高加索山脉,北高加索山脈,Northern Caucasus Mountains,北コーカサス山脈,북카프카스 산맥
100400015,第一章第四幕,第一章第四幕,"Chapter 1, Act 4",第一章第四幕,제1장 제4막
