key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
10000,第一章序幕：遇袭,第一章序幕：遇襲,"Chapter 1, Prologue: Ambush",第一章序幕：襲撃,제1장 서막: 피습
10001,序幕,序幕,Prologue,序幕,서막
10003,遇袭,遇襲,Ambush,襲撃,피습
10004,\u\u突如其来的伏击打乱了原本的撤离计划，集中精力，先脱离困境！,\u\u突如其來的伏擊打亂了原本的撤離計畫，集中精力，先脫離困境！,\u\uA sudden ambush disrupts the original evacuation plan. Focus on breaking free from the predicament!,\u\u突如現れた伏兵により、当初の撤退計画に狂いが生じた。まずは集中して、この苦境から脱しなければならない！,"\u\u갑자기 나타난 매복으로 원래의 철수 계획이 무너졌다, 집중해서 우선 곤경에서 탈출한다!"
10005,\u\u突如其来的伏击打乱了原本的撤离计划，集中精力，先脱离困境！,\u\u突如其來的伏擊打亂了原本的撤離計畫，集中精力，先脫離困境！,\u\uA sudden ambush disrupts the original evacuation plan. Focus on breaking free from the predicament!,\u\u突如現れた伏兵により、当初の撤退計画に狂いが生じた。まずは集中して、この苦境から脱しなければならない！,"\u\u갑자기 나타난 매복으로 원래의 철수 계획이 무너졌다, 집중해서 우선 곤경에서 탈출한다!"
10010,第一章第一幕：初次作战,第一章第一幕：初次作戰,"Chapter 1, Act 1: The First Battle",第一章第一幕：初めての作戦,제1장 제1막: 첫 전투
10011,第一幕,第一幕,Act 1,第一幕,제1막
10013,初次作战,初次作戰,The First Battle,初めての作戦,첫 전투
10014,\u\u消灭挡在必经之路上的罗联士兵，需要尽快离开这里。,\u\u消滅擋在必經之路上的羅聯士兵，需要儘快離開這裏。,\u\uEliminate the URNC soldiers blocking off the path and get out of here as soon as possible.,\u\u唯一の道を塞ぐロ連兵士を殲滅し、速やかにその場から立ち去れ！,"\u\u길에 있는 루련 병사를 쓰러뜨려라, 이곳을 빨리 벗어나야 한다."
10015,\u\u消灭挡在必经之路上的罗联士兵，需要尽快离开这里。,\u\u消滅擋在必經之路上的羅聯士兵，需要儘快離開這裏。,\u\uEliminate the URNC soldiers blocking off the path and get out of here as soon as possible.,\u\u唯一の道を塞ぐロ連兵士を殲滅し、速やかにその場から立ち去れ！,"\u\u길에 있는 루련 병사를 쓰러뜨려라, 이곳을 빨리 벗어나야 한다."
110110,11011,,,,
10020,第一章第二幕：雪中潜行,第一章第二幕：雪中潛行,"Chapter 1, Act 2: Sneaking Through the Snow",第一章第二幕：吹雪に紛れて,제1장 제2막: 눈보라를 틈타서
10021,第二幕,第二幕,Act 2,第二幕,제2막
10023,雪中潜行,雪中潛行,Sneaking Through the Snow,吹雪に紛れて,눈보라를 틈타서
10024,\u\u附近有大量驻守的罗联士兵，小心观察敌人的视野，潜行通过该危险区域。,\u\u附近有大量駐守的羅聯士兵，小心觀察敵人的視野，潛行通過該危險區域。,\u\uThere are a lot of URNC soldiers stationed nearby. Check the enemy's visual range carefully and sneak through the Danger Zone.,\u\u周囲には多くのロ連兵が駐屯している。敵兵の視野に十分気を付けて、この危険な区域をステルスしながら通り抜けなければならない。,\u\u근처에 대량의 주둔 중인 루련 병사가 있습니다. 적군의 시야를 조심스럽게 관찰하고 스텔스로 해당 위험 구역을 통과하세요.
10025,\u\u附近有大量驻守的罗联士兵，小心观察敌人的视野，潜行通过该危险区域。,\u\u附近有大量駐守的羅聯士兵，小心觀察敵人的視野，潛行通過該危險區域。,\u\uThere are a lot of URNC soldiers stationed nearby. Check the enemy's visual range carefully and sneak through the Danger Zone.,\u\u周囲には多くのロ連兵が駐屯している。敵兵の視野に十分気を付けて、この危険な区域をステルスしながら通り抜けなければならない。,\u\u근처에 대량의 주둔 중인 루련 병사가 있습니다. 적군의 시야를 조심스럽게 관찰하고 스텔스로 해당 위험 구역을 통과하세요.
110210,11021,,,,
10030,第一章第三幕：涉险离开,第一章第三幕：涉險離開,"Chapter 1, Act 3: Narrow Escape",第一章第三幕：危険な離脱,제1장 제3막: 위험한 탈출
10031,第三幕,第三幕,Act 3,第三幕,제3막
10033,涉险离开,涉險離開,Narrow Escape,危険な離脱,위험한 탈출
10034,\u\u为了摆脱搜捕与塔萨会合，需要尽快通过大桥并赶往公路车站。面前就是罗联的据点，请谨慎行事，做好万全准备。,\u\u為了擺脫搜捕與塔薩會合，需要儘快通過大橋並趕往公路車站。面前就是羅聯的據點，請謹慎行事，做好萬全準備。,"\u\uIn order to evade pursuit and rendezvous with TASA, quickly cross the bridge and head to the station. Ahead lies the URNC stronghold, so proceed with caution and be prepared for anything.",\u\u捜査の手から逃れてTASAと合流するべく、一刻も早くこの橋を渡りバス停まで向かわなければならない。目の前にあるのはロ連の拠点だ。一挙手一投足に気を配り、十分な準備をしていこう。,"\u\u추격에서 벗어나 TASA와 합류하려면 대교를 되도록 빨리 통과해 도로 정거장에 가야 한다. 앞에 보이는 게 바로 루련의 거점이다. 신중히 움직이고, 모든 준비를 철저히 하자."
10035,\u\u为了摆脱搜捕与塔萨会合，需要尽快通过大桥并赶往公路车站。面前就是罗联的据点，请谨慎行事，做好万全准备。,\u\u為了擺脫搜捕與塔薩會合，需要儘快通過大橋並趕往公路車站。面前就是羅聯的據點，請謹慎行事，做好萬全準備。,"\u\uIn order to evade pursuit and rendezvous with TASA, quickly cross the bridge and head to the station. Ahead lies the URNC stronghold, so proceed with caution and be prepared for anything.",\u\u捜査の手から逃れてTASAと合流するべく、一刻も早くこの橋を渡りバス停まで向かわなければならない。目の前にあるのはロ連の拠点だ。一挙手一投足に気を配り、十分な準備をしていこう。,"\u\u추격에서 벗어나 TASA와 합류하려면 대교를 되도록 빨리 통과해 도로 정거장에 가야 한다. 앞에 보이는 게 바로 루련의 거점이다. 신중히 움직이고, 모든 준비를 철저히 하자."
110310,11031,,,,
10040,第一章第四幕：雪地搁浅,第一章第四幕：雪地擱淺,"Chapter 1, Act 4: Stranded in Snow",第一章第四幕：雪原の遭難,제1장 제4막: 눈밭 좌초
10041,第四幕,第四幕,Act 4,第四幕,제4막
10043,雪地搁浅,雪地擱淺,Stranded in Snow,雪原の遭難,"눈밭 좌초
"
