key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
10000110,简报,簡報,Briefing,概要説明,브리핑
10000210,战前,戰前,Pre-Battle,戦前,전투 전
10000310,战后1,戰後1,Post-Battle 1,戦後1,전투 후1
10000410,记忆,記憶,Memory,記憶,메모리
10000510,战后2,戰後2,Post-Battle 2,戦後2,전투 후2
10010110,战前,戰前,Pre-Battle,戦前,전투 전
10010210,战后,戰後,Post-Battle,戦後,전투 후
10010310,尾声,尾聲,Finale,終幕,결말
10020110,战前,戰前,Pre-Battle,戦前,전투 전
10020210,尾声,尾聲,Finale,エピローグ,결말
10030110,战前,戰前,Pre-Battle,戦前,전투 전
10030210,战中,戰中,In Battle,戦闘中,전투 중
10030310,战后,戰後,Post-Battle,戦後,전투 후
10030410,尾声,尾聲,Finale,終幕,결말
10040110,战前,戰前,Pre-Battle,戦前,전투 전
10040310,尾声,尾聲,Finale,終幕,결말
10060110,战前,戰前,Pre-Battle,戦前,전투 전
10060210,战后,戰後,Post-Battle,戦後,전투 후
10060310,尾声,尾聲,Finale,終幕,결말
10080110,战前,戰前,Pre-Battle,戦前,전투 전
10080210,战中,戰中,In Battle,戦闘中,전투 중
10080310,战后,戰後,Post-Battle,戦後,전투 후
10080410,尾声,尾聲,Finale,終幕,결말
100810110,小憩,小憩,Intermission,小休止,낮잠
20030110,序幕1,序幕1,Prologue 1,序幕1,서막 １
20030210,主题曲,主題曲,Theme Song,テーマ曲,주제곡
20030310,序幕2,序幕2,Prologue 2,序幕2,서막 2
20030410,战前,戰前,Pre-Battle,戦前,전투 전
20030510,战后,戰後,Post-Battle,戦後,전투 후
20030610,尾声,尾聲,Finale,終幕,결말
20040110,战前,戰前,Pre-Battle,戦前,전투 전
20040210,战中,戰中,In Battle,戦闘中,전투 중
20040310,战后,戰後,Post-Battle,戦後,전투 후
20040410,尾声,尾聲,Finale,終幕,결말
20050110,战前,戰前,Pre-Battle,戦前,전투 전
20050210,尾声,尾聲,Finale,終幕,결말
20060110,战前,戰前,Pre-Battle,戦前,전투 전
20060210,战后,戰後,Post-Battle,戦後,전투 후
20060310,尾声,尾聲,Finale,終幕,결말
20070110,战前,戰前,Pre-Battle,戦前,전투 전
20070210,战后,戰後,Post-Battle,戦後,전투 후
20070310,尾声,尾聲,Finale,エピローグ,결말
20080110,战前,戰前,Pre-Battle,戦前,전투 전
20080210,战后,戰後,Post-Battle,戦後,전투 후
20080310,尾声,尾聲,Finale,エピローグ,결말
200810110,小憩,小憩,Intermission,小休止,낮잠
20100110,战前,戰前,Pre-Battle,戦前,전투 전
20100210,战中,戰中,In Battle,戦闘中,전투 중
20102310,战后,戰後,Post-Battle,戦後,전투 후
20100410,尾声,尾聲,Finale,エピローグ,결말
20120110,战前,戰前,Pre-Battle,戦前,전투 전
20120210,战后,戰後,Post-Battle,戦後,전투 후
20120310,尾声,尾聲,Finale,エピローグ,결말
20140110,战前,戰前,Pre-Battle,戦前,전투 전
20140210,战中,戰中,In Battle,戦闘中,전투 중
20140310,战后,戰後,Post-Battle,戦後,전투 후
20140410,尾声,尾聲,Finale,エピローグ,결말
201410110,小憩,小憩,Intermission,小休止,낮잠
30000110,序幕,序幕,Prologue,プロローグ,서막
30000210,战前,戰前,Pre-Battle,戦前,전투 전
30000310,战中,戰中,In Battle,戦闘中,전투 중
30000410,战后,戰後,Post-Battle,戦後,전투 후
30000510,尾声,尾聲,Finale,エピローグ,결말
30090110,战前,戰前,Pre-Battle,戦前,전투 전
30090210,战后1,戰後1,Post-Battle 1,戦後1,전투 후1
30090220,战后2,戰後2,Post-Battle 2,戦後2,전투 후2
30090310,尾声,尾聲,Finale,エピローグ,결말
30100110,战前,戰前,Pre-Battle,戦前,전투 전
30100210,战后,戰後,Post-Battle,戦後,전투 후
30100310,尾声,尾聲,Finale,エピローグ,결말
30110110,战前,戰前,Pre-Battle,戦前,전투 전
30110210,战中,戰中,In Battle,戦闘中,전투 중
30110310,战后,戰後,Post-Battle,戦後,전투 후
30110410,尾声,尾聲,Finale,エピローグ,결말
30160110,战前,戰前,Pre-Battle,戦前,전투 전
30160210,战后,戰後,Post-Battle,戦後,전투 후
30160310,尾声,尾聲,Finale,エピローグ,결말
301610110,小憩,小憩,Intermission,小休止,낮잠
30120110,战前,戰前,Pre-Battle,戦前,전투 전
30120210,战中,戰中,In Battle,戦闘中,전투 중
30120310,战后,戰後,Post-Battle,戦後,전투 후
30120410,尾声,尾聲,Finale,エピローグ,결말
30150110,战前,戰前,Pre-Battle,戦前,전투 전
30150210,战中,戰中,In Battle,戦闘中,전투 중
30150310,战后,戰後,Post-Battle,戦後,전투 후
30150410,尾声,尾聲,Finale,エピローグ,결말
30170110,战前,戰前,Pre-Battle,戦前,전투 전
30170210,战中,戰中,In Battle,戦闘中,전투 중
30170310,战后1,戰後1,Post-Battle 1,戦後1,전투 후1
30170320,战后2,戰後2,Post-Battle 2,戦後2,전투 후2
30170410,尾声,尾聲,Finale,エピローグ,결말
30180110,战前,戰前,Pre-Battle,戦前,전투 전
30180210,战中,戰中,In Battle,戦闘中,전투 중
30180310,战后,戰後,Post-Battle,戦後,전투 후
30180410,尾声,尾聲,Finale,エピローグ,결말
40000010,序幕,序幕,Prologue,プロローグ,서막
40000110,战前,戰前,Pre-Battle,戦前,전투 전
40000210,尾声1,尾聲1,Finale 1,エピローグ1,결말1
40000220,尾声2,尾聲2,Finale 2,エピローグ2,결말2
40010110,战前,戰前,Pre-Battle,戦前,전투 전
40010210,战后1,戰後1,Post-Battle 1,戦後1,전투 후1
40010220,战后2,戰後2,Post-Battle 2,戦後2,전투 후2
40010310,尾声2,尾聲2,Finale 1,エピローグ2,결말2
40010320,尾声1,尾聲1,Finale 2,エピローグ1,결말1
40020110,战前,戰前,Pre-Battle,戦前,전투 전
40020210,战中,戰中,In Battle,戦闘中,전투 중
40020310,战后,戰後,Post-Battle,戦後,전투 후
40020410,尾声,尾聲,Finale,エピローグ,결말
40030110,战前,戰前,Pre-Battle,戦前,전투 전
40030210,尾声,尾聲,Finale,エピローグ,결말
400310110,小憩,小憩,Intermission,小休止,낮잠
40040110,战前,戰前,Pre-Battle,戦前,전투 전
40040210,战后,戰後,Post-Battle,戦後,전투 후
40040310,尾声,尾聲,Finale,エピローグ,결말
40050110,战前,戰前,Pre-Battle,戦前,전투 전
40050210,战后1,戰後1,Post-Battle 1,戦後1,전투 후1
40050220,战后2,戰後2,Post-Battle 2,戦後2,전투 후2
40050310,尾声1,尾聲1,Finale 1,エピローグ1,결말1
40050320,尾声2,尾聲2,Finale 2,エピローグ2,결말2
40060110,战前,戰前,Pre-Battle,戦前,전투 전
40060210,战后,戰後,Post-Battle,戦後,전투 후
40060310,尾声,尾聲,Finale,エピローグ,결말
40070110,战前,戰前,Pre-Battle,戦前,전투 전
40070210,战中1,戰中1,In Battle 1,戦闘中1,전투 중1
40070220,战中2,戰中2,In Battle 2,戦闘中2,전투 중2
40070310,战后,戰後,Post-Battle,戦後,전투 후
40070410,尾声,尾聲,Finale,エピローグ,결말
400710110,小憩,小憩,Intermission,小休止,낮잠
40080110,战前,戰前,Pre-Battle,戦前,전투 전
40080210,战后1,戰後1,Post-Battle 1,戦後1,전투 후1
40080220,战后2,戰後2,Post-Battle 2,戦後2,전투 후2
40080310,尾声1,尾聲1,Finale 1,エピローグ1,결말1
40080320,尾声2,尾聲2,Finale 2,エピローグ2,결말2
40090110,战前,戰前,Pre-Battle,戦前,전투 전
40090210,战中,戰中,In Battle,戦闘中,전투 중
40090310,战后1,戰後1,Post-Battle 1,戦後1,전투 후1
40090320,战后2,戰後2,Post-Battle 2,戦後2,전투 후2
40090330,战后3,戰後3,Post-Battle 3,戦後3,전투 후3
40090410,尾声1,尾聲1,Finale 1,エピローグ1,결말1
40090420,尾声2,尾聲2,Finale 2,エピローグ2,결말2
40100110,战前,戰前,Pre-Battle,戦前,전투 전
40100210,战后,戰後,Post-Battle,戦後,전투 후
40100310,尾声,尾聲,Finale,エピローグ,결말
40110110,战前,戰前,Pre-Battle,戦前,전투 전
40110210,战中,戰中,In Battle,戦闘中,전투 중
40110310,战后,戰後,Post-Battle,戦後,전투 후
40110410,尾声,尾聲,Finale,エピローグ,결말
40120110,战前,戰前,Pre-Battle,戦前,전투 전
40120210,战中,戰中,In Battle,戦闘中,전투 중
40120310,战后,戰後,Post-Battle,戦後,전투 후
40120410,尾声,尾聲,Finale,エピローグ,결말
40130110,战前,戰前,Pre-Battle,戦前,전투 전
40130210,战中,戰中,In Battle,戦闘中,전투 중
40130310,战后1,戰後1,Post-Battle 1,戦後1,전투 후1
40130320,战后2,戰後2,Post-Battle 2,戦後2,전투 후2
40130410,尾声,尾聲,Finale,エピローグ,결말
40140110,战前,戰前,Pre-Battle,戦前,전투 전
40140210,战后,戰後,Post-Battle,戦後,전투 후
40140310,尾声,尾聲,Finale,エピローグ,결말
40150110,战前,戰前,Pre-Battle,戦前,전투 전
40150210,战后,戰後,Post-Battle,戦後,전투 후
40150310,尾声,尾聲,Finale,エピローグ,결말
40160110,战前,戰前,Pre-Battle,戦前,전투 전
40160210,战中1,戰中1,In Battle 1,戦闘中1,전투 중1
40160310,战中2,戰中2,In Battle 2,戦闘中2,전투 중2
40160410,尾声,尾聲,Finale,エピローグ,결말
401610110,记忆1,記憶1,Memory 1,記憶1,기억1
401610210,记忆2,記憶2,Memory 2,記憶2,기억2
401610310,记忆3,記憶3,Memory 3,記憶3,기억3
401610410,记忆4,記憶4,Memory 4,記憶4,기억4
40170110,战前,戰前,Pre-Battle,戦前,전투 전
40170210,战中,戰中,In Battle,戦闘中,전투 중
40170310,战后,戰後,Post-Battle,戦後,전투 후
40170410,尾声,尾聲,Finale,エピローグ,결말
40180110,战前,戰前,Pre-Battle,戦前,전투 전
40180210,战中1,戰中1,In Battle 1,戦闘中1,전투 중1
40180310,战中2,戰中2,In Battle 2,戦闘中2,전투 중2
40180410,战中3,戰中3,In Battle 3,戦闘中3,전투 중3
40180510,战中4,戰中4,In Battle 4,戦闘中4,전투 중4
40180610,战后,戰後,Post-Battle,戦後,전투 후
40180710,尾声,尾聲,Finale,エピローグ,결말
40190110,战前,戰前,Pre-Battle,戦前,전투 전
40190210,战后,戰後,Post-Battle,戦後,전투 후
40190310,尾声,尾聲,Finale,エピローグ,결말
40200110,战前,戰前,Pre-Battle,戦前,전투 전
40200210,战后1,戰後1,Post-Battle 1,戦後1,전투 후1
40200220,战后2,戰後2,Post-Battle 2,戦後2,전투 후2
40200310,尾声1,尾聲1,Finale 1,エピローグ1,결말1
40200320,尾声2,尾聲2,Finale 2,エピローグ2,결말2
40210110,战前,戰前,Pre-Battle,戦前,전투 전
40210210,战后,戰後,Post-Battle,戦後,전투 후
40210310,尾声,尾聲,Finale,エピローグ,결말
402110110,小憩,小憩,Intermission,小休止,낮잠
40220110,战前,戰前,Pre-Battle,戦前,전투 전
40220210,战中1,戰中1,In Battle 1 ,戦闘中1,전투 중1
40220220,战中2,戰中2,In Battle 2,戦闘中2,전투 중2
40220310,战中3,戰中3,In Battle 3,戦闘中3,전투 중3
40220410,战中4,戰中4,In Battle 4,戦闘中4,전투 중4
40220420,战中5,戰中5,In Battle 5,戦闘中5,전투 중5
40220510,战后1,戰後1,Post-Battle 1,戦後1,전투 후1
40220520,战后2,戰後2,Post-Battle 2,戦後2,전투 후2
40220610,尾声,尾聲,Finale,エピローグ,결말
40230110,战前,戰前,Pre-Battle,戦前,전투 전
40230210,战中,戰中,In Battle,戦闘中,전투 중
40230310,战后,戰後,Post-Battle,戦後,전투 후
40230410,尾声,尾聲,Finale,エピローグ,결말
40240110,战前,戰前,Pre-Battle,戦前,전투 전
40240210,战中,戰中,In Battle,戦闘中,전투 중
40240310,战后,戰後,Post-Battle,戦後,전투 후
40240410,尾声,尾聲,Finale,エピローグ,결말
402410110,小憩,小憩,Intermission,小休止,낮잠
40250110,战前,戰前,Pre-Battle,戦前,전투 전
40250210,战中1,戰中1,In Battle 1,戦闘中1,전투 중1
40250310,战中2,戰中2,In Battle 2,戦闘中2,전투 중2
40250410,战后,戰後,Post-Battle,戦後,전투 후
40250510,尾声,尾聲,Finale,エピローグ,결말
40260110,战前,戰前,Pre-Battle,戦前,전투 전
40260210,战中1,戰中1,In Battle 1,戦闘中1,전투 중1
40260310,战中2,戰中2,In Battle 2,戦闘中2,전투 중2
40260410,战中3,戰中3,In Battle 3,戦闘中3,전투 중3
40260510,战后1,戰後1,Post-Battle 1,戦後1,전투 후1
40260520,战后2,戰後2,Post-Battle 2,戦後2,전투 후2
40260610,尾声1,尾聲1,Finale 1,エピローグ1,결말1
40260620,尾声2,尾聲2,Finale 2,エピローグ2,결말2
401610120,记忆1,記憶1,Memory 1,記憶1,기억1
401610220,记忆2,記憶2,Memory 2,記憶2,기억2
401610320,记忆3,記憶3,Memory 3,記憶3,기억3
401610420,记忆4,記憶4,Memory 4,記憶4,기억4
40270110,战前,戰前,Pre-Battle,戦前,전투 전
40270210,战中,戰中,In Battle,戦闘中,전투 중
40270310,战后,戰後,Post-Battle,戦後,전투 후
40270410,尾声,尾聲,Finale,エピローグ,결말
40280110,战前,戰前,Pre-Battle,戦前,전투 전
40280210,战后,戰後,Post-Battle,戦後,전투 후
40280310,尾声,尾聲,Finale,エピローグ,결말
40290110,战前,戰前,Pre-Battle,戦前,전투 전
40290210,战中,戰中,In Battle,戦闘中,전투 중
40290310,战后,戰後,Post-Battle,戦後,전투 후
