key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
5000000,侦察兵,偵察兵,Scout,偵察兵,정찰병
5000001,罗联人类士兵，主要负责侦查敌军动态以及巡逻工作，是罗联基础作战单位之一。,羅聯人類士兵，主要負責偵查敵軍動態以及巡邏工作，是羅聯基礎作戰單位之一。,A human soldier from the URNC. They are primarily responsible for scouting enemy movements and patrol duties. They are one of the basic combat units of the URNC.,ロ連の人間兵士。敵軍の動向偵察と巡回を主な職務としている。ロ連の基本作戦ユニットの一つである。,"루련의 인간 병사로, 주로 적군의 동태 및 순찰 업무를 책임집니다. 루련의 기본 작전 유닛 중 하나입니다."
5000002,拥有较高的视野，我方前进途中需注意观察其视野范围，避免惊动敌人。,擁有較高的視野，我方前進途中需注意觀察其視野範圍，避免驚動敵人。,Has high visual range. Be cautious of their visual range to avoid alerting them.,広範囲な視野を持っており、その奇襲を避けるためには味方の前進時にその視野範囲への注意が必要となる。,"비교적 높은 시야를 가지고 있으므로, 아군이 전진하는 동안 적의 시야 범위를 주의 깊게 관찰하여 적이 알아채지 않도록 해야 합니다."
5000003,<color=#ff7373>攻击优先级</color>：距离最近,<color=#ff7373>攻擊優先順序</color>：距離最近,<color=#ff7373>Attack priority</color>: closest distance,<color=#ff7373>攻撃優先度</color>：最も近い,<color=#ff7373>공격 우선순위</color>: 가장 가까운 거리
5000004,<color=#ff7373>攻击优先级</color>：距离最近,<color=#ff7373>攻擊優先順序</color>：距離最近,<color=#ff7373>Attack priority</color>: closest distance,<color=#ff7373>攻撃優先度</color>：最も近い,<color=#ff7373>공격 우선순위</color>: 가장 가까운 거리
5000005,<color=#ff7373>攻击优先级</color>：残血、闪避最低,<color=#ff7373>攻擊優先順序</color>：殘血、閃避最低,"<color=#ff7373>Attack priority</color>: terminal HP, lowest evasion",<color=#ff7373>攻撃優先度</color>：HP残り僅か、回避力最低,"<color=#ff7373>공격 우선순위</color>: 가장 낮은 잔여HP, 회피"
5000100,精英侦察兵,菁英偵察兵,Elite Scout,精鋭偵察兵,정예 정찰병
5000101,罗联侦察兵中的精锐，相比于普通侦察兵，他们的视野更广，侦查范围更大。,羅聯偵察兵中的精銳，相比於普通偵察兵，他們的視野更廣，偵查範圍更大。,The elite scout unit of the URNC. They have a wider visual and larger detection range compared to regular scouts.,ロ連偵察兵の中でも精鋭とされる兵士。通常の偵察兵と比較すると、その視野と偵察範囲はより広い。,"루련 정찰병 중 정예 부대, 일반 정찰병보다 시야가 넓고 정찰 범위가 넓습니다."
5000102,拥有优秀的视野侦查范围，并且每回合必定会闪避第一次普通攻击。,擁有優秀的視野偵查範圍，並且每回合必定會閃避第一次普通攻擊。,Has excellent visual range and is guaranteed to evade the first normal attack each turn.,優れた視野偵察範囲を持ち、さらに毎ターン最初に受ける通常攻撃を必ず回避できる。,훌륭한 시야 정찰 범위를 가지고 있으며 매 턴에 반드시 첫 번째 일반 공격을 회피합니다.
5000103,<color=#ff7373>攻击优先级</color>：距离最近,<color=#ff7373>攻擊優先順序</color>：距離最近,<color=#ff7373>Attack priority</color>: closest distance,<color=#ff7373>攻撃優先度</color>：最も近い,<color=#ff7373>공격 우선순위</color>: 가장 가까운 거리
5000104,<color=#ff7373>攻击优先级</color>：残血、闪避最低,<color=#ff7373>攻擊優先順序</color>：殘血、閃避最低,"<color=#ff7373>Attack priority</color>: terminal HP, lowest evasion",<color=#ff7373>攻撃優先度</color>：HP残り僅か、回避力最低,"<color=#ff7373>공격 우선순위</color>: 가장 낮은 잔여HP, 회피"
5000105,<color=#ff7373>攻击优先级</color>：残血、闪避最低,<color=#ff7373>攻擊優先順序</color>：殘血、閃避最低,"<color=#ff7373>Attack priority</color>: terminal HP, lowest evasion",<color=#ff7373>攻撃優先度</color>：HP残り僅か、回避力最低,"<color=#ff7373>공격 우선순위</color>: 가장 낮은 잔여HP, 회피"
5000010,狙击兵,狙擊兵,Sniper,狙撃兵,저격병
5000011,罗联人类士兵，以隐蔽伏击为主要攻击手段，主要负责对远距离目标进行暗杀与偷袭，是罗联基础作战单位之一。,羅聯人類士兵，以隱蔽伏擊為主要攻擊手段，主要負責對遠距離目標進行暗殺與偷襲，是羅聯基礎作戰單位之一。,A human URNC soldier who specializes in covert ambushes as their primary means of attack. They are mainly responsible for assassinations and ambushes against distant targets. They are one of the basic combat units of the URNC.,ロ連の人間兵士。潜伏と待ち伏せを主な攻撃手段とし、遠距離からターゲットに対して暗殺と急襲を行うことを主に担当している。ロ連の基本作戦ユニットの一つである。,"루련의 인간 병사로, 은닉 매복을 주 공격 수단으로 삼고, 주로 원거리 표적을 암살하거나 습격합니다. 루련의 기본 작전 유닛 중 하나입니다."
5000012,拥有极远的射程、高额的命中和伤害，但防护较薄弱。,擁有極遠的射程、高額的命中和傷害，但防護較薄弱。,"Possesses extremely long range, high accuracy, and damage, but lacks defense.",その長い射程距離から繰り出される高い命中率とダメージを誇る攻撃は非常に優れているが、防御力が弱い。,"매우 먼 사거리, 높은 확률의 명중 및 데미지가 가능하지만 방어에 취약합니다."
5000013,<color=#ff7373>攻击优先级</color>：距离最近,<color=#ff7373>攻擊優先順序</color>：距離最近,<color=#ff7373>Attack priority</color>: closest distance,<color=#ff7373>攻撃優先度</color>：最も近い,<color=#ff7373>공격 우선순위</color>: 가장 가까운 거리
5000014,<color=#ff7373>攻击优先级</color>：距离最近,<color=#ff7373>攻擊優先順序</color>：距離最近,<color=#ff7373>Attack priority</color>: closest distance,<color=#ff7373>攻撃優先度</color>：最も近い,<color=#ff7373>공격 우선순위</color>: 가장 가까운 거리
5000015,<color=#ff7373>攻击优先级</color>：残血、攻击最高,<color=#ff7373>攻擊優先順序</color>：殘血、攻擊最高,"<color=#ff7373>Attack priority</color>: terminal HP, highest attack",<color=#ff7373>攻撃優先度</color>：HP残り僅か、攻撃力最大,"<color=#ff7373>공격 우선순위</color>: 가장 높은 잔여HP, 공격"
5000110,精英狙击兵,菁英狙擊兵,Elite Sniper,精鋭狙撃兵,정예 저격병
5000111,罗联狙击兵中的精锐，相比于普通狙击兵，拥有更远的射程与更高的伤害，且善于隐藏。,羅聯狙擊兵中的精銳，相比於普通狙擊兵，擁有更遠的射程與更高的傷害，且善於隱藏。,"An elite sniper of the URNC. Compared to regular snipers, they have an even longer range, higher damage, and excel in stealth.",ロ連狙撃兵の中でも精鋭とされる兵士。通常の狙撃兵と比較すると、その射程はより長く、ダメージも高い。潜伏を得意とする。,"루련 저격병의 정예부대, 일반 저격병보다 더 먼 사거리와 더 많은 데미지를 줄 수 있으며 은닉에 능합니다."
5000112,拥有极高的火力伤害，攻击后会立刻躲入闪避加成较高的地形。,擁有極高的火力傷害，攻擊後會立刻躲入閃避加成較高的地形。,Has extremely high firepower and immediately takes cover in terrain with a high evasion bonus after attacking.,極めて高い火力を持ち、攻撃後にはすぐに回避ボーナスの高い地形へと入る。,큰 화력 데미지를 줄 수 있으며 공격 후 즉시 높은 회피 보너스 지형으로 대피합니다.
5000113,<color=#ff7373>攻击优先级</color>：距离最近,<color=#ff7373>攻擊優先順序</color>：距離最近,<color=#ff7373>Attack priority</color>: closest distance,<color=#ff7373>攻撃優先度</color>：最も近い,<color=#ff7373>공격 우선순위</color>: 가장 가까운 거리
5000114,<color=#ff7373>攻击优先级</color>：残血、攻击最高,<color=#ff7373>攻擊優先順序</color>：殘血、攻擊最高,"<color=#ff7373>Attack priority</color>: terminal HP, highest attack",<color=#ff7373>攻撃優先度</color>：HP残り僅か、攻撃力最大,"<color=#ff7373>공격 우선순위</color>: 가장 높은 잔여HP, 공격"
5000115,<color=#ff7373>攻击优先级</color>：残血、攻击最高,<color=#ff7373>攻擊優先順序</color>：殘血、攻擊最高,"<color=#ff7373>Attack priority</color>: terminal HP, highest attack",<color=#ff7373>攻撃優先度</color>：HP残り僅か、攻撃力最大,"<color=#ff7373>공격 우선순위</color>: 가장 높은 잔여HP, 공격"
5000020,突击兵,突擊兵,Commando,突撃兵,돌격병
5000021,罗联人类士兵，是拥有高火力、高生命的强劲兵种，主要负责前线的作战任务，是罗联基础作战单位之一。,羅聯人類士兵，是擁有高火力、高生命的強勁兵種，主要負責前線的作戰任務，是羅聯基礎作戰單位之一。,A human soldier from the URNC. They are a powerful unit with high firepower and HP. They are primarily responsible for frontline missions. They are one of the basic combat units of the URNC.,ロ連の人間兵士。高い火力とHPを誇る兵種で、前線での作戦任務を主に担当している。ロ連の基本作戦ユニットの一つである。,"루련의 인간 병사로, 높은 화력과 HP를 가진 강한 병사입니다. 주로 전선의 작전 업무를 책임지는 루련의 기본 작전 유닛 중 하나입니다."
5000022,拥有均衡的作战能力和较高的移动力。,擁有均衡的作戰能力和較高的移動力。,Has balanced combat abilities and relatively high mobility.,バランスのとれた作戦能力と比較的高い移動力を誇る。,균형 잡힌 작전 능력과 높은 이동 능력을 갖추고 있습니다.
5000023,<color=#ff7373>攻击优先级</color>：距离最近,<color=#ff7373>攻擊優先順序</color>：距離最近,<color=#ff7373>Attack priority</color>: closest distance,<color=#ff7373>攻撃優先度</color>：最も近い,<color=#ff7373>공격 우선순위</color>: 가장 가까운 거리
5000024,<color=#ff7373>攻击优先级</color>：距离最近,<color=#ff7373>攻擊優先順序</color>：距離最近,<color=#ff7373>Attack priority</color>: closest distance,<color=#ff7373>攻撃優先度</color>：最も近い,<color=#ff7373>공격 우선순위</color>: 가장 가까운 거리
5000025,<color=#ff7373>攻击优先级</color>：残血、生命值最低,<color=#ff7373>攻擊優先順序</color>：殘血、生命值最低,"<color=#ff7373>Attack priority</color>: terminal HP, lowest HP",<color=#ff7373>攻撃優先度</color>：HP残り僅か、HP最小,"<color=#ff7373>공격 우선순위</color>: 가장 낮은 잔여HP, HP"
5000120,精英突击兵,菁英突擊兵,Elite Commando,精鋭突撃兵,정예 돌격병
5000121,罗联突击兵中的精锐，相比于普通突击兵，拥有更高的火力伤害。,羅聯突擊兵中的精銳，相比於普通突擊兵，擁有更高的火力傷害。,An elite commando of the URNC. They deal more damage than regular commandos.,ロ連突撃兵の中でも精鋭とされる兵士。通常の突撃兵と比較すると、そのダメージはより高い。,"루련 돌격병의 정예부대, 일반 돌격병에 비해 높은 화력 데미지를 줄 수 있습니다."
