key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
2004010,区域定义副本,區域定義副本,Transcript of Zone Difinitions,「エリア区分定義」副本,구역 획정 부본
2004011,200401,,200401,,
4001010,区域定义副本-配图,區域定義副本-配圖,Transcript of Zone Difinitions – Illustration,「エリア区分定義」副本_添付画像,구역 획정 부본-첨부 사진
4032010,人形权益相关稿件,人形權益相關稿件,Dolls Rights Related Manuscript,人形の権利について,인형 권익 관련 원고
4032011,403201,,403201,,
1002010,南极战争事态简述,南極戰爭事態簡述,Summary of the Antarctic War Situation,南極戦争状況概要,남극 전쟁 사건 요약
1002011,100201,100201,100201,,100201
4029010,救援组织成立始末,救援組織成立始末,The Establishment and History of the Rescue Foundation,国際難民救援機関設立,구조재단의 창설
4029011,402901,,402901,,
4002010,90年代末人形技术应用,90年代末人形技術應用,Application of Doll Technology in the Late 90s,90年代末の人形技術の応用,1990년대 휴반 휴머노이드 기술의 적용
4002011,400201,,400201,,
2007010,代号“面包房行动”简报,代號“麵包房行動”簡報,"Codename ""Operation Bakery"" Briefing",「パン屋作戦」-ブリーフィング,코드명 ‘베이커리 작전’ 브리핑
2007011,200701,,200701,,
4007010,电话记录7：03,電話記錄7：03,Phone Log 7:03,通話記録7:03,전화기록7:03
4007011,400701,,400701,,
4000010,代号“面包房行动”作战报告,代號“麵包房行動”作戰報告,"Codename ""Operation Bakery"" Operational Report",「パン屋作戦」報告,코드명 ‘베이커리 작전’ 작전 보고
4000011,400001,,400001,,
2010010,宗教起源调查,宗教起源調查,Investigation into the Origin of Religions,新興宗教の勃興について,종교 기원 조사
2010011,201001,,201001,,
4006010,局势环境对宗教的影响,局勢環境對宗教的影響,Global Affairs and Impacts on Religion,特定宗教勢力に見られる局地情勢の影響,국제 환경이 종교에 미치는 영향
4006011,400601,,400601,,
4028010,宗教消亡猜测,宗教消亡猜測,Speculation on the Decline of Religions,特定宗教勢力の滅亡,종교 소멸에 대한 추측
4028011,402801,,402801,,
3009010,帕拉蒂斯调查材料,帕拉蒂斯調查材料,Investigation Materials on Paradeus,パラデウス調査資料,독일당정부 조사 자료
3009011,300901,,300901,,
4024010,“虹光”实验部队任务概述,“虹光”實驗部隊任務概述,"Experimental Unit ""Aurora"" Mission Overview",「レインボー」実験部隊任務概要,‘무지개’ 실험팀 임무 개요
