key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
11220,陷阱坍塌,陷阱坍塌,Trap Disassembly,トラップコーラップス,함정 붕괴
11221,可破坏范围内的敌方引线绊雷。,可破壞範圍內的敵方引線絆雷。,Destroy enemy trip mines within its range.,範囲内の地雷が無効になる。,범위 내 적군의 리드 부비트랩 파괴 가능
11225,5,5,5,5,5
11226,3,3,3,3,3
42100015,自身,自身,Self,自身,자신
42100016,自身,自身,Self,自身,자신
2100015,自身,自身,Self,自身,자신
2100016,自身,自身,Self,自身,자신
2100025,自身,自身,Self,自身,자신
2100026,自身,自身,Self,自身,자신
2100035,自身,自身,Self,自身,자신
2100036,自身,自身,Self,自身,자신
2100045,自身,自身,Self,自身,자신
2100046,自身,自身,Self,自身,자신
2100055,自身,自身,Self,自身,자신
2100056,自身,自身,Self,自身,자신
2100065,自身,自身,Self,自身,자신
2100066,自身,自身,Self,自身,자신
2100075,自身,自身,Self,自身,자신
2100076,自身,自身,Self,自身,자신
2100085,自身,自身,Self,自身,자신
2100086,自身,自身,Self,自身,자신
3100025,自身,自身,Self,自身,자신
3100026,自身,自身,Self,自身,자신
3100045,自身,自身,Self,自身,자신
3100046,自身,自身,Self,自身,자신
3100065,自身,自身,Self,自身,자신
3100066,自身,自身,Self,自身,자신
3100085,自身,自身,Self,自身,자신
3100086,1×6,1×6,1×6,1×6,1×6
3100105,自身,自身,Self,自身,자신
3100106,自身,自身,Self,自身,자신
3100120,要害突袭,要害突襲,Critical Strike,急所奇襲,급소 급습
3100121,对指定敌方单位造成自身攻击100%的伤害，同时使目标进入<color=#d7abff>“易伤”</color>状态，持续1回合。\n<color=#d7abff>易伤</color>：受到的伤害提升20%。,對指定敵方單位造成自身攻擊100%的傷害，同時使目標進入<color=#d7abff>“易傷”</color>狀態，持續1回合。\n<color=#d7abff>易傷</color>：受到的傷害提升20%。,"Deal damage equal to 100% of own attack to the targeted enemy unit and inflict <color=#d7abff>""Vulnerable""</color> for 1 turn. \n<color=#d7abff>Vulnerable</color>: Increase damage taken by 20%.",指定した敵ユニットに自分の攻撃の100%のダメージを与えると同時に、1ターンの間、ターゲットが<color=#d7abff>「弱体」</color>状態になる。\n<color=#d7abff>弱体</color>：受けるダメージが20%増加する。,"지정 적군 유닛에 자체 공격 100%의 피해를 주며, 목표가 <color=#d7abff>'손상'</color> 상태에 진입한다, 1턴 유지.\n<color=#d7abff> 손상</color>: 받은 피해 20% 상승."
3100125,武器,武器,Weapon,武器,무기
3100126,1,1,1,1,1
3100135,全图,全圖,Map-Wide,全図,지도 전체
3100136,1,1,1,1,1
3100145,自身,自身,Self,自身,자신
3100146,自身,自身,Self,自身,자신
3100155,武器,武器,Weapon,武器,무기
3100156,1,1,1,1,1
3100225,自身,自身,Self,自身,자신
3100226,自身,自身,Self,自身,자신
3100230,完全免疫体,完全免疫體,Fully-Immune Individual,完全免疫体,완전면역체
3100231,免疫异常状态。,免疫異常狀態。,Immune to abnormal status.,状態異常に対する耐性を得る。,이상 상태 면역.
3100232,免疫异常状态。,免疫異常狀態。,Immune to abnormal status.,状態異常に対する耐性を得る。,이상 상태 면역.
3100233,免疫异常状态。,免疫異常狀態。,Immune to abnormal status.,状態異常に対する耐性を得る。,이상 상태 면역.
3100236,自身,自身,Self,自身,자신
31002310,免疫体,免疫體,Immune Individual,免疫体,면역체
31002311,免疫异常状态。,免疫異常狀態。,Immune to abnormal status.,状態異常に対する耐性を得る。,이상 상태 면역.
31002316,自身,自身,Self,自身,자신
31002320,坚守意志,堅守意志,Iron Will,意志堅守,수비 의지
31002321,免疫属性下降。,免疫屬性下降。,Immune to attributes decrease.,ステータス低下に対する耐性を得る。,면역 능력치 감소.
31002326,自身,自身,Self,自身,자신
31002330,异常抗性,異常抗性,Abnormality Resistance,異常耐性,이상 저항
31002331,免疫异常状态（不包括<color=#d7abff>“净澈”</color>和<color=#d7abff>“逆血”</color>）。,免疫異常狀態（不包括<color=#d7abff>“淨澈”</color>和<color=#d7abff>“逆血”</color>）。,"Immune to abnormal status (except <color=#d7abff>""Purify""</color> and <color=#d7abff>""Reverse Blood""</color>).",状態異常に対する耐性を得る（<color=#d7abff>「浄化」</color>と<color=#d7abff>「血液逆流」</color>を除く）。,이상 상태 면역 (<color=#d7abff>'깨끗함'</color>과 <color=#d7abff>'역혈'</color> 불포함).
31002336,自身,自身,Self,自身,자신
310023310,异常抗性,異常抗性,Abnormality Resistance,異常耐性,이상 저항성
310023311,免疫异常状态（不包括<color=#d7abff>“净澈”</color>、<color=#d7abff>“逆血”</color>和<color=#d7abff>“活性抑制”</color>）。,免疫異常狀態（不包括<color=#d7abff>“淨澈”</color>、<color=#d7abff>“逆血”</color>和<color=#d7abff>“活性抑制”</color>）。,"Immune to abnormal status (except <color=#d7abff>""Purify""</color>, <color=#d7abff>""Reverse Blood""</color> and <color=#d7abff>""Activity Inhibition""</color>).",状態異常に対する耐性を得る（<color=#d7abff>「浄化」</color>、<color=#d7abff>「血液逆流」</color>、<color=#d7abff>「活性抑制」</color>を除く）。,"이상 상태 면역 (<color=#d7abff>'깨끗함'</color>, <color=#d7abff>'역혈'</color> 및 <color=#d7abff>'활성 억제'</color> 불포함)."
310023316,自身,自身,Self,自身,자신
310023320,异常防护,異常防護,Abnormallity Protection,異常防護,이상 방호
310023321,免疫异常状态。,免疫異常狀態。,Immune to abnormal status.,状態異常に対する耐性を得る。,이상 상태 면역.
310023326,自身,自身,Self,自身,자신
31002340,特制防护服,特製防護服,Special Protective Suit,特製防護服,특수 방호복
31002341,免疫异常状态。,免疫異常狀態。,Immune to abnormal status.,状態異常に対する耐性を得る。,이상 상태 면역.
31002346,自身,自身,Self,自身,자신
310023410,军用防护服,軍用防護服,Military Protective Gear,軍用防護服,군용 방호복
310023411,免疫<color=#d7abff>“灼烧”</color>、<color=#d7abff>“衰竭”</color>和<color=#d7abff>“流血”</color>状态。,免疫<color=#d7abff>“灼燒”</color>、<color=#d7abff>“衰竭”</color>和<color=#d7abff>“流血”</color>狀態。,"Immune to <color=#d7abff>""Scorched""</color>, <color=#d7abff>""Exhaustion""</color>, and <color=#d7abff>""Bleeding""</color>.",<color=#d7abff>「燃焼」</color>、<color=#d7abff>「衰弱」</color>および<color=#d7abff>「流血」</color>状態を無効化する。,"<color=#d7abff>'화상'</color>, <color=#d7abff>'쇠약'</color> 및 <color=#d7abff>'유혈' </color>상태에 면역이 된다."
310023416,自身,自身,Self,自身,자신
310023420,特装机甲,特裝機甲,Special Mech,特装機甲,특전 메카
310023421,免疫异常状态。,免疫異常狀態。,Immune to abnormal status.,状態異常に対する耐性を得る。,이상 상태 면역.
310023426,自身,自身,Self,自身,자신
31002350,异常抗体,異常抗體,Anomaly Antibodies,異常抗体,이상 항체
31002351,免疫异常状态（不包括<color=#d7abff>“逆血”</color>）。,免疫異常狀態（不包括<color=#d7abff>“逆血”</color>）。,"Immune to abnormal status (except <color=#d7abff>""Reverse Blood""</color>).",状態異常に対する耐性を得る（<color=#d7abff>「血液逆流」</color>を除く）。,이상 상태 면역 ('깨끗함'과 <color=#d7abff>'역혈'</color> 불포함).
31002356,自身,自身,Self,自身,자신
310101005,自身,自身,Self,自身,자신
310101006,自身,自身,Self,自身,자신
310102005,自身,自身,Self,自身,자신
310102006,自身,自身,Self,自身,자신
310103005,自身,自身,Self,自身,자신
310103006,自身,自身,Self,自身,자신
310104005,自身,自身,Self,自身,자신
310104006,自身,自身,Self,自身,자신
310105005,自身,自身,Self,自身,자신
310105006,自身,自身,Self,自身,자신
3100265,自身,自身,Self,自身,자신
3100266,自身,自身,Self,自身,자신
33100085,自身,自身,Self,自身,자신
33100086,1×5,1×5,1×5,1×5,1×5
33100145,武器,武器,Weapon,武器,무기
33100146,1,1,1,1,1
42101015,自身,自身,Self,自身,자신
42101016,全图,全圖,Map-Wide,全図,지도 전체
2101015,自身,自身,Self,自身,자신
2101016,全图,全圖,Map-Wide,全図,지도 전체
2101025,自身,自身,Self,自身,자신
2101026,全图,全圖,Map-Wide,全図,지도 전체
2101035,自身,自身,Self,自身,자신
2101036,全图,全圖,Map-Wide,全図,지도 전체
2101045,自身,自身,Self,自身,자신
2101046,全图,全圖,Map-Wide,全図,지도 전체
2101055,自身,自身,Self,自身,자신
2101056,全图,全圖,Map-Wide,全図,지도 전체
2101065,自身,自身,Self,自身,자신
2101066,全图,全圖,Map-Wide,全図,지도 전체
2101075,自身,自身,Self,自身,자신
2101076,全图,全圖,Map-Wide,全図,지도 전체
2101085,自身,自身,Self,自身,자신
2101086,全图,全圖,Map-Wide,全図,지도 전체
3101025,自身,自身,Self,自身,자신
3101026,自身,自身,Self,自身,자신
3101045,自身,自身,Self,自身,자신
3101046,自身,自身,Self,自身,자신
3101065,自身,自身,Self,自身,자신
3101066,自身,自身,Self,自身,자신
3101085,武器,武器,Weapon,武器,무기
3101086,1,1,1,1,1
3101100,广域侦察,廣域偵察,Wide Area Recon,広域偵察,광역 정찰
3101101,选择一片区域进行侦测，2回合内获取该区域的全部视野。,選擇一片區域進行偵測，2回合內獲取該區域的全部視野。,"Select an area for reconnaissance, gaining full visual range of that area for 2 turns.",指定したエリアを偵察し、2ターンの間、そのエリアの全視野を得る。,"구역을 하나 선택하여 정찰을 하고, 2턴 내에 해당 구역의 전체 시야를 확보한다."
3101105,10,10,10,10,10
3101106,4,4,3,4,4
3101125,自身,自身,Self,自身,자신
3101126,自身,自身,Self,自身,자신
3101135,自身,自身,Self,自身,자신
3101136,全图,全圖,Map-Wide,全図,지도 전체
3101155,自身,自身,Self,自身,자신
3101156,自身,自身,Self,自身,자신
3101220,目标锁定,目標鎖定,Target Locked On,目標選定,타깃 고정
3101225,自身,自身,Self,自身,자신
3101226,自身,自身,Self,自身,자신
3101245,自身,自身,Self,自身,자신
3101246,自身,自身,Self,自身,자신
2104015,自身,自身,Self,自身,자신
2104016,2,2,2,2,2
