key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
1031101120,禁足,禁足,Grounded,禁足,금족
1031101121,无法移动。,無法移動。,Unable to move.,移動不可,이동불가.
1031201130,乏力,乏力,Fatigued,倦怠,탈진
1031201131,AP-2。,AP-2。,AP is reduced by 2.,AP-2。,AP-2.
1031301130,乏力,乏力,Fatigued,倦怠,탈진
1031301131,AP-5。,AP-5。,AP is reduced by 5.,AP-5。,AP-5.
1031401120,眩晕,眩暈,Stunned,スタン,기절
1031401121,无法行动。,無法行動。,Unable to perform any actions.,行動不能,행동불능.
1031401130,乏力,乏力,Fatigued,倦怠,탈진
1031401131,AP-10。,AP-10。,AP is reduced by 10.,AP-10。,AP-10.
12311010,灼烧,灼燒,Scorched,燃焼,화상
12311011,行动结束时，受到32伤害，该伤害无视护甲。,行動結束時，受到32傷害，該傷害無視護甲。,Take 32 damage that ignores armor at the end of the action.,行動終了時、32ダメージを受ける。このダメージはアーマー効果を無視する。,작전 완료시 32데미지를 입는다. 해당 데미지는 장갑과 무관하다.
12311020,灼烧,灼燒,Scorched,燃焼,화상
12311021,行动结束时，受到40伤害，该伤害无视护甲。,行動結束時，受到40傷害，該傷害無視護甲。,Take 40 damage that ignores armor at the end of the action.,行動終了時、40ダメージを受ける。このダメージはアーマー効果を無視する。,작전 완료시 40데미지를 입는다. 해당 데미지는 장갑과 무관하다.
12311030,灼烧,灼燒,Scorched,燃焼,화상
12311031,行动结束时，受到48伤害，该伤害无视护甲。,行動結束時，受到48傷害，該傷害無視護甲。,Take 48 damage that ignores armor at the end of the action.,行動終了時、48ダメージを受ける。このダメージはアーマー効果を無視する。,작전 완료시 48데미지를 입는다. 해당 데미지는 장갑과 무관하다.
12311040,灼烧,灼燒,Scorched,燃焼,화상
12311041,行动结束时，受到56伤害，该伤害无视护甲。,行動結束時，受到56傷害，該傷害無視護甲。,Take 56 damage that ignores armor at the end of the action.,行動終了時、56ダメージを受ける。このダメージはアーマー効果を無視する。,작전 완료시 56데미지를 입는다. 해당 데미지는 장갑과 무관하다.
12311050,灼烧,灼燒,Scorched,燃焼,화상
12311051,行动结束时，受到64伤害，该伤害无视护甲。,行動結束時，受到64傷害，該傷害無視護甲。,Take 64 damage that ignores armor at the end of the action.,行動終了時、64ダメージを受ける。このダメージはアーマー効果を無視する。,작전 완료시 64데미지를 입는다. 해당 데미지는 장갑과 무관하다.
12311060,灼烧,灼燒,Scorched,燃焼,화상
12311061,行动结束时，受到72伤害，该伤害无视护甲。,行動結束時，受到72傷害，該傷害無視護甲。,Take 72 damage that ignores armor at the end of the action.,行動終了時、72ダメージを受ける。このダメージはアーマー効果を無視する。,작전 완료시 72데미지를 입는다. 해당 데미지는 장갑과 무관하다.
12311070,灼烧,灼燒,Scorched,燃焼,화상
12311071,行动结束时，受到80伤害，该伤害无视护甲。,行動結束時，受到80傷害，該傷害無視護甲。,Take 80 damage that ignores armor at the end of the action.,行動終了時、80ダメージを受ける。このダメージはアーマー効果を無視する。,작전 완료시 80데미지를 입는다. 해당 데미지는 장갑과 무관하다.
12311080,灼烧,灼燒,Scorched,燃焼,화상
12311081,行动结束时，受到92伤害，该伤害无视护甲。,行動結束時，受到92傷害，該傷害無視護甲。,Take 92 damage that ignores armor at the end of the action.,行動終了時、92ダメージを受ける。このダメージはアーマー効果を無視する。,작전 완료시 92데미지를 입는다. 해당 데미지는 장갑과 무관하다.
12311090,灼烧,灼燒,Scorched,燃焼,화상
12311091,行动结束时，受到104伤害，该伤害无视护甲。,行動結束時，受到104傷害，該傷害無視護甲。,Take 104 damage that ignores armor at the end of the action.,行動終了時、104ダメージを受ける。このダメージはアーマー効果を無視する。,작전 완료시 104데미지를 입는다. 해당 데미지는 장갑과 무관하다.
12311100,灼烧,灼燒,Scorched,燃焼,화상
12311101,行动结束时，受到116伤害，该伤害无视护甲。,行動結束時，受到116傷害，該傷害無視護甲。,Take 116 damage that ignores armor at the end of the action.,行動終了時、116ダメージを受ける。このダメージはアーマー効果を無視する。,작전 완료시 116데미지를 입는다. 해당 데미지는 장갑과 무관하다.
12311110,灼烧,灼燒,Scorched,燃焼,화상
12311111,行动结束时，受到128伤害，该伤害无视护甲。,行動結束時，受到128傷害，該傷害無視護甲。,Take 128 damage that ignores armor at the end of the action.,行動終了時、128ダメージを受ける。このダメージはアーマー効果を無視する。,작전 완료시 128데미지를 입는다. 해당 데미지는 장갑과 무관하다.
12311120,灼烧,灼燒,Scorched,燃焼,화상
12311121,行动结束时，受到144伤害，该伤害无视护甲。,行動結束時，受到144傷害，該傷害無視護甲。,Take 144 damage that ignores armor at the end of the action.,行動終了時、144ダメージを受ける。このダメージはアーマー効果を無視する。,작전 완료시 144데미지를 입는다. 해당 데미지는 장갑과 무관하다.
12610010,烟雾弹,煙霧彈,Smoke Grenade,発煙弾,연막탄
12610020,烟雾弹,煙霧彈,Smoke Grenade,発煙弾,연막탄
12610030,烟雾弹,煙霧彈,Smoke Grenade,発煙弾,연막탄
12610040,烟雾弹,煙霧彈,Smoke Grenade,発煙弾,연막탄
10411010,震撼弹,震撼彈,Stun Grenade,スタングレネード,충격탄
10411020,震撼弹,震撼彈,Stun Grenade,スタングレネード,충격탄
10411030,震撼弹,震撼彈,Stun Grenade,スタングレネード,충격탄
10411040,震撼弹,震撼彈,Stun Grenade,スタングレネード,충격탄
10412010,看穿,看穿,Spotted,看破,간파
10412011,生存类特质失效。,生存類特質失效。,Survival-type traits nullified.,生存タイプの特質無効,생존 타입 특성 무효.
104110130,易中,易中,Overwhelmed,的中,표적
104110131,下次遭受普通攻击时无法回避。,下次遭受普通攻擊時無法迴避。,Cannot dodge the next normal attack.,次の通常攻撃が回避できなくなる,다음에 받는 일반 공격 회피 불가.
10811010,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10811020,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10811030,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10811040,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10812010,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10812020,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10812030,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10812040,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10813010,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10813020,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10813030,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10813040,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10813050,洞悉,治療,Analyzed,明察,통찰
10813051,攻击类特质失效。,己方回合開始時恢復25生命值。,Attack-type traits disabled.,攻撃タイプの特質無効。,공격 특성 무효.
10814010,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10814020,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10814030,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
10814040,闪光弹,閃光彈,Flashbang,閃光弾,플래시탄
108120140,眩晕,眩暈,Stunned,スタン,기절
108120141,无法行动。,無法行動。,Unable to perform any actions.,行動不能。,이동불가
1081201410,眩晕,眩暈,Stunned,スタン,기절
1081201411,无法行动。,無法行動。,Unable to perform any actions.,行動不可。,이동불가.
12411010,衰竭,衰竭,Exhausted,衰弱,쇠진
12411011,行动结束时，受到生命值上限25%的伤害。,行動結束時，受到生命值上限25%的傷害。,Take damage equal to 25% of Max HP at the end of the action.,行動終了時、最大HPの25%のダメージを受ける。,"작전 종료 시, HP 상한의 25%의 데미지를 입습니다."
12411020,衰竭,衰竭,Exhausted,衰弱,쇠진
