key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
20050060,向上扳动使北侧固定武器站停止运行,向上扳動使北側固定武器站停止運行,Toggle up to stop the Simple Turret in the north.,上に向かってスワイプすると、北側固定ガンタレットを停止させられます。,위로 당겨 북측 고정 RCWS 가동을 중지시킨다.
20050061,向下扳动使南侧固定武器站停止运行,向下扳動使南側固定武器站停止運行,Toggle down to stop the Simple Turret in the south.,下に向かってスワイプすると、南側固定ガンタレットを停止させられます。,아래로 당겨 남측 고정RCWS 가동을 중지시킨다.
20050062,再想想,再想想,Reconsider,再度考える,다시 한 번 생각해보세요
50039000,A、8659,A、8659,A. 8659,A、8659,A、8659
50039001,B、8629,B、8629,B. 3629,B、8629,B、8629
50039002,C、3659,C、3659,C. 3659,C、3659,C、3659
50039003,D、3627,D、3627,D. 3627,D、3627,D、3627
30120010,抽查值班岗位,抽查值班崗位,Spot check duty posts,抜き打ち検査をする,당직 즉석 점검
30120011,体恤下属辛劳,體恤下屬辛勞,Praise subordinates’ hard work,部下を労わる,부하직원의 노고에 대한 동정심
30120012,离开,離開,Exit,立ち去る,나가기
30120014,卡尔,卡爾,Carl,カール,칼
30120020,打听探照灯控制权,打聽探照燈控制權,Ask about searchlight controls,サーチライトについて聞く,서치라이트 제어권 알아보기
30120021,了解巡逻情况,瞭解巡邏情況,Ask about patrols,巡回について聞く,순찰 상황 알아보기
30120022,离开,離開,Exit,立ち去る,나가기
30120024,卡尔,卡爾,Carl,カール,칼
301200210,临时关闭探照灯（3回合，仅1次）,臨時關閉探照燈（3回合，僅1次）,"Temporarily turn off searchlights (3 turns, 1 time only)",サーチライトを落とす（3ターン、1回のみ）,"잠시 서치라이트를 끈다(3턴, 1번만)"
301200211,暂停探照灯的移动（1回合）,暫停探照燈的移動（1回合）,Suspend the movement of searchlights (1 turn),サーチライトを固定する（1ターン）,서치라이트 이동을 잠시 멈춘다(1턴)
301200212,离开,離開,Exit,立ち去る,나가기
301200214,卡尔,卡爾,Carl,カール,칼
30120030,引开北面守卫,引開北面守衛,Distract the guard to the north,北側から警備を離す,북쪽 수비를 유인하다
30120031,打听基地守军情况,打聽基地守軍情況,Ask about the base garrison,守備部隊の状況を聞き出す,기지 수비 상황 알아보기
30120032,离开,離開,Exit,立ち去る,나가기
30120034,卡尔,卡爾,Carl,カール,칼
30121030,北区发现可疑人影,北區發現可疑人影,Suspicious figures have been spotted to the north,北で不審人物を見かけた,북쪽에 수상한 움직임을 발견했다
30121031,北区发现生骸出没,北區發現生骸出沒,ELID sighting to the north,北で生骸が出没した,북쪽에 생해가 출몰했다
30121032,北区仓库堵塞需要清理,北區倉庫堵塞需要清理,The northern warehouse is blocked and needs to be cleared,北の倉庫が満杯で使えない,북쪽 창고가 막혀 정리해야 한다
30121034,卡尔,卡爾,Carl,カール,칼
30120040,探听实验室值班情况,探聽實驗室值班情況,Check the lab duty status,実験室のシフトを聞き出す,실험실 당직 상황 알아보기
30120041,询问门禁卡保管者去处,詢問門禁卡保管者去處,Ask where the person with the access card went,カードキーの持ち主を尋ねる,출입 카드 보관자의 행방 묻기
30120042,离开,離開,Exit,立ち去る,나가기
30120044,卡尔,卡爾,Carl,カール,칼
30120050,提点值班状态,提點值班狀態,Check on shift status,当直状況を検査する,당직 상태 점검
30120051,询问实验室换班事宜,詢問實驗室換班事宜,Ask about lab shift changes,実験室のシフトを尋ねる,실험실 교대 상황 알아보기
30120052,离开,離開,Exit,立ち去る,나가기
30120054,卡尔,卡爾,Carl,カール,칼
301200520,态度温和,態度溫和,Be gentle,優しい態度で,온화한 태도
301200521,态度严肃,態度嚴肅,Be harsh,厳しい態度で,엄숙한 태도
301200524,卡尔,卡爾,Carl,カール,칼
30120060,尝试索要门卡,嘗試索要門卡,Try asking for an access card,カードキーを要求する,출입 카드 요청 시도
30120061,交流基地美食,交流基地美食,Exchange base food,基地の食事の話をする,기지의 미식 이야기하기
30120062,离开,離開,Exit,立ち去る,나가기
30120064,卡尔,卡爾,Carl,カール,칼
301200620,威逼恐吓,威逼恐嚇,Threaten,脅しつける,윽박지른다
301200621,循循善诱,循循善誘,Guide patiently and systematically,なだめすかす,차근차근 잘 타일러본다
301200624,卡尔,卡爾,Carl,カール,칼
30120070,碳酸饮料,碳酸飲料,Fizzy drink,炭酸飲料,탄산 음료
30120071,瓶装饮用水,瓶裝飲用水,Bottled water,ボトルの水,병에 담긴 생수
30120072,伏特加,伏特加,Vodka,ウォッカ,보드카
30120073,酸橙甜酒,酸橙甜酒,Lime Cordial,カシスオレンジ,라임 리큐어
30120074,卡尔,卡爾,Carl,カール,칼
30121070,打听狼人情况,打聽狼人情況,Ask about the Werewolves,ウェアウルフについて聞く,늑대인간 상황을 알아본다
30121071,试图调离岗位,試圖調離崗位,Try transferring positions,持ち場から離れさせる,근무 이전 시도
30121072,离开,離開,Exit,立ち去る,나가기
30121074,卡尔,卡爾,Carl,カール,칼
30122070,喝杯烈酒,喝杯烈酒,Drink spirits,強い酒を飲む,독한 술 한 잔을 들이켠다
30122071,喝碗热汤,喝碗熱湯,Drink hot soup,熱いスープを飲む,따뜻한 국 한 사발 들이켠다
30122074,卡尔,卡爾,Carl,カール,칼
301220710,赠予伏特加,贈予伏特加,Give vodka,ウォッカを贈る,보드카 선물로 주기
301220714,卡尔,卡爾,Carl,カール,칼
30123070,赠予伏特加,贈予伏特加,Give vodka,ウォッカを贈る,보드카 선물로 주기
30123074,卡尔,卡爾,Carl,カール,칼
30120080,询问回收物品,詢問回收物品,Ask about recycling,回収物資について尋ねる,회수한 물품에 관해 물어본다
30120081,关心下属状态,關心下屬狀態,Check on subordinate's well-being,部下の心配をする,부하 상태에 관심을 가져본다
30120082,离开,離開,Exit,立ち去る,나가기
30120084,卡尔,卡爾,Carl,カール,칼
301200810,询问私事详情,詢問私事詳情,Inquire about personal matters,個人的な質問をする,개인 일을 상세하게 물어본다
301200811,追问回收细节,追問回收細節,Ask for recycling details,回収の詳細について聞く,회수에 관한 자세한 내용을 물어본다
301200814,卡尔,卡爾,Carl,カール,칼
30120100,询问军旅生涯,詢問軍旅生涯,Ask about military career,軍歴について尋ねる,군 생활을 물어본다
30120101,询问忧心原因,詢問憂心原因,Ask about reasons for worries,心配の種を聞き出す,무엇을 걱정하는지 물어본다
30120102,离开,離開,Exit,立ち去る,나가기
30120104,卡尔,卡爾,Carl,カール,칼
301201010,直接追问,直接追問,Ask directly,単刀直入に聞く,직접 추궁한다
301201011,旁敲侧击,旁敲側擊,Subtly fish for info,それとなく聞く,빙빙 돌려 물어본다
301201014,卡尔,卡爾,Carl,カール,칼
30121100,询问异常情况,詢問異常情況,Ask about anomalies,異状について尋ねる,이상 상황에 대해 물어본다
30121101,尝试提出帮助,嘗試提出幫助,Offer help,支援を申し出る,도움을 줘본다
30121102,离开,離開,Exit,立ち去る,나가기
30121104,卡尔,卡爾,Carl,カール,칼
301211010,郑重其事地套话,鄭重其事地套話,Pry for info,重々しく話しかける,정중한 말투로 상투적인 말을 건넨다
301211011,语重心长地安抚,語重心長地安撫,Offer reassurance,優しく心配する,따뜻한 말투로 위로한다.
301211014,卡尔,卡爾,Carl,カール,칼
30120140,了解个人情况,瞭解個人情況,Understand their personal situation.,本人のことを知る,개인 상황을 알아본다
30120141,打探探照灯路线,打探探照燈路線,Gather information on searchlight routes,サーチライトの配置を探る,서치라이트 노선을 알아본다
30120142,离开,離開,Exit,立ち去る,나가기
30120144,卡尔,卡爾,Carl,カール,칼
301201410,索要布防图纸,索要佈防圖紙,Ask for defense plan,配置図を要求する,방어 배치도를 요구한다
301201411,要求现场画图,要求現場畫圖,Demand a map of the area,現場写真を要求する,현장에서 배치도를 그리도록 한다
301201414,卡尔,卡爾,Carl,カール,칼
30091120,顺时针转动3格,順時針轉動3格,Turn clockwise 3 tiles,時計回りに3コマ,시계 방향으로 3타일 돌리기
30091121,逆时针转动1格,逆時針轉動1格,Turn counterclockwise 1 tile,反時計回りに1コマ,시계 반대 방향으로 1타일 돌리기
30091122,离开,離開,Exit,立ち去る,나가기
30091000,顺时针转动3格,順時針轉動3格,Turn clockwise 3 tiles,時計回りに3コマ,시계 방향으로 3타일 돌리기
30091001,逆时针转动1格,逆時針轉動1格,Turn counterclockwise 1 tile,反時計回りに1コマ,시계 반대 방향으로 1타일 돌리기
30091002,离开,離開,Exit,立ち去る,나가기
30091060,BATTLELINE,BATTLELINE,BATTLELINE,BATTLELINE,BATTLELINE
30091061,GERNAWY,GERNAWY,GERNAWY,GERNAWY,GERNAWY
30091062,AMUSEMENT,AMUSEMENT,AMUSEMENT,AMUSEMENT,AMUSEMENT
30091070,OCINEVA,OCINEVA,OCINEVA,OCINEVA,OCINEVA
30091071,OCCUPY,OCCUPY,OCCUPY,OCCUPY,OCCUPY
30091072,OCILIHA,OCILIHA,OCILIHA,OCILIHA,OCILIHA
30091080,IENMBHOS,IENMBHOS,IENMBHOS,IENMBHOS,IENMBHOS
30091081,INTHOMBS,INTHOMBS,INTHOMBS,INTHOMBS,INTHOMBS
30091082,INTHOSMB,INTHOSMB,INTHOSMB,INTHOSMB,INTHOSMB
30150140,医疗救援,醫療救援,Medical rescue,医療救護,의료 구조
30150141,火力进攻,火力進攻,Assault,攻撃参加,화력 공격
30150142,辅助支援,輔助支援,Auxiliary support,補助支援,지원 도움
