key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
attr_ap0,行动力,行動力,Action Points,行動力,AP
attr_ap_desc0,用于执行各种行动指令,用於執行各種行動指令,Used for carrying out various operational commands,ターン毎に使用可能な行動ポイント,각종 행동 지령의 수행에 사용
attr_sp0,技力,技力,Skill Points,スキルポイント,SP
attr_sp_desc0,用于施放技能,用於施放技能,Used for casting Skills,スキル使用時に必要なポイント,스킬 사용에 필요한 포인트
attr_armor0,护甲,護甲,Armor,装甲,장갑
attr_armor_desc0,可减少受击伤害,可減少受擊傷害,Can reduce damage taken,破壊不可な装甲,받는 피해 감소
attr_armorpenetration0,破甲,破甲,ArP,徹甲,관통
attr_armorpenetration_desc0,可增加对有甲目标的伤害,可增加對有甲目標的傷害,Can increase damage to armored targets,強力な鎧を破壊する,장갑 유닛에 입히는 피해량 증가
attr_attack0,攻击,攻擊,ATK,ATK,ATK
attr_attack_desc0,对目标造成的基础伤害,對目標造成的基礎傷害,Base damage dealt to a target,与えられるダメージ,적에게 입히는 기본 피해량
attr_attackrange0,射程,射程,RGE,ST,ST
attr_attackrange_desc0,武器的最大攻击范围,武器的最大攻擊範圍,The maximum attack range of the weapon,武器の射程距離,무기의 최대 공격 범위
attr_critical0,暴击概率,暴擊機率,CRTR,CHR,CHR
attr_critical_desc0,造成致命打击的概率,造成致命打擊的機率,The probability of a critical hit,会心ダメージを与える確率,치명타가 발생할 확률
attr_critical_dmg0,暴击伤害,暴擊傷害,CRTD,CHD,CHD
attr_critical_dmg_desc0,致命打击的伤害倍率,致命打擊的傷害倍率,The damage multiplier of a critical hit,会心攻撃の際与えるダメージ倍率,치명타의 피해 배율
attr_dodge0,闪避,閃避,EVA,EVA,EVA
attr_dodge_desc0,可增加回避敌方攻击的概率,可增加迴避敵方攻擊的機率,Can increase the probability of evading enemy attacks,回避に関わる数値,적의 공격을 회피할 확률 증가
attr_hit0,命中,命中,ACC,ACC,ACC
attr_hit_desc0,可增加攻击击中目标的概率,可增加攻擊擊中目標的機率,Can increase the probability of hitting the target with attacks,攻撃の命中率に関わる数値,공격이 명중할 확률 증가
attr_sightrange0,普通视野,普通視野,NVR,NVR,NVR
attr_sightrange_desc0,迷雾环境中可侦察到非潜行敌人的范围,迷霧環境中可偵察到非潛行敵人的範圍,The range at which enemies not in stealth can be detected,通常状態の敵の可視範囲,안개 환경 중 일반 상태의 적을 관찰할 수 있는 범위
attr_stealthrange0,反潜视野,反潛視野,ASVR,ASVR,ASVR
attr_stealthrange_desc0,可侦察到潜行敌人的范围,可偵察到潛行敵人的範圍,The range at which enemies in stealth can be detected,潜行状態の敵の可視範囲,스텔스 상태의 적을 관찰할 수 있는 범위
attr_hp0,生命值,生命值,HP,体力,HP
attr_hp_desc0,可承受的伤害量,可承受的傷害量,Amount of damage that a unit can sustain,０になると操作不能になる,받을 수 있는 피해량
attr_total_format0,总{0},總 {0},Total{0},合計{0},{0} 합계
attr_atkrange_adv0,优势射程,優勢射程,Optimal Range,有効射程,유효 사거리
attr_atkrange_disadv0,劣势射程,劣勢射程,Suboptimal Range,最大射程,최대 사거리
attr_def0,防御,防禦,DEF,防御,DEF
attr_def_desc0,可抵挡的伤害量,可抵擋的傷害量,The amount of damage that can be resisted,防げるダメージ量,막을 수 있는 피해량
attr_hit_advantage0,优势命中,優勢命中,OP-ACC,A-HIT,A-HIT
attr_hit_advantage_desc0,可增加攻击击中优势射程内目标的概率,可增加攻擊擊中優勢射程內目標的機率,Increases the probability of hitting targets within Optimal Range,最適射程内にいるターゲットへの命中率増加,유효 사거리 내의 목표를 명중할 확률 증가
attr_hit_disadvantage0,劣势命中,劣勢命中,SUB-ACC,DA-HIT,DA-HIT
attr_hit_disadvantage_desc0,可增加攻击击中劣势射程内目标的概率,可增加攻擊擊中劣勢射程內目標的機率,Increases the probability of hitting targets within Suboptimal Range,劣勢射程内にいるターゲットへの命中率増加,최대 사거리 내의 목표를 명중할 확률 증가
attr_attack_apcost0,AP消耗,AP 消耗,AP Cost,AP消費,AP 소비
attr_attack_apcost_desc0,每次攻击消耗的AP量,每次攻擊消耗的 AP 量,The amount of Action Points consumed per attack,一回の攻撃で消費するAP,한 번의 공격으로 소비되는 AP
attr_bullet_cost0,子弹消耗,子彈消耗,Ammo Cost,弾薬消費量,탄약 소비
attr_bullet_cost_des0,每次攻击消耗的子弹,每次攻擊消耗的子彈,The amount of ammunition consumed per attack,一回の攻撃で消費する弾薬,한 번의 공격으로 소비되는 탄약
attr_itemdist0,道具置距,道具距離,Item Range,アイテム使用範囲,아이템 사용 범위
attr_itemdist_desc0,attr_itemdist_desc,attr_itemdist_desc,The range in which an item is usable,アイテムを使用できる範囲,아이템을 사용할 수 있는 범위
attr_suppress0,压制,压制,Suppression,,억압
attr_suppress_desc0,应对可压制敌方,应对可压制敌方,,,
