key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
10,休憩之所,休憩之所,Resting Place,休憩所,휴식처
11,回合结束时，恢复生命值上限的20%。,回合結束時，恢復生命值上限的20%。,"At the end of the turn, recover 20% of Max HP.",ターン終了時、最大HPの20%が回復する。,"턴 종료 시, HP 상한의 20% 회복."
20,燃烧地面,燃燒地面,Booby-Trap,燃え盛る地面,지면 불태우기
21,回合结束时，敌方单位受到生命值上限20%的伤害。,回合結束時，敵方單位受到生命值上限20%的傷害。,"At the end of the turn, take damage equal to 20% of Max HP.",ターン終了時、敵ユニット最大HPの20%のダメージを受ける。,턴 종료 시 적군 유닛이 HP 상한 20%의 데미지를 입습니다.
30,火堆,火堆,Burning Fire,たき火,불더미
31,回合结束时，受到生命值上限20%的伤害。,回合結束時，受到生命值上限20%的傷害。,"At the end of the turn, take damage equal to 20% of Max HP.",ターン終了時、最大HPの20%のダメージを受ける。,"턴 종료 시, 최대 HP 20%의 데미지를 입습니다."
40,碉堡,碉堡,Pillbox,トーチカ,토치카
41,受到的伤害降低50%。,受到的傷害降低50%。,Reduce 50% damage taken,受けるダメージが50%減少する。,받은 데미지가 50% 줄어듭니다.
50,全息砂石,全像砂石,Holographic Gravel,ホログラフィックデコイ,홀로그램 그래블
51,敌方单位在范围内移动时每1格消耗的AP+1。,敵方單位在範圍內移動時每1格消耗的AP+1。,Enemy units moving within range consume an additional 1 AP per tile.,敵ユニットが範囲内で移動する際、1マスあたりの消費AP+1。,적군 유닛이 범위 내에서 이동할 시 1타일 당 소모하는 AP +1.
60,全息砂石,全息砂石,Holographic Gravel,ホログラフィックデコイ,홀로그램 그래블
61,敌方单位在范围内移动时每1格消耗的AP+1。,敵方單位在範圍內移動時每1格消耗的AP+1。,Enemy units moving within range consume an additional 1 AP per tile.,敵ユニットが範囲内で移動する際、1マスあたりの消費AP+1。,적군 유닛이 범위 내에서 이동할 시 1타일 당 소모하는 AP +1.
70,全息砂石,全息砂石,Holographic Gravel,ホログラフィックデコイ,홀로그램 그래블
71,敌方单位在范围内移动时每1格消耗的AP+2。,敵方單位在範圍內移動時每1格消耗的AP+2。,Enemy units moving within range consume an additional 2 AP per tile.,敵ユニットが範囲内で移動する際、1マスあたりの消費AP+2。,적군 유닛이 범위 내에서 이동할 시 1타일 당 소모하는 AP +2.
80,粘液,粘液,Mucus,粘液,점액
81,敌方单位在范围内移动时每1格消耗的AP+3。,敵方單位在範圍內移動時每1格消耗的AP+3。,Enemy units moving within range consume an additional 3 AP per tile.,敵ユニットが範囲内で移動する際、1マスあたりの消費AP+3。,적군 유닛이 범위 내에서 이동할 시 1타일 당 소모하는 AP +3.
90,粘液,粘液,Mucus,粘液,점액
91,己方单位在范围内移动时每1格消耗的AP+3。,己方單位在範圍內移動時每1格消耗的AP+3。,Enemy units moving within range consume an additional 3 AP per tile.,味方ユニットが範囲内で移動する際、1マスあたりの消費AP+3。,아군 유닛이 범이 내에서 이동 시 1타일 당 소모하는 AP +3.
100,伤害,傷害,Damage,ダメージ,데미지
101,回合结束时，受到生命值上限20%的伤害。,回合結束時，受到生命值上限20%的傷害。,"At the end of the turn, take damage equal to 20% of Max HP.",ターン終了時、最大HPの20%のダメージを受ける。,"턴 종료 시, 최대 HP 20%의 데미지를 입습니다."
110,伤害,傷害,Damage,ダメージ,데미지
111,回合结束时，受到生命值上限20%的伤害。,回合結束時，受到生命值上限20%的傷害。,"At the end of the turn, take damage equal to 20% of Max HP.",ターン終了時、最大HPの20%のダメージを受ける。,"턴 종료 시, 최대 HP 20%의 데미지를 입습니다."
120,血雾,血霧,Blood Mist,血の霧,피의 안개
121,己方单位在血雾内移动时每1格消耗的AP+1。每当己方人类单位接触到血雾时，获得1次“细胞破败”效果，持续1回合，该效果可叠加，以及“血液侵蚀”状态，持续2回合。,己方單位在血霧內移動時每1格消耗的AP+1。每當己方人類單位接觸到血霧時，獲得1次“細胞破敗”效果，持續1回合，該效果可疊加，以及“血液侵蝕”狀態，持續2回合。,"Enemy units moving within the Blood Mist consume an additional 1 AP per 1 tile. Whenever an enemy Human unit comes into the contact with the blood mist, they are affected with ""Cellular Decay"" status, lasts 1 turn, this effect can be stacked. Additionally, they are affected with ""Blood Coagulation"", which lasts for 2 turns.",味方ユニットが血の霧の中で移動する際、1マスあたりの消費AP+1。1ターンの間、敵の人間ユニットが血の霧に接触するたびに、「細胞破壊」効果を1回得る。この効果はスタックされ、同時に2ターンの間、「血液侵蝕」状態になる。,"아군 유닛이 피의 안개 내에서 이동 시 1타일 당 소모하는 AP +1. 아군 인간 유닛이 피의 안개에 접촉할 시, 한번의 ‘세포 파괴’ 효과를 얻습니다. 1턴 유지. 해당 효과는 중첩이 가능하며, ‘혈액 침식’ 상태는 2턴 유지됩니다."
130,燃烧地面,燃燒地面,Burning Ground,燃え盛る地面,지면 불태우기
131,回合结束时，己方单位受到生命值上限20%的伤害。,回合結束時，己方單位受到生命值上限20%的傷害。,"At the end of the turn, take damage equal to 20% of Max HP.",ターン終了時、味方ユニット最大HPの20%のダメージを受ける。,"턴 종료 시, 아군 유닛은 HP 상한 20%의 데미지를 받습니다."
140,腐溃浸染,腐潰浸染,Festering Erosion,腐乱汚染,부패 침식
141,回合结束时，己方单位受到生命值上限50%的伤害。,回合結束時，己方單位受到生命值上限50%的傷害。,Allied units take damage equal to 50% of their Max HP at the end of the turn.,ターン終了時、味方ユニット最大HPの50%のダメージを受ける。,"턴 종료 시, 아군 유닛은 HP 상한 50%의 데미지를 받습니다."
150,腐溃浸染,腐潰浸染,Festering Erosion,腐乱汚染,부패 침식
151,回合结束时，回复伯劳意识体1%生命。,回合結束時，回復伯勞意識體1%生命。,"At the end of turn, Shrike Consciousness recovers 1% HP.",ターン終了時、シュライク意識体のHPが1%回復する。,"턴 종료 시, 슈라이크 의식체 1%의 HP 회복."
160,腐溃浸染,腐潰浸染,Festering Erosion,腐乱汚染,부패 침식
161,回合结束时，己方人类单位受到生命值上限10%的伤害。,回合結束時，己方人類單位受到生命值上限10%的傷害。,Allied human units take damage equal to 10% of their Max HP at the end of the turn.,ターン終了時、味方人間ユニット最大HPの10%のダメージを受ける。,"턴 종료 시, 아군 인간 유닛은 HP 상한 10%의 데미지를 받습니다."
170,腐溃浸染,腐潰浸染,Festering Erosion,腐乱汚染,부패 침식
171,回合结束时，敌方人类单位受到生命值上限30%的伤害。,回合結束時，敵方人類單位受到生命值上限30%的傷害。,Enemy human units take damage equal to 30% of their Max HP at the end of the turn.,ターン終了時、敵人間ユニット最大HPの30%のダメージを受ける。,"턴 종료 시, 적군 인간 유닛은 HP 상한 30%의 데미지를 받습니다."
180,血雾,血霧,Blood Mist,血の霧,피의 안개
181,经过血雾，命中-1，回避-1，若诺耶露β经过血雾，攻击+2。,經過血霧，命中-1，回避-1，若諾耶露β經過血霧，攻擊+2。,"After passing through Blood Mist, ACC -1, Evasion -1. If Noylu 尾 passed through Blood Mist, ATK+2.",血の霧を通過すると、命中-1、回避-1。ノエルβが血の霧を通過すると攻撃+2。,"피의 안개를 지나, 명중 -1, 회피 -1, 만약 노엘르β가 피의 안개를 지나가면 공격 +2."
190,血雾,血霧,Blood Mist,血の霧,피의 안개
191,诺耶露β若已在、经过血雾，攻击+2,諾耶露β若已在、經過血霧，攻擊+2,"If Noylu 尾 is in or has passed through the Blood Mist, ATK +2",ノエルβがすでにいる場合、血の霧を通過すると攻撃+2,"노엘르β가 이미 있고 피의 안개를 지나가면, 공격 +2."
200,血液陷阱,血液陷阱,Blood Trap,血液トラップ,피의 함정
