key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
txt_title,掉落物,掉落物,Drops,戦利品,전리품
text_level,等级：,等級：,Level:,レベル：,레벨:
text_sp,SP,SP,SP,SP,SP
text_ability,属性 ,屬性 ,Attributes,属性,능력치
text_specialability,特质,特質,Traits,特徴,특성
text_buff,状态,狀態,Status,ステータス,상태
text_terrain,当前地形,目前地形,Current Terrain,現在の地形,현재 지형
text_normalweapon_title,武器,武器,Weapon,武器,무기
text_bodyweapon_title,武器,武器,Weapon,武器,무기
text_bodyweapon_player_title,武器,武器,Weapon,武器,무기
text_checkattr_word,属性详情,屬性詳情,Detailed Attributes,属性詳細,능력치 정보
text_exp,经验值：,經驗值：,EXP:,経験値：,경험치:
text_talent_title_1,技能,技能,Skill,ゲノムスキル,스킬
text_talent_title_2,技能,技能,Skill,ゲノムスキル,스킬
text_weapon_ap_cost_word_1,AP消耗 ,AP 消耗 ,AP Cost,AP消費,AP 소비
text_weapon_ap_cost_word_2,AP消耗 ,AP 消耗 ,AP Cost,AP消費,AP 소비
text_normalweapon_playergroup_title_1,武器,武器,Weapon,武器,무기
text_talent_title_remake,技能,技能,Skill,ゲノムスキル,스킬
text_normalweapon_playergroup_title_2,武器,武器,Weapon,武器,무기
text_weapon_ap_cost_word_remake,AP消耗 ,AP 消耗 ,AP Cost,AP消費,AP 소비
