key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
a994bcaddb50834bca94c8767bbda0e5,洁芙缇,潔芙緹,Jefuty,ジェフティ,제퓨티
fe3d7171ff8e45a8690c226d36898de2,蒙德,蒙德,Mendo,モンド,멘도
f90a76ca3aab22fa52551615f0b19a04,卡尔,卡爾,Carl,カール,칼
54f8dc5764f19053d5bb32b5efd7d2ad,阿特娜,阿特娜,Atena,アテナ,아테나
d327d8a4abcccf341586c4bb05e8fd9e,杰文,傑文,Jevon,ジェヴァン,제본
1a3ae7c04af33be82d591cae9e4d0766,黎格,黎格,Lige,リゲル,리겔
b8c7085081024b3660a40ad13bbbd993,伯劳拟态黎格,伯勞擬態黎格,Shrike Mimicking Lige,シュライクの擬態となったリゲル,슈라이크 의태 리겔
167b63bfda8b593d15fb6eea3cdb3c04,贝蒂,貝蒂,Betty,ベティ,베티
86e58d93a8f51942443fc372560f1074,阿比盖尔,阿比蓋爾,Abigail,アビゲイル,아비게일
b486661ae26e13cbf32f742a639d2db1,瓦尔梅特,瓦爾梅特,Valmet,バルメット,발멧
6b77aca76c61899c3bab6bc799cb115f,露比,露比,Ruby,ルビー,루비
588864882e0e3d178c8e820fa019ab9e,塔萨队员,塔薩隊員,TASA Member,TASA隊員,TASA대원
4d9258925dbf563d0715310e0c134a8c,燃烧手雷,,,,
969a9f776d610a6e3470c12dfc668a80,预警,,,,
4f746dd0afb846dc00937f7a9d0c841d,黏液弹,,,,
b4aa3450bfea73b0971f0805a84534c7,破片绊雷,,,,
b0481c019d9f876d931120f7daed1cd7,追踪绊雷,,,,
54304e81de4000bc6d9d3994f64671cd,驱械贰号,,,,
389f5d751622671cac575cc67464bb82,催眠绊雷,,,,
11bbfe19f0da5c2ff2dadb9308fbc7bc,全息砂石,,,,
e6d5eefc5ba4465685eaf70a095de657,黎格skill800303地刺,,,,
5acb38bb85e60eb7ad65e77a08d16fc1,小型侦察仪,小型偵察儀,Scanner,小型偵察機,소형 탐지기
7de05a006d6f2facce3c4e65ed004ee2,高级侦察仪,高級偵察儀,Advanced Scanner,高級偵察機,고급 탐지기
4a18df7181e4a5b17578809c3b48e667,自行侦察车,自行偵察車,Autonomous Recon Vehicle,自動偵察車,무인 정찰차
d0cd20431d06083bc75ca6c42f9f8261,简易武器站,簡易武器站,Simple Turret,簡易ガンタレット,간이 RCWS
e910175d6c612f1c9082460bb40df4e3,固定简易武器站,固定簡易武器站,Fixed Simple Turret,固定式簡易タレット,고정 간이 RCWS
88cb24b1b35c2cbfdfc78f593f8b283b,制式武器站,制式武器站,Standard Turret,制式ガンタレット,제식 RCWS
08861ffb96257ad8f9cf6089802ebc1d,固定中型武器站,固定中型武器站,Fixed Medium Turret,固定式中型ガンタレット,고정 중간형 RCWS
58539b4b692bed9550b1fdeb1682d83c,中型武器站,中型武器站,Medium Turret,中型ガンタレット,중간형 RCWS
de500a9b9a6be3a46b18b9abe631901a,重型武器站,重型武器站,Heavy Turret,重装タレット,중형 RCWS
