key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
a3a0557a0f06bc639a167045cdfd56a8,莫辛纳甘,莫辛納甘,Mosin-Nagant,モシンナガン,모신나강
b1fe1faac4f33d324ed339cf3c4171e7,雪鹱,雪鸌,Petrel,ユキドリ,흰바다제비
626eec8b938d8e30d1fff56deec16871,阿特洛波斯,阿特洛波斯,Atropos,アトロポス,아트로포스
0fa4a34525fa6e3bd6c5c6411c4967d1,幼蟒,幼蟒,Python,リトルアナコンダ,리틀 아나콘다
a16db2357d31d054997ed97ba7f7864b,水牛,水牛,Bison,バッファロー,버팔로
b54a6010a971ede2d1097ecea6665d90,巨蝮蛇,巨蝮蛇,Viper,ラケシス,자이언트 바이퍼
c093f589e4f00b6704ad1836e48128ee,AT-77U,AT-77U,AT-77U,AT-77U,AT-77U
692179169143b4573c3ceed06be04e89,飞蜥,飛蜥,Draco,アガマ,날도마뱀
a2fddd436793f6c2d93439ad052a83dd,OSK,OSK,OSK,OSK,OSK
9924d4dca8919f500bb3dd829aa4fcef,剑羚,劍羚,Oryx,オリックス,오릭스
2c894a852693ea099973c253629be9fd,虎鲸,虎鯨,Orca,シャチ,범고래
cfd9a17a2124ba82f881b5d94e780413,流星,流星,Meteor,流星,유성
5fe2df8c3cfa7fc107222f785f45a671,骨刃,骨刃,Bone Blade,ボーンブレード,골도
fe0909e366c59de6a1c7cb4eaddac228,飞刃,飛刃,Throwing Knife,フライングブレード,비도
e3f0e849382c1ddaa4a50d6ab489526d,鼬鲨,鼬鯊,Shark,イタチザメ,뱀상어
3fed449d34ee22f86379bdc58b08803e,凝血匕首,凝血匕首,Coagulating Dagger,血液凝固ナイフ,응혈 단도
7f60d137faf75f22dfef8af88f7ca9e5,凝血骨刃,凝血骨刃,Coagulating Bone Blade,血液凝固ボーンブレード,응혈 골도
2a7f28d535ca718c7846d9ec6022f24f,SVP-79,SVP-79,SVP-79,SVP-79,SVP-79
a69e4e8c7557cb5a6cb799858af808e5,AT-77,AT-77,AT-77,AT-77,AT-77
446687ea2db1ada75be5ed053be77f59,PLN,PLN,PLN,PLN,PLN
27b6ef89fb1efef37774e178f12655f9,SDS,SDS,SDS,SDS,SDS
10be4f77c4f02a5d7ba722b756fe4f0a,MPN-6,MPN-6,MPN-6,MPN-6,MPN-6
0f6f0416988712658f39de262e42334a,KG-11,KG-11,KG-11,KG-11,KG-11
929caee44468c9180f403c249cf85a53,PPC-86,PPC-86,PPC-86,PPC-86,PPC-86
