key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
601010,AFH消焰器,AFH 消焰器,AFH Flash Hider,AFH消化器,AFH 소염기
601020,DT-1补偿器,DT-1補償器,DT-1 Compensator,DT-1コンペンセータ,DT-1 보정기
601030,SBC组合补偿器,SBC組合補償器,SBC Composite Compensator,SBC結合型補正器,SBC 복합 보정기
601040,RR4通用补偿器,RR4通用補償器,RR4 General Purpose Compensator,RR4通常補正器,RR4 범용 보정기
601050,MTB制退器,MTB制退器,MTB Muzzle Brake,MTBマズルブレーキ,MTB 제동기
601051,死神,死神,Grim Reaper,死神,사신
601150,BSD爆炸缓冲装置,BSD爆炸緩衝裝置,BSD Blast Mitigation Device,BSD爆発緩衝装置,BSD 폭발 완화 장치
601151,自我暗示,自我暗示,Auto Suggestion,自己暗示,자기 암시
601250,PN 4-V涡旋式消焰器,PN 4-V渦旋式消焰器,PN 4-V Vortex Flash Hider,PN 4-Vボルテックスフラッシュハイダー,PN 4-V 와류 소염기
601251,隐火,隱火,Hidden Flash,見えない火,숨겨진 불
601350,RS多功能枪口装置,RS多功能槍口裝置,RS Multi-Purpose Muzzle Device,RS多機能銃口装置,RS 다목적 총구 장치
601351,残暴,殘暴,Brutalization,残虐,잔학
602010,PU 3.5倍光学瞄具,PU 3.5倍光學瞄具,PU 3.5x Optical Sight,PU 3.5倍光学照準器,PU 3.5배율 광학 조준경
602020,PSO-1M4 4倍光学瞄具,PSO-1M4 4倍光學瞄具,PSO-1M4 4x Optical Sight,PSO-1M4 4倍光学サイト,PSO-1M4 4배율 광학 조준경
602030,GIP 3-10倍光学瞄具,GIP 3-10倍光學瞄具,GIP 3-10x Optical Sight,GIP 3-10倍光学照準器,GIP 3-10배율 광학 조준경
602040,K6i 6-24倍光学瞄具,K6i 6-24倍光學瞄具,K6i 6-24x Optical Sight,K6i 6-24倍光学照準器,K6i 6-24배율 광학 조준경
602050,ATR 7-35倍光学瞄具,ATR 7-35倍光學瞄具,ATR 7-35x Optical Sight,ATR 7-35倍光学照準器,ATR 7-35배율 광학 조준경
602051,望远镜,望遠鏡,Telescope,双眼鏡,망원경
602150,T2LR热成像步枪瞄具,T2LR熱成像步槍瞄具,T2LR Thermal Rifle Scope,T2LR赤外線付きライフル照準器,T2LR 열화상 소총 조준경
602151,热能捕获,熱能捕獲,Thermal Capture,熱エネルギーによる捕獲,열에너지 포착
602250,VCOS 1-8倍光学瞄具,VCOS 1-8倍光學瞄具,VCOS1 1-8x Optical Sight,VCOS 1-8倍光学照準器,VCOS 1-8배율 광학 조준경
602251,视差调节,視差調節,Parallax Adjustment,視差調整,시차 조절
602350,SIR热成像组合瞄具,SIR熱成像組合瞄具,SIR Hybrid Thermal Sight,SIR赤外線付き結合型照準器,SIR 열화상 복합 조준경
602351,安稳校准,安穩校準,Stable Calibration,安定した校正,안정 교정
602450,FP特型瞄具,FP特型瞄具,FP Special Scope,FP特殊照準器,FP 특수 조준경
602451,极地之眼,極地之眼,Polar Eye,極地の眼,극지의 눈
603010,PK-08红点瞄具,PK-08 紅點瞄具,PK-08 Red Dot Sight,PK-08レッドサイト,PK-08 레드 도트 사이트
