key_name,ko_kr
4033011,[4033011] 디버그 전쟁 요새가 아군 유닛이 되었습니다.
4024021,[4024021] 칼의 새로운 무기: 비행 도마뱀을 획득했습니다.
3000021,[3000021] 앤더슨이 아군 유닛이 되었습니다.
5003011,[5003011] 강렬한 슈라이크의 집어삼키는 힘 때문에 접근한 캐릭터의 일반 무기가 효력을 잃었습니다. 하지만 이미 슈라이크의 허망의 심장을 공격하는 최종 ‘혈액 응고’ 무기를 발동했습니다!
5003021,[5003021] 강력한 슈라이크의 집어삼키는 힘으로 멘도의 일반 무기가 효력을 잃었습니다. 완전체 슈라이크의 허망의 심장 공격 전용 최종 무기 ‘응고된 피의 단검’을 사용합니다.
5003031,[5003031] 강력한 슈라이크의 집어삼키는 힘으로 리겔의 일반 무기가 효력을 잃었습니다. 완전체 슈라이크의 허망의 심장 공격 전용 최종 무기 ‘응고된 피의 단검’을 사용합니다.
1008011,[1008011] 모의 훈련: 섬멸이 새롭게 개방되었습니다.
4021011,[4021011] 모의 훈련: 포위 공격이 새롭게 개방되었습니다.
4017011,[4017011] 모의 훈련: 사냥이 새롭게 개방되었습니다.
4029011,[4029011] 모의 훈련: 수비가 새롭게 개방되었습니다.
3010011,[3010011] 모의 훈련: 공격이 새롭게 개방되었습니다.
2006011,[2006011] 모의 훈련: 암습이 새롭게 개방되었습니다.
4025011,[4025011] 모의 훈련: 깊이 잠입이 새롭게 개방되었습니다.
4005011,[4005011] 모의 훈련: 스텔스가 새롭게 개방되었습니다.
4027011,[4027011] 모의 훈련: 포위망 돌파가 새롭게 개방되었습니다.
3015011,[3015011] 모의 훈련: 돌파가 새롭게 개방되었습니다.
2010011,[2010011] 모의 훈련: 방어가 새롭게 개방되었습니다.
3009011,"[3009011] 아이템 제작: 간이 로켓포, 행군식 및 보급 음료가 새롭게 개방되었습니다."
2003011,"[2003011] 아이템 제작: 충격탄, 홀로그램 그래블이 새롭게 개방되었습니다."
3000011,"[3000011] 아이템 제작: 압축 비스킷, 군용 봉지 음료가 새롭게 개방되었습니다."
24032021,[24032021] 아이템 제작: 디지털 전술화가 새롭게 개방되었습니다.
4000011,[4000011] 아이템 제작: 거리측정기가 새롭게 개방되었습니다.
1004011,[1004011] 아이템 제작: 연막탄이 새롭게 개방되었습니다.
4034011,[4034011] 아이템 제작: 공습미사일이 새롭게 개방되었습니다.
24032011,"[24032011] 아이템 제작: 가열 전술화, 특급 군용 측위 거울이 새롭게 개방되었습니다."
3010021,"[3010021] 아이템 제작: 혈탄, EMP 수류탄, 저주파 음파 측정기가 새롭게 개방되었습니다."
4000021,[4000021] 아이템 합성: EMP부비트랩이 새롭게 개방되었습니다.
3016011,[3016011] 아이템 합성: 중형RCWS이 새롭게 개방되었습니다.
2005011,[2005011] 아이템 합성: 위장 입간판이 새롭게 개방되었습니다.
2007011,[2007011] 아이템 합성: 최루탄이 새롭게 개방되었습니다.
1004031,[1004031] 아이템 합성: 마취침이 새롭게 개방되었습니다.
4017021,[4017021] 아이템 합성: 홀로그램 프로젝션이 새롭게 개방되었습니다.
4024011,[4024011] 아이템 합성: 홀로그램 프로젝션이 새롭게 개방되었습니다.
2007031,[2007031] 아이템 합성: 제식 RCWS가 새롭게 개방되었습니다.
2003021,[2003021] 아이템 합성: 구급 상자가 새롭게 개방되었습니다.
1004021,[1004021] 아이템 합성: 소형 탐지 장치가 새롭게 개방되었습니다.
3017011,[3017011] 아이템 합성: 광역 치료볼이 새롭게 개방되었습니다.
1006011,[1006011] 아이템 합성: 진통제가 새롭게 개방되었습니다.
3017031,[3017031] 아이템 합성: 에너지 소멸 폭탄이 새롭게 개방되었습니다.
2006021,[2006021] 아이템 합성: 연소탄이 새롭게 개방되었습니다.
4012011,[4012011] 아이템 합성: 전기 충격 RCWS가 새롭게 개방되었습니다.
4025021,[4025021] 아이템 합성: 전기 충격 RCWS가 새롭게 개방되었습니다.
3010041,[3010041] 아이템 합성: 전류 네트워크 장애가 새롭게 개방되었습니다.
3016021,[3016021] 아이템 합성: 용해 폭탄이 새롭게 개방되었습니다.
3018011,[3018011] 아이템 합성: 혈액 수류탄이 새롭게 개방되었습니다.
3011011,[3011011] 아이템 합성: 추적 부비트랩이 새롭게 개방되었습니다.
2007021,[2007021] 아이템 합성: 원격 제어 폭탄이 새롭게 개방되었습니다.
4018011,[4018011] 아이템 합성: 헤비형RCWS가 새롭게 개방되었습니다.
4027021,[4027021] 아이템 합성: 헤비형RCWS가 새롭게 개방되었습니다.
2003031,[2003031] 아이템 합성: 철조망 바리케이드가 새롭게 개방되었습니다.
1008021,"[1008021] 아이템 합성: 스턴수류탄, 섬광수류탄이 새롭게 개방되었습니다."
2008021,[2008021] 아이템 합성: 고급 정찰 장비가 새롭게 개방되었습니다.
4005021,[4005021] 아이템 합성: 고에너지 네트워크 장애가 새롭게 개방되었습니다.
4009011,[4009011] 아이템 합성: 고에너지 네트워크 장애가 새롭게 개방되었습니다.
3010031,[3010031] 아이템 합성: 고주파 음파탄이 새롭게 개방되었습니다.
4019011,[4019011] 제본의 새로운 무기: 유성을 획득했습니다.
3015021,[3015021] 제퓨티의 새로운 무기: 흰바다제비를 획득했습니다.
50001011,"[50001011] 잠시 후 <color=#ff8d48>핵심 에피소드</color>가 재생됩니다. 재생 시간이 길기 때문에 원하는 음식을 준비하고 '자동 재생' 기능을 사용해 감상하시는 것을 추천드립니다. 시간이 부족할 경우 챕터마다 스토리를 건너뛸 수 있으며, 모든 에피소드는 '컬렉션 - 작전 기록'에서 다시 확인할 수 있습니다."
3011021,[3011021] 시스템에 침입하여 해당 경계 초소의 권한을 얻었습니다!
4012021,[4012021] 시스템에 침입하여 해당 경계 초소의 권한을 얻었습니다!
2004011,"[2004011] 멘도, 발멧, 루비가 아군 유닛이 되었습니다."
4030011,[4030011] 멘도의 새로운 무기: 거대 살모사를 획득했습니다.
1008031,[1008031] 멘도의 새로운 무기: 버팔로를 획득했습니다.
3017021,[3017021] 아테나의 새로운 무기: 오릭스를 획득했습니다.
