key_name,ko_kr
1d2,"[1d2] 최우선으로 마우스 커서가 지나간 경로를 이번 이동의 경로로 지정합니다. AP가 부족할 시, 시스템이 자동으로 AP 소모가 가장 적은 경로를 지정합니다."
32d1,[32d1] 목표 위치에 클릭해 이동합니다.
32d2,[32d2] 목표 위치에 더블클릭 해 이동합니다.
32v1,[32v1] 클릭
32v2,[32v2] 더블클릭
300,[300] 공격 가능 대상 표시
19v1,[19v1] 상태 이상 포함
19v2,[19v2] 상태 이상 배제
5d1,[5d1] 턴 종료 시 알림을 표시하지 않습니다.
5d2,[5d2] 턴 종료 시 아군 캐릭터에 사용할 수 있는 AP가 남아있다면 알림을 표시합니다.
5d3,[5d3] 턴 종료 시 아군 캐릭터 중 AP가 가득찬 캐릭터가 있으면 알림을 표시합니다.
6d1,[6d1] 아군 유닛의 남은 AP가 행동하기 부족한 경우에도 유닛을 전환하지 않습니다.
6d2,"[6d2] 아군 유닛의 남은 AP가 행동하기 부족한 경우, 행동이 가능한 다음 유닛으로 자동 전환합니다."
7d1,[7d1] 모든 아군 유닛의 남은 AP가 행동하기 부족한 경우에도 자동으로 턴이 종료되지 않습니다.
7d2,"[7d2] 모든 아군 유닛의 남은 AP가 행동하기 부족한 경우, 자동으로 턴이 종료됩니다."
20d1,[20d1] 게임 컨트롤러 또는 키보드 단축키를 사용하여 카메라 이동 속도를 조절합니다.
20d2,[20d2] 게임 컨트롤러 또는 키보드 단축키를 사용하여 카메라 이동 속도를 조절합니다.
20d3,[20d3] 게임 컨트롤러 또는 키보드 단축키를 사용하여 카메라 이동 속도를 조절합니다.
20d4,[20d4] 게임 컨트롤러 또는 키보드 단축키를 사용하여 카메라 이동 속도를 조절합니다.
20d5,[20d5] 게임 컨트롤러 또는 키보드 단축키를 사용하여 카메라 이동 속도를 조절합니다.
220,[220] 게임 컨트롤러 카메라 모드
22d1,[22d1] 게임 컨트롤러 조작으로 커서가 화면 가장자리로 이동할 때만 카메라가 커서를 따라 이동합니다.
22d2,[22d2] 게임 컨트롤러 조작으로 커서가 움직이는 동안 카메라가 계속 커서를 따라 이동합니다.
22v1,[22v1] 커서를 따라가지 않습니다.
22v2,[22v2] 커서를 따라갑니다.
26v2,[26v2] 읽은 대화
27d1,[27d1] 안개 색상을 원래 상태로 유지합니다.
27d2,[27d2] 안개 색상을 짙게 합니다.
28d1,[28d1] 색맹 모드를 끕니다.
28d2,[28d2] 색맹 모드를 켭니다.
290,[290] 튜토리얼
29d1,[29d1] 모든 튜토리얼을 비활성화합니다.
29d2,"[29d2] 모든 튜토리얼을 활성화합니다. 클리어한 전투에서는 튜토리얼이 나오지 않습니다. 전투 중 해당 옵션을 켜도 튜토리얼이 즉시 활성화되는 것은 아니며, 전투를 재시작해야 활성화됩니다."
150,[150] 배경음
160,[160] 효과음
170,[170] 보이스
24d1,[24d1] 환경음 서라운드를 끕니다. 사용 시 하드웨어의 돌비 사운드 기능을 켜주세요.
24d2,[24d2] 환경음 서라운드를 켭니다. 사용 시 하드웨어의 돌비 사운드 기능을 켜주세요.
25d1,[25d1] 환경음 돌비 애트모스를 끕니다. 사용 시 하드웨어의 돌비 사운드 기능을 켜주세요.
25d2,[25d2] 환경음 돌비 애트모스를 켭니다. 사용 시 하드웨어의 돌비 사운드 기능을 켜주세요.
18v2,[18v2] 보통
