key_name,ko_kr
12,"[12] 코드네임 ""윌리엄"". 이름은 불명, 나이도 불명이다. 생물학자이자 유적학자이고 루련 과학기술부의 학자이다. 동시에 그는 루련 유적부의 중요 책임자
이자 ""삼여신 계획""의 기술책임자 중 하나이다.
　　성격은 냉철하고 오만하며 치밀하다. 학술적인 교류 외에는 타인과의 사적인 관계를 가지지 않으며, 가깝게 지내는 동료도 없다. 생물, 유전, 유전학 외에 인공지능, 클론, 의학 등 영역에서도 매우 높은 학술적 수준을 가지고 있다."
13,"[13] 코드네임 ""윌리엄"". 이름은 불명, 나이도 불명이다. 생물학자이자 유적학자이고 <keyword=7>루련</keyword> 과학기술부의 학자이다. 동시에 그는 루련 <keyword=9>유적부</keyword>의 중요 책임자
이자 ""삼여신 계획""의 기술책임자 중 하나이다.
　　성격은 냉철하고 오만하며 치밀하다. 학술적인 교류 외에는 타인과의 사적인 관계를 가지지 않으며, 가깝게 지내는 동료도 없다. 생물, 유전, 유전학 외에 인공지능, 클론, 의학 등 영역에서도 매우 높은 학술적 수준을 가지고 있다."
612,"[612] 코드네임 ""윌리엄"". 이름은 불명, 나이도 불명이다. 생물학자이자 유적학자이고 루련 과학기술부의 학자이다. 동시에 그는 루련 유적부의 중요 책임자
이자 ""삼여신 계획""의 기술책임자 중 하나이다.
　　성격은 냉철하고 오만하며 치밀하다. 학술적인 교류 외에는 타인과의 사적인 관계를 가지지 않으며, 가깝게 지내는 동료도 없다. 생물, 유전, 유전학 외에 인공지능, 클론, 의학 등 영역에서도 매우 높은 학술적 수준을 가지고 있다.
　　2078년, 남극 연방에서 온 필리프 교수와 협력하며 '""삼여신 계획""'을 함께 추진했으며, 주로 샘플용 육체의 재구성에 기술적 지원을 했다. 
　　2084년, 필리프 교수와의 연구적 이념에서 갈등을 보였고 이에 따라 '""삼여신 계획""' 연구는 중지되었다. 
　　2088년, '바르샤바 사건'에서 사망한 것으로 추정된다. 
　　2091년, 카프카스 지역에서 나타났으며, 루련군사 장비 개발을 주도했다."
613,"[613] 코드네임 ""윌리엄"". 이름은 불명, 나이도 불명이다. 생물학자이자 유적학자이고 <keyword=7>루련</keyword> 과학기술부의 학자이다. 동시에 그는 루련 <keyword=9>유적부</keyword>의 중요 책임자
이자 ""삼여신 계획""의 기술책임자 중 하나이다.
　　성격은 냉철하고 오만하며 치밀하다. 학술적인 교류 외에는 타인과의 사적인 관계를 가지지 않으며, 가깝게 지내는 동료도 없다. 생물, 유전, 유전학 외에 인공지능, 클론, 의학 등 영역에서도 매우 높은 학술적 수준을 가지고 있다.
　　2078년, <keyword=8>남극 연방</keyword>에서 온 <keyword=62>필리프 교수</keyword>와 협력하며 <keyword=33>'""삼여신 계획""'</keyword>을 함께 추진했으며, 주로 샘플용 육체의 재구성에 기술적 지원을 했다. 
　　2084년, 필리프 교수와의 연구적 이념에서 갈등을 보였고 이에 따라 '""삼여신 계획""' 연구는 중지되었다. 
　　2088년, <keyword=43>'바르샤바 사건'</keyword>에서 사망한 것으로 추정된다. 
　　2091년, 카프카스 지역에서 나타났으며, 루련군사 장비 개발을 주도했다."
22,"[22] 캄프페 캠벨 대령. TASA 공수부대의 사령관이며 남극 연방 특수 작전 사령부 소속이다. 
　　칼 마인드필 대위, 필리프 마틴 교수와의 사이가 꽤나 친밀해 필리프 부부가 실종된 후 그들의 아들 멘도를 입양했다．"
23,"[23] 캄프페 캠벨 대령. <keyword=21>TASA</keyword> 공수부대의 사령관이며 <keyword=8>남극 연방</keyword> 특수 작전 사령부 소속이다. 
　　칼 마인드필 대위, <keyword=5>필리프 마틴 교수</keyword>와의 사이가 꽤나 친밀해 필리프 부부가 실종된 후 그들의 아들 멘도를 입양했다．"
652,"[652] 캄프페 캠벨 대령. TASA 공수부대의 사령관이며 남극 연방 특수 작전 사령부 소속이다. 
　　칼 마인드필 대위, 필리프 마틴 교수와의 사이가 꽤나 친밀해 필리프 부부가 실종된 후 그들의 아들 멘도를 입양했다． 
　　‘""삼여신 계획""’과 긴밀한 연관이 있으며 그가 지휘하는 TASA부대가 실험실과 관련 있는 대상을 보호하거나 마중한 적이 여러 차례 있다. 
　　남극 최고지도부는 한때 '삼여신' 계획과 관련된 정보를 은폐했다는 의혹을 받았으나 조사 결과 아무것도 발견되지 않았다."
653,"[653] 캄프페 캠벨 대령. <keyword=21>TASA</keyword> 공수부대의 사령관이며 <keyword=8>남극 연방</keyword> 특수 작전 사령부 소속이다. 
　　칼 마인드필 대위, <keyword=5>필리프 마틴 교수</keyword>와의 사이가 꽤나 친밀해 필리프 부부가 실종된 후 그들의 아들 멘도를 입양했다． 
　　<keyword=33>‘삼여신 계획’</keyword>과 긴밀한 연관이 있으며 그가 지휘하는 TASA부대가 실험실과 관련 있는 대상을 보호하거나 마중한 적이 여러 차례 있다. 
　　남극 최고지도부는 한때 '삼여신' 계획과 관련된 정보를 은폐했다는 의혹을 받았으나 조사 결과 아무것도 발견되지 않았다."
30,[30] 바실리
32,[32] 바실리 미트로비치 중장은 루련의 고위 군관이며 동유럽 전역 중앙방위국 소속이다.
33,[33] 바실리 미트로비치 중장은 <keyword=7>루련</keyword>의 고위 군관이며 동유럽 전역 <keyword=10>중앙방위국</keyword> 소속이다.
42,"[42] 2052년에 태어난 앤더슨 킹 중위는 남련의 군관이며 MID의 제7국 소속인 선임 현장 에이전트이다. 
　　칼 마인드필 대위의 후배로, 칼의 영향을 받아  MID에 합류해 함께 정보 임무를 수행한다."
43,"[43] 2052년에 태어난 앤더슨 킹 중위는 <keyword=8>남련</keyword>의 군관이며 <keyword=22>MID</keyword>의 제7국 소속인 선임 현장 에이전트이다. 
　　칼 마인드필 대위의 후배로, 칼의 영향을 받아  MID에 합류해 함께 정보 임무를 수행한다."
82,"[82] 전체 명칭은 남극 연방（Antarctic Union）, 줄여서 남련（A·U）으로 불린다. 
　　원래 남극 유적 과거 시험을 위해 세워진 이 도시는 예나스 박사와 리더밍 박사가 공동 주관해 남극 빙하 아래에서 발견된 거대한 공동 속의 유적 문명을 탐사하는 것을 목적으로 했다. 
　　2045년, 제3차 세계대전 발발. 남극은 자기 방어 차원에서 즉각 공동도시의 국가 독립을 선언하고 중립을 지켰다. 또한 공동도시 진입 방식을 모두 폐쇄하고 20년간의 침묵기에 진입했다."
83,"[83] 전체 명칭은 남극 연방（Antarctic Union）, 줄여서 남련（A·U）으로 불린다. 
　　원래 <keyword=55>남극 유적</keyword> 과거 시험을 위해 세워진 이 도시는 예나스 박사와 리더밍 박사가 공동 주관해 남극 빙하 아래에서 발견된 거대한 공동 속의 유적 문명을 탐사하는 것을 목적으로 했다. 
　　2045년, 제3차 세계대전 발발. 남극은 자기 방어 차원에서 즉각 공동도시의 국가 독립을 선언하고 중립을 지켰다. 또한 공동도시 진입 방식을 모두 폐쇄하고 20년간의 침묵기에 진입했다."
92,"[92] 전체 명칭은 국제 연합 유적 과학부이며（United Nations Relic Agency）, 약칭은（UNRA）이다. 
　　이는 유적 무기 사용으로 세계 전쟁을 일으키는 것을 방지하기 위해 만들어진 국제 연합 산하 기구이다. 서명국은 모든 국가 국민의 안전을 공동으로 보장하고, 여러 국가 국민 간의 협력과 교류 수단을 개발 및 강화하며, 유적 무기의 개발 및 제조 중단을 공동으로 추진하고, 기존의 모든 유물 무기 재고를 정리하며, 모든 유물 기술의 격리와 평화적 사용을 통제하도록 했다. 
　　1992년 2월 3일, 뉴욕에서 <국제 연합 유적 과학부선언>이 통과되면서 국제 연합 유적 과학부가 설립되었다."
93,"[93] 전체 명칭은 국제 연합 유적 과학부이며（United Nations Relic Agency）, 약칭은（UNRA）이다. 
　　이는 <keyword=55>유적</keyword> 무기 사용으로 세계 전쟁을 일으키는 것을 방지하기 위해 만들어진 국제 연합 산하 기구이다. 서명국은 모든 국가 국민의 안전을 공동으로 보장하고, 여러 국가 국민 간의 협력과 교류 수단을 개발 및 강화하며, 유적 무기의 개발 및 제조 중단을 공동으로 추진하고, 기존의 모든 유물 무기 재고를 정리하며, 모든 유물 기술의 격리와 평화적 사용을 통제하도록 했다. 
　　1992년 2월 3일, 뉴욕에서 <국제 연합 유적 과학부선언>이 통과되면서 국제 연합 유적 과학부가 설립되었다."
120,[120] 국제구호기구
122,"[122] 오염 지역과 중오염 지역의 난민들이 정화 구역으로 이동할 수 있도록 돕기 위해, 인도주의적 목적으로 군사 기술과 훈련을 갖춘 자원봉사자들이 자발적으로 설립한 전 세계 규모의 비영리 조직이다.
　　주로 난민들을 그린존으로 호송하여 정착을 지원하며, 방사능 오염 문제로 인해 구조 조직의 소대는 대부분 인간형으로 구성되어 있다.
　　2075년, 국제구호기구가 설립되었다. 난민 구조 활동이 루련의 인구를 보충하고 정화 구역 내 인구 유입을 유지할 수 있도록 돕기 때문에, 루련 정부는 해당 조직의 존재를 묵인하였으며 일정 범위 내에서 지원을 제공했다.
　　2090년, 그 규모가 유라시아 대륙과 대서양을 아우를 정도로 확장되었으며, 9,000명의 직원과 28,000명의 등록 회원을 보유하고 있다."
123,"[123] <keyword=16>오염 지역</keyword>과 중오염 지역의 난민들이 정화 구역으로 이동할 수 있도록 돕기 위해, 인도주의적 목적으로 군사 기술과 훈련을 갖춘 자원봉사자들이 자발적으로 설립한 전 세계 규모의 비영리 조직이다.
　　주로 난민들을 그린존으로 호송하여 정착을 지원하며, 방사능 오염 문제로 인해 구조 조직의 소대는 대부분 인간형으로 구성되어 있다.
　　2075년, 국제구호기구가 설립되었다. 난민 구조 활동이 루련의 인구를 보충하고 정화 구역 내 인구 유입을 유지할 수 있도록 돕기 때문에, 루련 정부는 해당 조직의 존재를 묵인하였으며 일정 범위 내에서 지원을 제공했다.
　　2090년, 그 규모가 유라시아 대륙과 대서양을 아우를 정도로 확장되었으며, 9,000명의 직원과 28,000명의 등록 회원을 보유하고 있다."
140,[140] 내카프카스 지방
162,"[162] ‘유럽 붕괴 복사 오염 회복과 연합 개척 협의'에서 정화 및 복구가 필요하지만 정화 프로젝트가 완료되지 않은 지역을 말한다. 
　　루련은 오염 구역을 ‘화이트존’, ‘그린존’, ‘옐로존’, ‘레드존’, ‘블랙존' 다섯 가지로 나뉘며 방사능 오염 등급이 계속 상승하고 있다."
163,"[163] ‘유럽 붕괴 복사 오염 회복과 연합 개척 협의'에서 정화 및 복구가 필요하지만 정화 프로젝트가 완료되지 않은 지역을 말한다. 
　　<keyword=7>루련</keyword>은 오염 구역을 ‘화이트존’, ‘그린존’, ‘옐로존’, ‘레드존’, ‘블랙존' 다섯 가지로 나뉘며 방사능 오염 등급이 계속 상승하고 있다."
180,[180] 웨어울프 돌격대
182,"[182] 루련 특수부대 소속으로 루련 육군 중 가장 정예한 힘을 가지고 있다. 
　　2088년, 특수대응부대는 줄기세포 57호（통칭 ‘슈라이크’）의 우발적인 노출로 인한 심각한 사고에 대응하는 데 뛰어난 성과를 거두어 루련 연합으로부터 높이 평가되었다. 
　　가혹한 선발 방법과 루련군 최고의 장비를 통해 모든 대원은 주변 환경에 따라 적극적으로 위장하여 거의 보이지 않는 효과를 얻을 수 있는 '열 광학 위장'을 장비했다. 그 때문에 '웨어울프' 돌격대는 대개 '기이한 기습' 특징으로 가장 잘 알려져 있다."
183,"[183] <keyword=7>루련</keyword> 특수부대 소속으로 루련 육군 중 가장 정예한 힘을 가지고 있다. 
　　2088년, 특수대응부대는 <keyword=56>줄기세포 57호（통칭 ‘슈라이크’）</keyword>의 우발적인 노출로 인한 심각한 사고에 대응하는 데 뛰어난 성과를 거두어 루련 연합으로부터 높이 평가되었다. 
　　가혹한 선발 방법과 루련군 최고의 장비를 통해 모든 대원은 주변 환경에 따라 적극적으로 위장하여 거의 보이지 않는 효과를 얻을 수 있는 '열 광학 위장'을 장비했다. 그 때문에 '웨어울프' 돌격대는 대개 '기이한 기습' 특징으로 가장 잘 알려져 있다."
200,[200] RAZOR 소대
202,"[202] TASA 소속이며 ‘베이커리’ 작전으로 만들어진 화력대응 소대이기 때문에 제본 스트린 대위가 이끈다. 
　　RAZOR 소대는 FOX 소대의 철수 노선을 책임지고 사전에 은신처를 건설해야 한다. 또한 상황별로 철수 지점을 설정하고 필요시 화력지원을 제공한다."
203,"[203] <keyword=21>TASA</keyword>소속이며 <keyword=31>‘베이커리’ 작전</keyword>으로 만들어진 화력대응 소대이기 때문에 제본 스트린 대위가 이끈다. 
RAZOR 소대는 <keyword=19>FOX 소대</keyword>의 철수 노선을 책임지고 사전에 은신처를 건설해야 한다. 또한 상황별로 철수 지점을 설정하고 필요시 화력지원을 제공한다."
212,"[212] 남극 내방군 중 정예부대는 공군에서 가장 전투력이 높은 지상작전 단위 중 하나로 남극공군 제1특수작전군에 소속돼 있다. 
　　전체 명칭은 전술 공수돌격부대（Tactical Air Shock Army）, 약칭은 타사（TASA）다. 
　　놀라운 작전 방식과 혹독한 선발 훈련, 그리고 높은 전사율로 유명하다."
213,"[213] <keyword=8>남극</keyword> 내방군 중 정예부대는 공군에서 가장 전투력이 높은 지상작전 단위 중 하나로 남극공군 제1특수작전군에 소속돼 있다. 
　　전체 명칭은 전술 공수돌격부대（Tactical Air Shock Army）, 약칭은 타사（TASA）다. 
　　놀라운 작전 방식과 혹독한 선발 훈련, 그리고 높은 전사율로 유명하다."
222,"[222] 남극의 최고 정보기관이며, 남극 연방의 모든 대내외 정보 임무를 책임진다. 
　　전체 명칭은 남극 연방 군대 정보관리총국（Antarctic Union Army Main Intelligence Directorate）이며, 약칭은 （M.I.D）이다. 군소속이며 남극 공군의 특수 작전의 조정과 지휘권을 가지고 있다. 
　　2092년 MID는 루련이 실험체 ‘G-179’인 제퓨티를 발견했다는 관련 정보를 얻어 8명의 에이전트은 다른 명목으로 카프카스 지역으로 보내 실험체와 접촉하도록 했다. 그 목적은 실험체를 남극으로 데려가는 것이었다. 작전 코드명은 ‘베이커리’였다."
223,"[223] <keyword=8>남극</keyword>의 최고 정보기관이며, 남극 연방의 모든 대내외 정보 임무를 책임진다. 
　　전체 명칭은 남극 연방 군대 정보관리총국（Antarctic Union Army Main Intelligence Directorate）이며, 약칭은 （M.I.D）이다. 군소속이며 남극 공군의 특수 작전의 조정과 지휘권을 가지고 있다. 
　　2092년 MID는 <keyword=7>루련</keyword>이 실험체 ‘G-179’인 제퓨티를 발견했다는 관련 정보를 얻어 8명의 에이전트은 다른 명목으로 카프카스 지역으로 보내 실험체와 접촉하도록 했다. 그 목적은 실험체를 남극으로 데려가는 것이었다. 작전 코드명은 <keyword=31>‘베이커리’</keyword>였다."
242,"[242] 전술인형의 인간 공격 권한에 대한 규정.  
　　전술인형이 인간에게 예기치 않은 피해를 주는 것을 방지하기 위해, 모든 인형의 기본 논리 구조에는 ""인간을 공격해서는 안 된다"" 는 기본 규칙이 설정되어 있으며, 인간 공격 권한이 비활성화되어 있다.  
　　그러나 전투 중에는 전술인형을 지휘할 권한을 가진 인간이 해당 권한을 활성화할 수 있으며, 이를 통해 인형이 전투에서 인간에게 치명적인 공격을 가할 수 있다. 하지만 이 권한을 활성화하려면 일반적으로 엄격한 심사 및 승인 절차를 거쳐야 하며, 지속적인 감시를 받게 된다."
243,"[243] <keyword=37>전술인형</keyword>의 인간 공격 권한에 대한 규정.  
　　전술인형이 인간에게 예기치 않은 피해를 주는 것을 방지하기 위해, 모든 인형의 기본 논리 구조에는 ""인간을 공격해서는 안 된다"" 는 기본 규칙이 설정되어 있으며, 인간 공격 권한이 비활성화되어 있다.  
　　그러나 전투 중에는 전술인형을 지휘할 권한을 가진 인간이 해당 권한을 활성화할 수 있으며, 이를 통해 인형이 전투에서 인간에게 치명적인 공격을 가할 수 있다. 하지만 이 권한을 활성화하려면 일반적으로 엄격한 심사 및 승인 절차를 거쳐야 하며, 지속적인 감시를 받게 된다."
250,[250] 뉴럴
252,"[252] 일명 ""뉴럴 클라우드"", 자율 인형의 뉴럴 데이터를 백업하는 기술을 의미한다.  
　　2057년, 16Lab 연구소가 설립되었으며, I.O.P.가 자금을 제공하였고, 명목상 42Lab 소속으로 운영되었다.  
　　같은 해, 42Lab은 ""마인드 클라우드"" 프로젝트를 공식적으로 시작하였으며, 목표는 자율 인형의 마인드 데이터를 클라우드에 백업하여, 인형의 소체가 손상되더라도 뉴럴 데이터가 보존될 수 있도록 하는 것이었다. 이를 통해, 인형이 새롭게 제조될 때 백업된 뉴럴을 계승하여 손실 비용을 줄일 수 있도록 했다.  
　　2060년 말, ""뉴럴 클라우드"" 기술 개발이 성공적으로 완료되었다."
253,"[253] 일명 ""뉴럴 클라우드"", <keyword=37>자율 인형</keyword>의 뉴럴 데이터를 백업하는 기술을 의미한다.  
　　2057년, 16Lab 연구소가 설립되었으며, I.O.P.가 자금을 제공하였고, 명목상 42Lab 소속으로 운영되었다.  
　　같은 해, 42Lab은 ""마인드 클라우드"" 프로젝트를 공식적으로 시작하였으며, 목표는 자율 인형의 마인드 데이터를 클라우드에 백업하여, 인형의 소체가 손상되더라도 뉴럴 데이터가 보존될 수 있도록 하는 것이었다. 이를 통해, 인형이 새롭게 제조될 때 백업된 뉴럴을 계승하여 손실 비용을 줄일 수 있도록 했다.  
　　2060년 말, ""뉴럴 클라우드"" 기술 개발이 성공적으로 완료되었다."
260,[260] 규소화
