key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
10,请点击<quad name=pc/pc_left_button width=1.4 height=1/>选中需要操作的角色。,請點擊<quad name=pc/pc_left_button width=1.4 height=1/>選中需要操作的角色。,Click <quad name=pc/pc_left_button width=1.4 height=1/> to select the unit you wish to control.,<quad name=pc/pc_left_button width=1.4 height=1/>をクリックして、操作したいユニットを選択してください。,<quad name=pc/pc_left_button width=1.4 height=1/>을(를) 클릭해 조작할 캐릭터를 선택하세요.
11,请点击<quad name=pc/pc_left_button width=1.4 height=1/>选中<color=#ff8d48>指定</color>地点开始移动。,請點擊<quad name=pc/pc_left_button width=1.4 height=1/>選中<color=#ff8d48>指定</color>地點開始移動。,Click <quad name=pc/pc_left_button width=1.4 height=1/> to select the <color=#ff8d48>specified</color> position to move.,<quad name=pc/pc_left_button width=1.4 height=1/>をクリックし、<color=#ff8d48>指定された</color>地点を選択して移動を開始してください。,<quad name=pc/pc_left_button width=1.4 height=1/>로 <color=#ff8d48>지정</color>지점을 선택하여 이동을 시작하세요.
1j0,请按<quad name=joystick/action1_tutorial width=1.8 height=1/>选中需要操作的角色。,請按<quad name=joystick/action1_tutorial width=1.8 height=1/>選中需要操作的角色。,Press <quad name=joystick/action1_tutorial width=1.8 height=1/> to select the unit you wish to control.,<quad name=joystick/action1_tutorial width=1.8 height=1/>を押して、操作したいユニットを選択してください。,<quad name=joystick/action1_tutorial width=1.8 height=1/>을(를) 눌러 컨트롤할 캐릭터를 선택하세요.
1j1,请按<quad name=joystick/action1_tutorial width=1.8 height=1/>选中<color=#ff8d48>指定</color>地点开始移动。,請按<quad name=joystick/action1_tutorial width=1.8 height=1/>選中<color=#ff8d48>指定</color>地點開始移動。,Press <quad name=joystick/action1_tutorial width=1.8 height=1/> to select the <color=#ff8d48>specified</color> position to move.,<quad name=joystick/action1_tutorial width=1.8 height=1/>を押して、<color=#ff8d48>指定された</color>地点を選択して移動を開始してください。,<quad name=joystick/action1_tutorial width=1.8 height=1/>로 <color=#ff8d48>지정</color> 지점을 선택하여 이동을 시작하세요.
20,若没有需要执行的行动，\n即可长按<quad name=pc/pc_t width=1.8 height=1/>结束回合。,若沒有需要執行的行動，即可長按<quad name=pc/pc_t width=1.8 height=1/>結束回合。,"If there is no action to be performed, long press <quad name=pc/pc_t width=1.8 height=1/> to end the turn.",取りたい行動がない場合は、<quad name=pc/pc_t width=1.8 height=1/>を長押しすることでターンをすぐに終了できます。,실행해야 할 행동이 없다면 <quad name=pc/pc_t width=1.8 height=1/>을(를) 길게 눌러 턴을 종료할 수 있습니다.
2j0,若没有需要执行的行动，即可长按<quad name=joystick/custom_lefttrigger_righttrigger_tutorial width=4.7 height=1/>结束回合。,若沒有需要執行的行動，即可長按<quad name=joystick/custom_lefttrigger_righttrigger_tutorial width=4.7 height=1/>結束回合。,"If there is no action to be performed, long press <quad name=joystick/custom_lefttrigger_righttrigger_tutorial width=4.7 height=1/> to end the turn.",取りたい行動がない場合は、<quad name=joystick/custom_lefttrigger_righttrigger_tutorial width=4.7 height=1/>を長押しすることでターンをすぐに終了できます。,실행해야 할 행동이 없다면  <quad name=joystick/custom_lefttrigger_righttrigger_tutorial width=4.7 height=1/>을(를) 길게 눌러 턴을 종료할 수 있습니다.
30,请点击<quad name=pc/pc_left_button width=1.4 height=1/>选中需要操作的角色。,請點擊<quad name=pc/pc_left_button width=1.4 height=1/>選中需要操作的角色。,Click <quad name=pc/pc_left_button width=1.4 height=1/> to select the unit you wish to control.,<quad name=pc/pc_left_button width=1.4 height=1/>をクリックして、操作したいユニットを選択してください。,<quad name=pc/pc_left_button width=1.4 height=1/>을(를) 클릭해 조작할 캐릭터를 선택하세요.
31,请按<quad name=pc/pc_q width=1.8 height=1/>或对目标点击<quad name=pc/pc_left_button width=1.4 height=1/>进入攻击模式。,請按<quad name=pc/pc_q width=1.8 height=1/>或對目標點擊<quad name=pc/pc_left_button width=1.4 height=1/>進入攻擊模式。,Press <quad name=pc/pc_q width=1.8 height=1/> or tap <quad name=pc/pc_left_button width=1.4 height=1/> on the target to enter attack mode.,<quad name=pc/pc_q width=1.8 height=1/>を押すかターゲットに<quad name=pc/pc_left_button width=1.4 height=1/>をクリックして、攻撃モードに入ってください。,"<quad name=pc/pc_q width=1.8 height=1/>를 클릭하거나 표적에 <quad name=pc/pc_left_button width=1.4 height=1/>를 클릭하여 공격 모드로 진입하세요.
"
3j0,请按<quad name=joystick/action1_tutorial width=1.8 height=1/>选中需要操作的角色。,請按<quad name=joystick/action1_tutorial width=1.8 height=1/>選中需要操作的角色。,Press <quad name=joystick/action1_tutorial width=1.8 height=1/> to select the unit you wish to control.,<quad name=joystick/action1_tutorial width=1.8 height=1/>を押して、操作したいユニットを選択してください。,<quad name=joystick/action1_tutorial width=1.8 height=1/>을(를) 눌러 컨트롤하실 캐릭터를 선택하세요.
3j1,请按<quad name=joystick/righttrigger_tutorial width=2.2 height=1/>或对目标按<quad name=joystick/action1_tutorial width=1.8 height=1/>进入攻击模式。,請按<quad name=joystick/righttrigger_tutorial width=2.2 height=1/>或對目標按<quad name=joystick/action1_tutorial width=1.8 height=1/>進入攻擊模式。,Press <quad name=joystick/righttrigger_tutorial width=2.2 height=1/> or press <quad name=joystick/action1_tutorial width=1.8 height=1/> on the target to enter attack mode.,<quad name=joystick/righttrigger_tutorial width=2.2 height=1/>を押すかターゲットに<quad name=joystick/action1_tutorial width=1.8 height=1/>を押して、攻撃モードに入ってください。,<quad name=joystick/righttrigger_tutorial width=2.2 height=1/>을(를) 누르거나 표적에 <quad name=joystick/action1_tutorial width=1.8 height=1/>를 눌러 공격 모드로 진입하세요.
50,请点击<quad name=pc/pc_left_button width=1.4 height=1/>选中<color=#ff8d48>指定</color>角色。,請點擊<quad name=pc/pc_left_button width=1.4 height=1/>選中<color=#ff8d48>指定</color>角色。,Click <quad name=pc/pc_left_button width=1.4 height=1/> to select the <color=#ff8d48>specified</color> unit.,<quad name=pc/pc_left_button width=1.4 height=1/>をクリックして、<color=#ff8d48>指定された</color>ユニットを選択してください。,<quad name=pc/pc_left_button width=1.4 height=1/>을(를) 클릭해 <color=#ff8d48>지정</color>캐릭터를 선택하세요.
51,请点击<quad name=pc/pc_left_button width=1.4 height=1/>选中<color=#ff8d48>破片手雷</color>。,請點擊<quad name=pc/pc_left_button width=1.4 height=1/>選中<color=#ff8d48>破片手雷</color>。,Click <quad name=pc/pc_left_button width=1.4 height=1/> to select the <color=#ff8d48>Fragmentation Grenade</color>.,<quad name=pc/pc_left_button width=1.4 height=1/>をクリックして、<color=#ff8d48>破片手榴弾</color>を選択してください。,<quad name=pc/pc_left_button width=1.4 height=1/>을(를) 클릭해 <color=#ff8d48>세열수류탄</color>을 선택하세요.
52,请点击<quad name=pc/pc_left_button width=1.4 height=1/>选中<color=#ff8d48>指定</color>位置使用道具。,請使用<quad name=pc/pc_left_button width=1.4 height=1/>點擊<color=#ff8d48>指定</color>位置使用道具。,Click <quad name=pc/pc_left_button width=1.4 height=1/> to use the item at the <color=#ff8d48>specified</color> position.,<quad name=pc/pc_left_button width=1.4 height=1/>を使用して<color=#ff8d48>指定された</color>位置をクリックし、アイテムを使用してください,<quad name=pc/pc_left_button width=1.4 height=1/>을(를) 클릭해사용 아이템 위치를 <color=#ff8d48>지정</color>하세요.
5j0,请按<quad name=joystick/action1_tutorial width=1.8 height=1/>选中<color=#ff8d48>指定</color>角色。,請按<quad name=joystick/action1_tutorial width=1.8 height=1/>選中<color=#ff8d48>指定</color>角色。,Press <quad name=joystick/action1_tutorial width=1.8 height=1/> to select the <color=#ff8d48>specified</color> unit.,<quad name=joystick/action1_tutorial width=1.8 height=1/>を押して、<color=#ff8d48>指定された</color>ユニットを選択してください。,<quad name=joystick/action1_tutorial width=1.8 height=1/>을(를) 눌러 <color=#ff8d48>지정</color> 캐릭터를 선택하세요.
5j1,请按<quad name=joystick/action3_tutorial width=1.8 height=1/>进入道具菜单。,請按<quad name=joystick/action3_tutorial width=1.8 height=1/>進入道具菜單。,Press <quad name=joystick/action3_tutorial width=1.8 height=1/> to access the items menu.,<quad name=joystick/action3_tutorial width=1.8 height=1/>を押して、アイテムメニューを開いてください。,<quad name=joystick/action3_tutorial width=1.8 height=1/>을(를) 눌러 아이템 메뉴를 열어보세요.
5j2,请按<quad name=joystick/action1_tutorial width=1.8 height=1/>选中<color=#ff8d48>破片手雷</color>。,請按<quad name=joystick/action1_tutorial width=1.8 height=1/>選中<color=#ff8d48>破片手雷</color>。,Press <quad name=joystick/action1_tutorial width=1.8 height=1/> to select the <color=#ff8d48>Fragmentation Grenade</color>.,<quad name=joystick/action1_tutorial width=1.8 height=1/>を押して、<color=#ff8d48>破片手榴弾</color>を選択してください。,<quad name=joystick/action1_tutorial width=1.8 height=1/>을(를) 눌러 <color=#ff8d48>세열수류탄</color>을 선택하세요.
5j3,请在<color=#ff8d48>指定</color>位置按<quad name=joystick/action1_tutorial width=1.8 height=1/>使用道具。,請在<color=#ff8d48>指定</color>位置按<quad name=joystick/action1_tutorial width=1.8 height=1/>使用道具。,Press <quad name=joystick/action1_tutorial width=1.8 height=1/> to use the item at the <color=#ff8d48>specified</color> position.,<color=#ff8d48>指定</color>された位置で<quad name=joystick/action1_tutorial width=1.8 height=1/>を押して、アイテムを使用してください。,<color=#ff8d48>지정</color> 위치에서 <quad name=joystick/action1_tutorial width=1.8 height=1/>을(를) 눌러 아이템을 사용하세요.
70,请按<quad name=pc/pc_c width=1.8 height=1/>查看危险范围。,請按<quad name=pc/pc_c width=1.8 height=1/>查看危險範圍。,Press <quad name=pc/pc_c width=1.8 height=1/> to view the Danger Range.,<quad name=pc/pc_c width=1.8 height=1/>を押して、危険範囲を確認してください。,<quad name=pc/pc_c width=1.8 height=1/>을(를) 눌러 위험 범위를 확인해보세요.
7j0,请按<quad name=joystick/leftbumper_action1_tutorial width=4.3 height=1/>查看危险范围。,請按<quad name=joystick/leftbumper_action1_tutorial width=4.3 height=1/>查看危險範圍。,Press <quad name=joystick/leftbumper_action1_tutorial width=4.3 height=1/> to view the Danger Range.,<quad name=joystick/leftbumper_action1_tutorial width=4.3 height=1/>を押して、危険範囲を確認してください。,<quad name=joystick/leftbumper_action1_tutorial width=4.3 height=1/>을(를) 눌러 위험 범위를 확인해보세요.
