key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
10010,行动力,行動力,Action Points,行動力/AP,AP
10012,"我方角色可以消耗<color=#ff8d48>行动力（AP）</color>执行各种<color=#ff8d48>基础操作</color>。

每个角色的AP均是<color=#ff8d48>独立</color>的，每回合AP都会<color=#ff8d48>恢复至上限</color>。","我方角色可以消耗<color=#ff8d48>行動力（AP）</color>執行各種<color=#ff8d48>基礎操作</color>。

每個角色的AP均是<color=#ff8d48>獨立</color>的，每回合AP都會<color=#ff8d48>恢復至上限</color>。","Allied units can use <color=#ff8d48>Action Points (AP)</color> to perform <color=#ff8d48>basic actions</color>. 

Each unit's AP is <color=#ff8d48>independent</color>, and AP is <color=#ff8d48>restored to its maximum limit</color> each turn.","味方ユニットは<color=#ff8d48>AP</color>を消費することで各種<color=#ff8d48>基本操作</color>を行うことができます。

各ユニットのAPは<color=#ff8d48>独立</color>しており、毎ターン<color=#ff8d48>上限まで回復</color>します。","아군 캐릭터는 <color=#ff8d48>행동력(AP)</color>을 소모해 다양한 <color=#ff8d48>기본 조작</color>을 수행할 수 있습니다. 

캐 캐릭터마다 <color=#ff8d48>독립</color>적인 AP를 가지고 있습니다. 턴마다 Ap가 <color=#ff8d48>최대치까지 회복합니다</color>."
10020,移动,移動,Movement,移動,이동
10022,"角色在<color=#ff8d48>不同地形</color>上移动消耗的AP<color=#ff8d48>存在差异</color>。

可以在右下角地形信息中查看移动消耗。","角色在<color=#ff8d48>不同地形</color>上移動消耗的AP<color=#ff8d48>存在差異</color>。

可以在右下角地形資訊中查看移動消耗。","Moving over <color=#ff8d48>different terrain</color> requires <color=#ff8d48>different amounts of AP</color>. 

View the movement requirements in Terrain Information at the bottom right corner.","ユニットが移動する際に消費するAPは<color=#ff8d48>地形によって</color><color=#ff8d48>異なります</color>。

画面右下の地形情報で、移動に必要な消費APを確認できます。","캐릭터는 <color=#ff8d48>다른 지형</color>에서 이동할 때 소모하는 AP가 <color=#ff8d48>다릅니다</color>. 

우측 하단에서 이동 시 소모하는 AP를 확인할 수 있습니다."
1001010,设置移动路径,設置移動路徑,Set Movement Path,移動ルート設定,이동 루트 설정
1001012,可在<color=#ff8d48>游戏设置</color>中调整系统计算路径的方式。,可在<color=#ff8d48>遊戲設置</color>中調整系統計算路徑的方式。,The system's pathfinding method can be adjusted in the <color=#ff8d48>Game Settings</color>.,<color=#ff8d48>ゲーム設定</color>内で移動ルートの計算方法を調整できます。,<color=#ff8d48>게임 설정</color>에서 시스템이 루트를 계산하는 방식을 조정할 수 있습니다.
10030,攻击,攻擊,Attack,攻撃,공격
10032,"进入攻击模式后即可选择<color=#ff8d48>射程内</color>的敌方单位发动攻击。

在一回合内，我方角色可以<color=#ff8d48>攻击多次</color>。在攻击图标处可以查看攻击<color=#ff8d48>消耗的AP</color>，以及<color=#ff8d48>剩余AP</color>能够进行的<color=#ff8d48>攻击次数</color>。","進入攻擊模式後即可選擇<color=#ff8d48>射程內</color>的敵方單位發動攻擊。

在一回合內，我方角色可以<color=#ff8d48>攻擊多次</color>。在攻擊圖示處可以查看攻擊<color=#ff8d48>消耗的AP</color>，以及<color=#ff8d48>剩餘AP</color>能夠進行的<color=#ff8d48>攻擊次數</color>。","Enter attack mode to select an enemy unit <color=#ff8d48>in range</color> to attack. 

In one turn, an allied unit can <color=#ff8d48>attack multiple times</color>. View the <color=#ff8d48>AP Cost</color> by the attack and the <color=#ff8d48>amount of attacks</color> that can be performed with the <color=#ff8d48>remaining AP</color> in the attack icon.","攻撃モードになると<color=#ff8d48>射程内</color>の敵ユニットを選択して攻撃を行うことができます。

味方ユニットは1ターンの間に<color=#ff8d48>複数回攻撃</color>することができます。攻撃アイコンで、攻撃の<color=#ff8d48>消費AP</color>と<color=#ff8d48>残りAP</color> で行える<color=#ff8d48>攻撃回数</color>を確認できます。","공격 모드에 진입한 후 <color=#ff8d48>사거리 내</color>에 있는 적 유닛을 선택해 공격할 수 있습니다. 

한 턴 내에, 아군 유닛은 <color=#ff8d48>여러 번 공격</color>할 수 있습니다. 공격 아이콘에서 공격 시 <color=#ff8d48>소모하는 AP</color>를 확인할 수 있습니다, 또한 <color=#ff8d48>남은 AP로</color>로 진행할 수 있는 <color=#ff8d48>공격 횟수</color>를 확인할 수 있습니다."
10040,射程,射程,Range,射程,사거리
10042,"攻击模式下可以在当前角色的脚底查看其<color=#ff8d48>射程</color>，其中：

<color=#fd555c>红色格</color>为<color=#ff8d48>优势射程</color>
<color=#eeb951>黄色格</color>为<color=#ff8d48>劣势射程</color>

攻击劣势射程内的目标命中率会降低。","攻擊模式下可以在當前角色的腳底查看其<color=#ff8d48>射程</color>，其中：

<color=#fd555c>紅色格</color>為<color=#ff8d48>優勢射程</color>
<color=#eeb951>黃色格</color>為<color=#ff8d48>劣勢射程</color>

攻擊劣勢射程內的目標命中率會降低。","In attack mode, the <color=#ff8d48>Range</color> of the current unit can be viewed beneath the unit: 

<color=#ff8d48>Optimal Range</color> is in <color=#fd555c>Red</color>
<color=#ff8d48>Suboptimal Range</color> is in  <color=#eeb951>Yellow</color>

Attacks on targets in Suboptimal Range have reduced Accuracy.","攻撃モードでは、現在のユニットの足元でその<color=#ff8d48>射程</color>を確認できます。その内：

<color=#fd555c>赤色のマス</color>は<color=#ff8d48>最適射程</color>です
<color=#eeb951>黄色のマス</color>は<color=#ff8d48>劣勢射程</color>です

劣勢射程内のターゲットを攻撃する際の命中率は低下します。","공격 모드 진입 후 해당 캐릭터의 발밑에서 <color=#ff8d48>사거리</color>를 확인할 수 있습니다, 그중: 

<color=#fd555c>빨간색 타일</color>은 <color=#ff8d48>우세 사거리</color>이고
<color=#eeb951>노란색 타일</color>은 <color=#ff8d48>열세 사거리</color>입니다

열세 사거리내에 목표 공격시 명중률이 감소합니다."
