key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
text_level,等级：,等級：,Level:,レベル：,레벨:
text_exp,经验值：,經驗值：,EXP:,経験値：,경험치:
text_ap,AP,AP,AP,AP,AP
text_sp,SP,SP,SP,SP,SP
text_ability,属性 ,屬性 ,Attributes,属性,능력치
text_specialability,特质,特質,Traits,特性,특성
text_weapon_title,武器,武器,Weapon,武器,무기
text_normalweapon_title,武器,武器,Weapon,武器,무기
text_weapon_ap_cost_word_1,AP消耗,AP 消耗,AP Cost,AP消費,AP 소비
text_changeskin_word,换装,換裝,Change Outfit,変更,코스튬 교체
text_equiped,已穿戴,已穿戴,Equipped,スキン,장착 중
text_skin_sorce_word,服装来源:,服裝來源：,Outfit Origins:,スキン詳細,코스튬 출처:
text_checkattr,属性详情,屬性詳情,Detailed Attributes:,属性詳細,능력치 정보
text_changeskin,服装,服裝,Outfit,スキン,코스튬
text_equip,穿戴,穿戴,Equip,装備,착용
text_back,返回,返回,Back,戻る,돌아가기
text_talent_title,技能,技能,Skill,スキル,스킬
text_talent_title_remake,技能,技能,Skill,ゲノムスキル,스킬
text_normalweapon_playergroup_title,武器,武器,Weapon,武器,무기
text_weapon_ap_cost_word_remake,AP消耗 ,AP 消耗 ,AP Cost,AP消費,AP 소비
